player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Dylan Williams,191328,LB,OREGON,5,0,264,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,12.5,2,16,1,50.0,0,0,0,0,100.0,2,1,50.0,1,1,0,1,1,0
Nick Sawyer,160390,CB,CHARLES SO,10,0,135,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.6,1,174,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Hunt Tatum,206425,LB,BETH COOK,1,0,119,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,1,1,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Xavier Styles,185206,S,ROB MORRIS,11,0,277,0,2,0,0,0,0,0.0,0,0,,0,0,0,1,0.8,2,247,2,50.0,0,0,2,1,100.0,2,2,50.0,0,0,0,0,0,0
Takai Whitmore,171970,CB,BUCKNELL,12,0,125,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0.7,2,272,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Zamari Stevenson,157530,CB,WAKE,11,0,339,2,0,0,1,0,0,50.0,1,1,50.0,0,0,0,0,2.7,2,74,2,50.0,0,1,0,0,50.0,1,1,50.0,0,0,0,0,0,0
Khamoni Merrell,193721,DI,ALAB A&M,1,0,104,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,1,1,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Gil Jackson,199261,CB,TCU,9,0,305,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.5,1,68,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Jaleel Chambliss,171792,S,W GEORGIA,5,0,1177,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,2.8,1,36,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jason King,198881,LB,MISSOURI,1,0,229,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,25.0,1,4,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jojo Pace,176884,S,CAMPBELL,12,0,131,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.3,1,394,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Sherrod Smith,199589,CB,BOISE ST,11,0,120,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.7,1,152,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Chance Rucker,174052,CB,MICH STATE,7,0,223,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,1.9,1,53,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Ishmel Atkins,159117,CB,ELON,12,0,162,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.2,1,439,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Eric Winters,198155,S,AUBURN,12,0,115,0,0,0,0,0,0,50.0,1,1,100.0,1,1,0,0,1.6,2,125,1,50.0,0,0,0,0,50.0,1,0,0.0,0,0,0,1,1,0
Aidan Foster,203450,LB,HOWARD,1,0,184,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,50.0,1,2,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Tre Parks-Vinson,159090,CB,WEBER ST,6,0,342,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.0,1,100,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Milton Hopkins Jr.,146484,ED,WASHINGTON,1,0,340,1,1,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,2,2,2,50.0,0,1,1,0,100.0,2,2,50.0,0,0,0,0,0,0
Clay Martineau,184232,LB,BOISE ST,2,0,120,0,2,0,0,1,1,50.0,1,1,50.0,0,0,0,1,33.3,2,6,2,50.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Blake Woodby,198148,CB,AUBURN,6,0,115,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,1.9,1,52,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Cam Frazier,188790,CB,DUQUESNE,4,0,155,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.7,1,37,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Hasaan Sykes,192058,CB,W CAROLINA,11,0,344,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.3,5,376,3,50.0,0,0,1,0,100.0,5,3,50.0,2,2,0,2,2,0
Steven Jones,170072,LB,MURRAY ST,4,0,236,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,7.1,1,14,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Brian Lloyd,202757,CB,GEORGETOWN,11,0,172,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,1,255,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Kaleno Levine,171451,CB,TROY,14,0,318,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.3,1,400,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
William Nettles,189556,CB,SMU,13,0,287,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0.7,2,301,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Kent McMahon,171660,LB,ST FRANCIS,6,0,299,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,6.7,1,15,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Jake Kepler,198058,LB,AIR FORCE,1,0,101,0,0,0,0,0,0,100.0,2,1,50.0,1,0,0,0,100.0,2,2,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,0,0
Joseph Barry,177498,LB,YALE,1,0,352,0,0,0,0,0,0,100.0,1,1,100.0,1,0,0,0,100.0,2,2,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,0,0
Ezra Carter,192735,S,BRYANT,7,0,124,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.0,1,104,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Sawyer VanMatre,211716,LB,WLU,1,0,1178,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,14.3,1,7,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
