player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Moroni Anae,81437,LB,UTAH,4,22,0,328,1,-3.0,100.0,68.4,12.0,12.0,0,0,0.0,64.0,0,20,33.3,1,0,118.8,1,13,59.1,19,0,1,1,0,20,23,1.7,20.0,0,0,14.0,100.0,80.0,8.0,8.0,0,0,0.0,56.8,0,13,33.3,1,0,118.8,1,8,36.4,10,1,2,1,0,13,-1,1.6,13.0
Brendon Harris,83446,S,MIDDLE TN,12,201,0,224,1,-0.3,50.0,93.8,28.5,14.3,0,0,0.0,63.6,0,8,20.0,1,0,56.3,2,61,30.3,65,2,3,4,0,7,14,0.1,3.5,0,1,11.3,75.0,96.1,19.8,14.9,0,0,0.0,60.0,0,56,16.7,1,0,156.3,6,123,61.2,128,2,4,8,1,126,67,1.1,21.0
Jayden Dunlap,85725,CB,BYU,10,83,0,128,1,9.0,33.3,100.0,26.0,8.7,0,0,0.0,56.3,0,10,50.0,1,0,43.8,1,27,32.5,27,0,0,3,0,10,12,0.4,10.0,0,0,21.4,80.0,97.5,9.5,7.6,0,0,0.0,60.1,0,35,0.0,0,0,158.3,4,39,47.0,40,2,3,5,1,83,3,2.2,20.8
Gracen Halton,85774,DI,OKLAHOMA,13,3,0,261,0,,,1.6,,,0,0,,60.5,0,,100.0,1,0,0.0,0,1,33.3,63,0,0,0,0,0,0,0.0,,0,0,,,1.3,,,0,0,,58.7,0,,,0,0,0.0,0,2,66.7,157,3,0,0,0,0,0,0.0,
Kalib Perry,86267,LB,LOUISVILLE,13,184,0,210,0,18.0,0.0,61.5,,22.0,0,0,0.0,60.9,0,,0.0,0,0,39.6,0,24,13.0,39,1,1,1,0,0,0,0.0,,0,2,7.1,84.6,83.2,5.8,4.9,0,1,3.8,42.0,0,33,11.8,2,1,126.4,22,134,72.8,161,5,13,26,1,293,124,2.3,13.3
Blake Ruffin,86298,S,LOUISVILLE,5,39,0,210,1,,,100.0,,,0,0,,77.4,0,,0.0,0,0,0.0,0,8,20.5,8,0,0,0,0,0,0,0.0,,0,0,2.0,0.0,93.5,,14.5,0,0,0.0,66.4,0,,20.0,1,0,39.6,0,29,74.4,31,1,4,2,0,0,0,0.0,
Jalil Tucker,86578,CB,OREGON ST,11,270,0,265,1,15.5,66.7,100.0,8.2,5.5,0,3,20.0,52.8,1,61,33.3,3,1,113.9,10,90,33.3,90,2,5,15,2,160,64,2.0,16.0,0,1,18.0,60.7,100.0,8.6,5.2,0,2,7.1,56.5,0,38,20.0,2,0,121.7,17,151,55.9,151,2,7,28,2,304,87,2.1,17.9
Jackson Schulz,86773,S,KENTUCKY,4,11,0,202,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,1,,,100.0,,,0,0,,66.0,0,,0.0,0,0,0.0,0,8,72.7,8,0,0,0,0,0,0,0.0,
Ceyair Wright,86877,CB,NEBRASKA,13,324,0,238,1,14.6,42.9,98.5,13.7,5.9,0,3,14.3,55.3,0,29,20.0,1,2,64.0,9,131,40.4,133,0,3,21,0,132,82,1.1,14.7,0,3,4.7,70.0,97.1,11.6,8.2,0,3,15.0,68.3,0,45,29.4,5,1,105.4,14,170,52.5,175,3,9,20,1,136,125,0.8,9.7
David Reese,90079,ED,SYRACUSE,12,48,0,304,0,2.0,50.0,9.6,9.0,4.5,0,0,0.0,56.6,0,21,50.0,1,0,87.5,1,10,20.8,104,0,1,2,0,21,25,2.3,21.0,0,1,9.7,66.7,22.0,18.0,12.0,0,0,0.0,59.8,0,24,16.7,1,0,103.5,2,37,77.1,168,4,4,3,0,33,17,0.9,16.5
Chance Tucker,90524,CB,NOTRE DAME,4,14,0,258,0,12.0,50.0,100.0,4.5,2.3,0,0,0.0,36.0,0,6,,0,0,56.3,2,9,64.3,9,0,0,4,0,9,0,1.0,4.5,0,0,,,100.0,,,0,0,,63.1,0,,,0,0,0.0,0,5,35.7,5,0,0,0,0,0,0,0.0,
Ose Egbase,90529,ED,UNLV,14,3,0,325,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,68,1,0,0,0,0,0,,,0,1,,,2.7,,,0,0,,67.8,0,,0.0,0,0,0.0,0,3,100.0,112,1,1,0,0,0,0,0.0,
Tyrice Ivy Jr.,90783,S,OREGON ST,1,16,0,265,0,14.0,100.0,66.7,2.0,2.0,0,0,0.0,44.7,0,19,,0,0,158.3,1,2,12.5,3,0,0,1,1,19,5,9.5,19.0,0,1,2.5,100.0,100.0,6.0,6.0,0,0,0.0,67.6,0,7,0.0,0,0,89.6,2,12,75.0,12,0,1,2,0,11,6,0.9,5.5
Solomon Brown,97386,S,BUFFALO,12,335,0,126,1,7.1,46.2,98.8,12.7,5.8,1,3,23.1,72.4,1,13,11.1,1,3,66.0,6,83,24.8,84,3,7,13,2,56,27,0.7,9.3,0,2,14.1,77.8,98.5,27.0,21.0,0,1,11.1,64.7,0,43,6.7,1,0,110.2,7,194,57.9,197,4,12,9,0,94,21,0.5,13.4
Marvae Myers,97517,CB,MARSHALL,10,297,0,214,0,12.2,42.1,98.2,12.8,5.4,0,2,10.5,52.3,0,69,28.6,2,0,111.4,8,109,36.7,111,1,5,19,3,158,102,1.5,19.8,0,1,17.9,57.1,100.0,16.3,9.3,2,2,14.3,75.4,1,52,0.0,0,2,95.8,8,138,46.5,138,1,9,14,1,187,51,1.4,23.4
Jett Elad,97543,S,RUTGERS,12,341,0,278,4,7.0,87.5,86.4,18.6,16.3,0,0,0.0,68.3,1,24,16.7,3,0,107.8,7,140,41.1,162,1,11,8,1,79,38,0.6,11.3,0,0,13.8,83.3,100.0,30.0,25.0,0,1,16.7,68.1,1,62,30.8,4,1,79.2,5,156,45.7,156,0,9,6,0,105,47,0.7,21.0
Mohamed Toure,97751,LB,MIAMI FL,16,343,0,220,0,6.6,20.0,60.5,47.0,9.4,0,1,20.0,65.7,0,8,25.0,1,1,39.6,1,49,14.3,81,0,3,5,0,8,6,0.2,8.0,0,4,5.7,78.3,89.5,6.3,4.9,0,3,6.5,35.7,0,36,25.0,8,3,116.8,36,230,67.1,257,9,20,46,2,393,227,1.7,10.9
Zaylin Wood,97761,DI,VANDERBILT,13,6,0,333,0,,,6.5,,,0,0,,61.3,1,,0.0,0,0,0.0,0,5,83.3,77,0,1,0,0,0,0,0.0,,0,0,,,0.6,,,0,0,,57.2,0,,50.0,1,0,0.0,0,1,16.7,174,6,1,0,0,0,0,0.0,
Mark Davis,97886,CB,VANDERBILT,12,173,0,333,0,14.0,66.7,100.0,7.2,4.8,0,1,11.1,65.0,0,32,28.6,2,0,95.1,6,46,26.6,46,1,5,9,0,81,16,1.9,13.5,0,1,7.0,54.5,99.1,17.8,9.7,0,4,36.4,83.9,0,13,7.7,1,4,60.0,6,108,62.4,109,5,11,11,0,31,4,0.3,5.2
Shammond Cooper,97918,LB,AKRON,11,238,0,102,0,-1.0,100.0,78.7,34.0,34.0,0,0,0.0,54.4,0,4,0.0,0,0,122.9,1,37,15.5,47,1,1,1,1,4,5,0.1,4.0,0,0,2.9,76.0,91.0,8.7,6.6,0,0,0.0,53.3,0,38,16.7,2,0,102.3,19,172,72.3,189,6,10,25,0,221,169,1.3,11.6
Richie Hagarty,98121,ED,NWESTERN,8,9,0,256,0,,,15.0,,,0,0,,61.8,0,,,0,0,0.0,0,3,33.3,20,0,0,0,0,0,0,0.0,,0,0,9.0,100.0,8.6,6.0,6.0,0,0,0.0,51.7,0,10,0.0,0,0,108.3,1,6,66.7,70,0,2,1,0,10,1,1.7,10.0
Myles Farmer,98122,S,APP STATE,3,5,0,108,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,13.0,100.0,100.0,3.0,3.0,0,0,0.0,51.1,0,22,,0,0,118.8,1,4,80.0,4,0,0,1,0,22,9,7.3,22.0
Quindarius Dunnigan,98193,ED,MICH STATE,12,3,0,223,0,,,2.9,,,0,0,,60.5,0,,0.0,0,0,0.0,0,1,33.3,35,0,1,0,0,0,0,0.0,,0,2,5.0,100.0,1.9,2.0,2.0,0,0,0.0,65.2,0,6,33.3,1,0,91.7,1,2,66.7,107,2,0,1,0,6,1,3.0,6.0
Jalen Catalon,98867,S,MISSOURI,13,205,0,229,1,6.0,50.0,100.0,45.0,22.5,0,0,0.0,59.9,0,2,25.0,2,0,56.3,1,50,24.4,50,1,5,2,0,2,5,0.0,2.0,0,4,5.2,75.0,95.3,14.9,11.2,0,0,0.0,75.8,0,25,11.8,2,0,91.3,9,142,69.3,149,6,11,12,0,77,44,0.6,8.6
Isaiah Gibson Sr.,98952,DI,SO MISS,13,2,0,296,0,,,0.0,,,0,0,,59.7,0,,50.0,1,0,0.0,0,0,0.0,59,1,1,0,0,0,0,,,0,0,,,1.2,,,0,0,,57.8,0,,,0,0,0.0,0,2,100.0,165,0,0,0,0,0,0,0.0,
Brandon Mack II,99105,ED,HOUSTON,13,60,0,182,1,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,67,0,0,0,0,0,0,,,0,0,4.3,81.8,31.8,6.3,5.2,0,0,0.0,66.4,0,22,50.0,3,0,91.7,9,57,95.0,179,5,3,11,0,66,30,1.2,7.3
Will Jones II,99276,S,N TEXAS,14,383,0,251,0,9.6,35.7,97.7,23.8,8.5,1,1,7.1,78.1,0,10,0.0,0,1,44.3,5,126,32.9,129,4,9,14,0,29,24,0.2,5.8,0,2,10.1,78.6,93.8,17.2,13.5,0,0,0.0,69.2,2,42,9.1,2,0,75.6,11,197,51.4,210,6,18,14,0,163,55,0.9,14.8
Logan Wilson,99280,CB,CINCINNATI,11,301,0,138,0,19.1,60.0,100.0,8.0,4.8,0,2,20.0,52.4,0,69,0.0,0,1,137.5,6,50,16.6,50,0,2,10,1,174,46,3.6,29.0,0,3,7.1,54.5,100.0,16.1,8.8,1,3,13.6,75.3,0,25,20.0,4,3,71.0,12,203,67.4,203,4,13,22,0,124,36,0.6,10.3
Isheem Young,99281,S,MEMPHIS,6,59,0,218,0,4.0,0.0,100.0,,16.0,0,0,0.0,55.0,0,,,0,0,39.6,0,19,32.2,19,0,0,1,0,0,0,0.0,,0,0,5.0,100.0,96.9,30.0,30.0,0,0,0.0,62.7,0,15,50.0,1,0,118.8,1,31,52.5,32,0,1,1,0,15,10,0.5,15.0
Virdel Edwards II,99286,CB,HAWAII,12,306,0,180,0,15.0,71.4,100.0,13.2,9.4,1,1,14.3,71.3,0,19,0.0,0,1,85.4,5,69,22.5,69,1,6,7,0,40,9,0.6,8.0,0,1,15.9,85.7,100.0,14.6,12.5,1,1,7.1,66.1,0,52,8.3,1,1,118.8,12,189,61.8,189,4,10,14,0,216,62,1.2,18.0
Deshawn McCuin,99502,CB,S DIEGO ST,10,125,0,284,0,9.2,66.7,97.1,7.8,5.2,0,1,16.7,62.7,0,14,33.3,1,0,77.8,4,33,26.4,34,1,2,6,0,29,15,0.9,7.3,0,1,12.8,64.3,100.0,8.8,5.6,0,2,14.3,75.4,1,32,22.2,2,2,53.9,9,82,65.6,82,3,6,14,0,94,34,1.2,10.4
Nate Temple,99726,ED,PITTSBURGH,10,2,0,268,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,9,0,0,0,0,0,0,,,0,0,,,2.8,,,0,0,,53.6,0,,0.0,0,0,0.0,0,2,100.0,72,0,1,0,0,0,0,0.0,
Cecil Powell,99735,S,SM HOUSTON,11,274,0,281,0,8.1,36.4,90.2,21.8,7.9,0,2,18.2,81.9,0,11,10.0,1,1,44.9,4,92,33.6,102,2,9,11,0,20,27,0.2,5.0,0,2,3.0,77.8,86.4,8.1,6.3,1,2,11.1,68.9,0,30,5.9,1,1,113.4,14,121,44.2,140,6,14,18,1,122,101,1.1,8.7
Jordan Huff,99745,S,GA STATE,12,222,0,175,1,5.5,50.0,94.1,60.0,30.0,0,1,50.0,48.5,0,27,33.3,1,1,95.8,1,64,28.8,68,0,1,2,0,27,20,0.5,27.0,0,3,7.2,70.0,100.0,16.6,11.6,0,1,10.0,78.9,1,18,7.7,1,1,46.2,7,123,55.4,123,3,9,10,0,61,19,0.5,8.7
Antonio Clary,99757,S,VIRGINIA,11,137,0,335,1,10.0,75.0,100.0,14.0,10.5,0,0,0.0,67.2,2,18,0.0,0,0,52.1,3,42,30.7,42,0,1,4,0,26,12,0.6,8.7,0,3,5.6,80.0,98.6,16.3,13.0,0,1,20.0,67.9,0,19,0.0,0,1,105.8,4,68,49.6,69,0,4,5,0,47,24,0.7,11.8
Kenan Johnson,99761,CB,VIRGINIA,1,2,0,335,0,,,100.0,,,0,0,,61.9,0,,,0,0,0.0,0,2,100.0,2,0,0,0,0,0,0,0.0,,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Rico Watson III,99809,ED,USF,13,151,0,327,0,,,16.7,,,0,0,,63.4,0,,,0,0,0.0,0,9,6.0,54,0,0,0,0,0,0,0.0,,0,1,4.1,82.4,55.9,8.7,7.2,0,0,0.0,43.0,1,24,31.3,5,0,73.0,14,128,84.8,229,5,10,17,0,126,83,1.0,9.0
Ben Smiley,99845,ED,UCONN,10,12,0,146,0,-2.0,100.0,26.1,12.0,12.0,0,0,0.0,56.6,0,5,100.0,1,0,127.1,1,12,100.0,46,0,0,1,1,5,7,0.4,5.0,0,1,,,0.0,,,0,0,,61.1,0,,60.0,3,0,0.0,0,0,0.0,87,1,1,0,0,0,0,,
Blaine Spires,100324,ED,PITTSBURGH,9,5,0,268,0,,,14.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,7,0,0,0,0,0,0,0.0,,0,0,,,1.7,,,0,0,,61.1,0,,0.0,0,0,0.0,0,2,40.0,121,3,1,0,0,0,0,0.0,
Stephon Wright,100437,DI,UCONN,12,9,0,146,0,5.0,50.0,17.9,7.0,3.5,0,0,0.0,52.5,0,19,,0,0,122.9,1,7,77.8,39,0,0,2,1,19,7,2.7,19.0,0,0,,,1.2,,,0,0,,60.0,0,,100.0,1,0,0.0,0,1,11.1,85,1,0,0,0,0,0,0.0,
De'Jon Benton,100445,DI,HAWAII,12,2,0,180,1,,,3.2,,,0,0,,58.9,0,,50.0,2,0,0.0,0,2,100.0,62,1,1,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,33.3,1,0,0.0,0,0,0.0,207,6,2,0,0,0,0,,
Levani Damuni,100457,LB,UTAH,13,109,0,328,1,-4.0,75.0,73.5,23.0,17.3,0,0,0.0,68.5,0,20,20.0,1,0,103.1,3,72,66.1,98,3,3,4,0,37,47,0.5,12.3,0,0,8.3,50.0,56.6,15.0,7.5,0,0,0.0,51.9,0,11,0.0,0,0,61.5,2,30,27.5,53,0,2,4,0,17,13,0.6,8.5
Naki Fahina,101179,DI,UTAH ST,5,1,0,329,0,,,5.6,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,18,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,44,0,1,0,0,0,0,,
Javin Wright,101373,LB,NEBRASKA,12,248,0,238,0,3.4,50.0,76.1,20.0,10.0,0,0,0.0,69.4,0,9,14.3,1,0,95.8,4,86,34.7,113,5,6,8,1,18,20,0.2,4.5,0,3,4.3,59.1,96.6,10.5,6.2,0,1,4.5,64.7,1,20,10.0,2,1,54.2,13,140,56.5,145,6,15,22,0,115,68,0.8,8.8
Derik LeCaptain,101506,LB,MINNESOTA,2,3,0,225,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,,,0,0,,,75.0,,,0,0,,63.2,0,,0.0,0,0,0.0,0,3,100.0,4,1,1,0,0,0,0,0.0,
Tate Hallock,101668,S,W MICHIGAN,14,407,0,347,1,18.4,14.3,93.3,86.0,12.3,0,1,14.3,75.8,1,2,0.0,0,1,0.0,1,97,23.8,104,3,5,7,0,2,5,0.0,2.0,0,2,9.6,72.0,91.6,11.9,8.6,0,1,4.0,71.1,2,82,25.0,5,1,80.1,18,230,56.5,251,5,13,25,1,228,105,1.1,12.7
