player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Jack Smith,156227,P,CLEMSON,13,50,50,4.09,40.54,41.4,0.3,0,0,11,23,140,74.5,22,52,2,0,24.0,3,12,50,204.27,2027,2,2070
Robert Gunn III,156228,K,CLEMSON,1,1,1,3.36,5.0,5.0,,0,0,0,0,140,60.0,0,5,1,0,0.0,0,0,1,3.36,5,0,5
Mac Chiumento,156264,P,FLORIDA ST,9,28,28,4.16,41.0,42.68,9.0,0,0,8,16,167,71.6,13,56,0,0,10.7,27,3,28,116.37,1148,1,1195
Sam Vander Haar,156357,P,BYU,13,40,40,3.9,39.15,42.55,12.9,0,0,8,19,128,63.7,18,69,3,0,22.5,116,9,40,155.83,1566,1,1702
Patrick Rea,156583,P,JAMES MAD,14,49,49,3.84,37.55,39.73,5.9,1,0,15,21,197,58.3,17,61,2,0,16.3,47,8,50,188.16,1840,3,1947
Evan Crenshaw,156684,P,TROY,14,69,69,3.69,42.42,45.26,6.1,0,0,22,15,318,64.1,33,62,9,0,27.5,116,19,69,254.57,2927,4,3123
Bryce McFerson,156965,P,MARYLAND,12,56,56,3.98,39.59,44.07,8.3,0,0,6,24,215,79.7,20,62,7,0,19.6,91,11,56,222.69,2217,8,2468
Steve Angeli,156966,QB,SYRACUSE,2,2,2,3.03,35.5,35.5,,0,0,2,0,304,61.0,2,37,0,0,0.0,0,0,2,6.05,71,0,71
Max Fletcher,157028,P,CINCINNATI,13,41,41,4.06,41.73,45.41,11.1,0,0,13,14,138,71.7,18,66,2,0,24.4,111,10,41,166.29,1711,2,1862
Brett Thorson,157071,P,GEORGIA,12,46,46,4.38,43.37,45.52,4.8,0,0,9,25,173,88.0,24,66,4,0,8.7,19,4,46,201.31,1995,4,2094
James Ferguson-Reynolds,157204,P,OREGON,13,35,35,3.51,39.71,42.0,4.0,1,0,10,13,264,67.6,17,58,4,0,14.3,20,5,36,122.89,1390,3,1470
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,2,2,2,3.2,39.5,40.5,2.0,0,0,1,0,144,61.0,2,44,0,0,0.0,2,0,2,6.39,79,0,81
Maalik Murphy,157302,QB,OREGON ST,2,4,4,3.18,30.5,30.5,,0,0,1,0,265,66.2,2,36,3,0,0.0,0,0,4,12.71,122,0,122
Brook Honore Jr.,157333,P,CAL,5,20,20,3.42,38.1,41.35,8.1,0,0,6,1,130,55.2,4,54,5,0,40.0,65,8,20,68.34,762,0,827
Oliver Straw,157362,P,W VIRGINIA,12,66,66,3.65,39.09,42.61,6.1,0,0,11,12,343,69.4,16,61,12,0,42.4,172,28,66,240.78,2580,3,2812
David Chapeau,157451,K,LOUISVILLE,11,43,43,3.61,37.33,39.65,4.4,0,0,9,19,210,59.1,20,62,3,0,20.9,40,9,43,155.09,1605,3,1705
Jace T. Gilbert,157560,K,IOWA STATE,1,1,1,3.98,33.0,33.0,,0,0,0,1,193,60.0,1,33,0,0,0.0,0,0,1,3.98,33,0,33
Tyler Perkins,157568,P,IOWA STATE,11,42,42,3.93,41.05,42.36,2.1,0,0,12,16,193,65.9,20,65,5,0,16.7,15,7,42,164.92,1724,2,1779
Owen McCown,157688,QB,UTSA,1,1,1,3.01,40.0,40.0,,0,0,1,0,331,60.0,1,40,0,0,0.0,0,0,1,3.01,40,0,40
Ashton Logan,157726,P,MIDDLE TN,12,67,67,3.82,40.34,44.34,12.3,0,0,21,22,224,63.8,31,66,6,0,17.9,148,12,67,256.06,2703,6,2971
Anthony Venneri,157949,P,UCF,12,48,48,3.87,36.06,40.75,9.1,0,0,7,14,323,67.9,21,58,7,0,33.3,145,16,48,185.62,1731,4,1956
Aidan Laros,157988,P,KENTUCKY,11,50,50,4.39,39.74,44.52,12.2,1,0,4,24,202,82.5,20,58,5,0,26.0,159,13,51,219.4,1987,4,2226
Ryan Eckley,158380,P,MICH STATE,12,50,50,4.07,40.32,47.74,13.5,1,0,12,10,223,81.5,20,60,1,0,52.0,351,26,51,203.58,2016,1,2387
Mitch McCarthy,158448,P,INDIANA,12,37,37,3.71,38.65,41.65,6.9,0,0,6,10,190,60.4,16,55,5,0,43.2,111,16,37,137.09,1430,0,1541
John Mateer,158516,QB,OKLAHOMA,1,1,1,3.61,40.0,40.0,,0,0,1,0,261,60.0,1,40,0,0,0.0,0,0,1,3.61,40,0,40
Hunter Green,159043,P,S DIEGO ST,13,62,62,4.12,41.32,46.79,8.2,0,0,8,21,284,80.2,30,68,6,0,27.4,139,17,62,255.53,2562,10,2901
Will McCune,162121,P,CLEMSON,1,1,1,4.36,36.0,36.0,,0,0,0,0,140,60.0,1,36,1,0,0.0,0,0,1,4.36,36,0,36
Chase Barry,162456,P,OKLA STATE,1,1,1,2.8,52.0,52.0,,0,0,1,0,262,60.0,1,52,0,0,0.0,0,0,1,2.8,52,0,52
Jack McCallister,162493,P,PURDUE,11,50,50,3.78,41.26,43.24,3.7,0,0,12,16,273,62.8,24,68,4,0,32.0,59,16,50,189.18,2063,2,2162
Pierse Stainton,162612,P,MIAMI OH,14,62,62,4.01,40.56,42.77,8.6,1,0,15,29,221,61.9,24,65,6,0,14.5,77,9,63,248.44,2515,3,2652
Charlie Durkin,163128,K,KENT STATE,10,50,50,3.57,37.08,41.0,8.7,2,0,12,12,201,53.5,15,63,6,0,36.0,156,18,52,178.26,1854,2,2050
Trent Carrizosa,163281,P,S JOSE ST,12,39,39,3.83,40.33,45.56,10.4,0,0,10,13,285,62.8,16,68,1,0,25.6,104,10,39,149.45,1573,5,1777
Bryan Hansen,163324,K,COLO STATE,12,57,57,3.09,44.18,47.89,6.2,0,0,26,6,144,37.2,13,67,2,0,31.6,112,18,57,175.94,2518,5,2730
Nick Verdugo,163542,P,FRESNO ST,12,52,52,4.03,39.37,40.15,2.6,0,0,11,31,169,65.9,15,57,1,0,15.4,21,8,52,209.57,2047,1,2088
Hudson Hollenbeck,163685,P,MICHIGAN,11,41,41,3.63,38.51,42.95,7.2,0,0,9,10,222,55.5,11,67,2,0,41.5,122,17,41,148.86,1579,3,1761
Easton Black,163827,P,TCU,1,1,1,4.16,28.0,28.0,,0,0,0,1,305,60.0,0,28,0,0,0.0,0,0,1,4.16,28,0,28
Cade Backe,163937,P,JVILLE ST,2,8,8,3.75,35.75,40.38,18.5,0,0,2,3,196,57.0,3,45,1,0,25.0,37,2,8,29.96,286,0,323
Skyler Locklear,164027,QB,UTEP,1,1,1,3.31,39.0,39.0,,0,0,1,0,330,60.0,1,39,0,0,0.0,0,0,1,3.31,39,0,39
Jack Burgess,164475,P,TEXAS TECH,13,45,45,3.94,40.33,43.09,7.6,0,0,6,21,315,77.4,22,61,5,0,24.4,84,11,45,177.29,1815,2,1939
Nathan Torney,164891,P,LA LAFAYET,13,53,53,3.66,37.89,41.32,6.8,0,0,8,18,207,66.5,12,57,4,1,39.6,142,21,53,193.74,2008,2,2190
Trey Wilhoit,165135,P,FIU,13,54,54,3.81,39.65,43.28,8.7,2,0,11,23,166,64.3,13,58,0,0,33.3,156,18,56,205.66,2141,2,2337
Luke Freer,169503,P,AIR FORCE,12,23,23,3.78,41.39,44.48,6.4,0,0,5,6,101,61.6,11,60,3,0,34.8,51,8,23,87.05,952,1,1023
Dylan Joyce,170087,P,MIAMI FL,15,54,54,3.97,41.31,44.41,4.3,1,0,8,23,220,82.5,26,73,6,0,20.4,47,11,55,214.62,2231,6,2398
Tom Maginness,170108,P,N CAROLINA,12,56,56,3.82,39.95,42.79,7.7,0,0,9,22,245,72.8,24,60,6,0,32.1,139,18,56,214.12,2237,1,2396
Elijah Slibeck,170137,P,VIRGINIA,4,11,11,4.02,37.27,46.18,15.6,0,0,2,3,335,61.1,4,71,0,0,45.5,78,5,11,44.2,410,1,508
James Wagenseller,171026,P,ARMY,11,32,32,3.57,40.69,43.03,4.4,0,0,5,14,114,63.0,14,71,3,0,25.0,35,8,32,114.16,1302,2,1377
Daniel Vuckovic,171336,P,N ILLINOIS,5,26,26,3.66,40.27,42.58,3.6,3,0,7,4,254,65.6,9,54,3,0,42.3,40,11,29,95.13,1047,1,1107
Emilio Duran,171375,P,TOLEDO,12,60,60,3.69,37.35,40.58,4.1,0,0,12,22,316,54.1,23,55,2,0,30.0,74,18,60,221.4,2241,6,2435
Keelan Crimmins,172537,P,ILLINOIS,13,36,36,4.24,40.31,43.89,1.1,1,0,2,20,187,58.0,11,60,0,0,22.2,9,8,37,152.52,1451,6,1580
Damon Greaves,173073,P,COLORADO,12,65,65,4.04,38.49,43.66,9.8,2,0,8,20,143,79.6,16,67,8,0,36.9,236,24,67,262.49,2502,5,2838
Simon McClannan,173111,K,KANSAS ST,12,48,48,3.88,39.21,42.52,4.9,0,0,8,16,199,67.5,19,65,4,0,33.3,79,16,48,186.24,1882,4,2041
Dante Atton,173255,P,TEMPLE,12,62,62,3.48,41.66,42.13,1.8,0,0,15,37,306,55.3,28,60,4,0,8.1,9,5,62,215.93,2583,1,2612
Angus Davies,173294,P,TULSA,12,47,47,3.6,41.45,43.45,6.7,0,0,15,15,320,70.0,21,80,3,0,29.8,94,14,47,169.05,1948,0,2042
Joseph Castle,173355,P,AKRON,12,47,47,3.92,37.53,42.91,10.2,0,0,8,16,102,61.3,15,68,3,0,31.9,153,15,48,184.43,1764,5,2017
Jackson Kleather,173371,K,BOWL GREEN,1,2,2,3.84,49.0,49.5,1.0,0,0,1,0,122,60.9,1,54,0,0,50.0,1,1,2,7.68,98,0,99
Aidan Chiles,173727,QB,MICH STATE,1,1,1,3.72,20.0,40.0,,0,0,0,0,223,60.0,0,40,0,0,0.0,0,0,1,3.72,20,1,40
Jacob Ulrich,173806,P,OKLAHOMA,1,2,2,2.82,44.5,47.5,6.0,0,0,1,0,261,59.6,1,54,0,0,50.0,6,1,2,5.63,89,0,95
Declan Duley,174023,P,C MICHIGAN,13,54,54,3.84,38.17,41.13,10.0,0,0,10,24,134,67.5,21,71,7,0,18.5,100,10,54,207.3,2061,3,2221
Luke Dunne,174112,P,WASHINGTON,11,34,34,3.9,34.85,40.09,9.8,0,0,5,9,340,65.7,8,56,7,0,23.5,78,8,34,132.56,1185,5,1363
Malachi Nelson,174203,QB,UTEP,2,2,2,3.42,24.5,44.5,,0,0,0,0,330,61.0,0,46,0,0,0.0,0,0,2,6.84,49,2,89
Alex Smith,174218,P,GA SOUTHRN,12,56,56,3.81,39.79,42.8,7.3,0,0,10,23,174,64.3,17,55,5,0,26.8,109,15,56,213.47,2228,3,2397
Hudson Kaak,174294,P,AUBURN,12,49,49,4.14,40.65,42.04,6.0,0,0,8,27,115,71.3,13,55,5,0,16.3,48,8,49,202.67,1992,1,2060
Palmer Williams,174650,P,BAYLOR,12,27,27,4.19,45.59,46.93,1.5,0,0,2,8,118,73.9,12,59,5,0,40.7,16,11,27,113.15,1231,1,1267
Ryan Millmore,174678,P,W MICHIGAN,14,57,57,3.97,38.91,42.4,7.2,0,0,11,23,347,72.9,23,56,6,0,19.3,79,11,57,226.45,2218,6,2417
Carter Schwartz,174713,P,LOUISVILLE,7,13,13,3.64,39.85,40.08,1.5,1,0,2,5,210,52.3,5,61,4,0,15.4,3,2,14,47.33,518,0,521
Jackson Ross,174739,P,TENNESSEE,13,39,39,3.77,42.08,44.03,4.0,0,0,9,19,307,70.0,20,57,0,0,23.1,36,9,39,147.16,1641,2,1717
Landon Rehkow,175039,P,UTAH ST,13,68,68,4.0,39.78,43.0,7.0,1,0,12,22,329,64.1,23,63,10,0,29.4,139,20,69,271.72,2705,4,2924
Will Karoll,175301,P,UCLA,12,44,44,3.77,39.45,43.45,8.5,2,0,6,18,324,66.5,14,63,2,0,36.4,136,16,46,165.7,1736,2,1912
Atticus Bertrams,175522,P,WISCONSIN,9,37,37,3.73,37.54,41.41,8.6,1,0,11,4,349,69.1,18,54,8,0,32.4,103,12,38,138.02,1389,2,1532
Bronson Long,175795,P,CHARLOTTE,12,72,72,3.88,38.83,42.25,7.9,1,0,13,31,136,62.1,18,59,3,0,29.2,166,21,73,279.71,2796,4,3042
Ian Brandt,175824,P,DOMINION,13,48,48,3.86,37.1,40.67,8.5,1,0,6,21,263,61.8,19,59,5,0,27.1,111,13,49,185.51,1781,3,1952
Aleksi Pulkkinen,175844,P,S ALABAMA,12,49,49,3.83,37.06,41.24,7.3,0,0,6,11,288,66.2,11,59,9,0,40.8,145,20,49,187.59,1816,3,2021
Reed Harradine,175861,K,SO MISS,10,40,40,3.62,38.88,40.2,3.7,0,0,12,13,296,57.9,7,60,5,0,22.5,33,9,40,144.67,1555,1,1608
Gabarri Johnson,175905,QB,OREGON ST,1,1,1,2.75,13.0,13.0,,0,0,0,0,265,60.0,0,13,1,0,0.0,0,0,1,2.75,13,0,13
Dru DeShields,176094,QB,KENT STATE,2,2,2,2.62,32.0,32.0,,0,0,2,0,201,60.3,2,34,0,0,0.0,0,0,2,5.23,64,0,64
Ian Ratliff,176183,P,APP STATE,13,56,56,3.68,41.18,43.82,7.1,0,0,4,27,108,60.1,11,70,6,0,32.1,128,18,56,205.82,2306,1,2454
Joe McGuire,176238,P,OHIO STATE,12,29,29,3.84,40.69,42.38,2.3,0,0,4,15,260,67.3,12,55,4,0,13.8,9,4,29,111.29,1180,2,1229
Nathan Totten,176386,K,MARSHALL,12,56,56,4.12,41.41,45.52,3.8,1,0,10,23,214,71.5,23,63,1,0,23.2,50,13,57,230.49,2319,9,2549
AJ Winsor,176412,P,OREGON ST,12,62,62,3.59,34.55,44.76,16.3,2,1,7,10,265,64.1,13,66,7,1,54.8,553,34,64,222.83,2142,4,2775
Aidan Flintoft,176610,K,STANFORD,12,58,58,4.13,39.66,44.14,10.9,0,0,10,15,300,79.6,15,62,10,0,37.9,240,22,58,239.66,2300,1,2560
Jaxon Potter,176687,QB,WASH STATE,1,1,1,2.92,40.0,40.0,0.0,0,0,0,0,341,60.0,1,40,0,0,0.0,0,0,1,2.92,40,0,40
Orion Phillips,177614,P,UTAH,12,38,38,4.09,40.05,42.34,4.5,0,0,5,19,328,77.9,16,67,5,0,15.8,27,6,38,155.33,1522,3,1609
Alec Clark,183051,P,TULANE,14,49,49,4.11,41.39,46.27,8.2,0,0,7,16,319,84.8,18,70,4,0,34.7,139,17,49,201.42,2028,5,2267
Nolan Hauser,183199,K,CLEMSON,2,2,2,2.45,27.5,27.5,,0,0,2,0,140,60.3,2,28,0,0,0.0,0,0,2,4.89,55,0,55
Caile Hogan,183458,P,UTSA,13,54,54,3.8,39.44,45.74,12.2,0,0,11,15,331,58.5,18,60,2,0,42.6,280,23,54,205.44,2130,3,2470
Rhys Dakin,183517,P,IOWA,13,43,43,3.96,40.58,43.3,9.5,1,0,9,20,192,78.0,20,65,5,0,14.0,57,6,44,170.4,1745,3,1862
Alessio Milivojevic,183542,QB,MICH STATE,1,3,3,3.93,36.0,36.0,,0,0,1,0,223,64.4,2,49,2,0,0.0,0,0,3,11.79,108,0,108
Kanyon Floyd,183740,P,ARIZONA ST,9,37,37,3.44,33.32,40.65,13.6,0,0,3,12,110,53.6,6,58,3,0,45.9,231,17,37,127.23,1233,2,1504
Ethan Craw,183820,P,TCU,13,46,46,4.18,37.39,41.37,9.4,0,0,10,15,305,69.3,12,69,6,0,23.9,103,11,46,192.26,1720,4,1903
Grant Chadwick,183956,P,LSU,13,62,62,4.01,38.52,45.53,14.0,1,0,6,22,211,73.8,25,71,5,0,38.7,335,24,63,248.64,2388,5,2823
Rudy Kessinger,184053,K,E MICHIGAN,1,1,1,2.09,36.0,36.0,,0,0,1,0,160,60.0,1,36,0,0,0.0,0,0,1,2.09,36,0,36
Kalieb Osborne,184132,QB,TOLEDO,1,1,1,2.7,45.0,45.0,,0,0,1,0,316,60.0,1,45,0,0,0.0,0,0,1,2.7,45,0,45
John Henderson,184148,P,BOWL GREEN,12,59,59,3.61,35.17,40.53,19.6,0,0,16,18,122,59.5,19,58,9,0,16.9,196,10,59,212.75,2075,6,2391
Mason Love,184495,K,S CAROLINA,12,53,53,3.9,42.17,45.08,5.3,1,0,5,19,289,74.7,18,61,11,0,26.4,74,14,54,206.82,2235,4,2389
Ethan Pulliam,184760,P,MISS STATE,13,45,45,3.92,43.78,47.8,10.7,0,0,9,16,227,75.6,12,67,4,0,33.3,161,15,45,176.43,1970,1,2151
Bart Edmiston,184770,P,WYOMING,12,65,65,3.82,40.46,46.06,6.9,2,0,12,15,351,65.1,27,68,6,0,32.3,144,21,67,248.59,2630,11,2994
Keegan Andrews,184795,P,UMASS,12,69,69,3.99,41.28,46.54,17.9,1,0,14,25,216,78.4,28,66,10,0,26.1,323,18,70,275.2,2848,2,3211
Stewart McDonald,185505,K,MO STATE,12,49,49,3.8,36.41,42.59,11.4,2,0,8,13,230,64.7,15,71,6,0,32.7,183,16,51,186.02,1784,6,2087
Reed Chandley,185980,P,GA STATE,12,54,54,3.8,38.81,45.78,14.6,1,0,14,8,175,63.3,22,62,7,0,42.6,336,23,55,205.22,2096,2,2472
Finn Lappin,186014,P,KANSAS,10,39,39,3.56,42.56,45.31,5.1,0,0,2,16,198,67.5,14,61,3,0,43.6,87,17,39,138.92,1660,1,1767
Emile Sebafundi,186490,P,COAST CAR,13,73,73,3.63,36.79,42.73,12.6,1,0,13,21,141,60.9,21,65,7,0,38.4,353,28,74,264.82,2686,4,3119
Dylan Drennan,188144,P,BUFFALO,11,65,65,3.88,41.57,44.72,5.8,0,0,16,14,126,80.2,26,76,12,0,27.7,105,18,65,252.46,2702,5,2907
Carter Holden,188279,K,MIAMI OH,1,1,1,3.85,25.0,25.0,,0,0,0,1,221,60.0,1,25,0,0,0.0,0,0,1,3.85,25,0,25
Quinn Warren,188677,K,INDIANA,4,6,6,3.36,45.5,48.0,7.5,0,0,4,0,190,57.3,3,57,0,0,33.3,15,2,6,20.18,273,0,288
Kade Reynoldson,189392,P,DUKE,14,45,45,3.8,41.89,43.91,4.3,0,0,8,22,154,68.3,21,57,1,0,26.7,51,12,45,171.12,1885,2,1976
Jacob Carlson,189474,K,NAVY,12,37,37,3.66,39.49,44.51,8.8,0,0,12,7,237,65.6,17,66,2,0,32.4,106,12,37,135.52,1461,4,1647
Wade McSparron,189554,P,SMU,13,55,55,3.85,39.35,42.47,4.2,0,0,7,21,287,60.6,18,63,5,0,30.9,72,17,55,211.86,2164,5,2336
Jackson Waller,189560,P,ARK STATE,13,59,59,4.05,39.68,41.46,5.9,0,0,8,21,113,83.0,25,57,17,0,18.6,65,11,59,239.22,2341,2,2446
Michael Salgado-Medina,189628,K,ARIZONA,3,6,6,4.06,34.67,41.67,11.0,1,0,0,2,109,59.1,1,51,1,0,33.3,22,2,7,24.35,208,1,250
Sean West,189741,K,WISCONSIN,6,26,26,3.84,41.08,47.27,10.1,1,0,5,5,349,59.7,11,62,2,0,46.2,121,12,27,99.81,1068,2,1229
John Hoyet Chance,189821,P,LA TECH,13,66,66,3.91,43.26,47.35,7.1,0,0,12,18,208,79.9,31,72,7,0,36.4,170,24,66,258.18,2855,5,3125
Max Dean,189857,P,NEW MEX ST,11,55,55,3.74,39.73,42.27,5.0,0,0,12,18,242,58.0,22,59,6,0,29.1,80,16,55,205.66,2185,3,2325
James Rendell,189884,P,NOTRE DAME,10,25,25,3.97,43.28,44.52,5.5,0,0,9,12,258,66.5,13,55,1,0,8.0,11,2,25,99.2,1082,1,1113
Makenzie Ryan,190023,P,LA MONROE,12,59,59,3.62,35.02,38.8,10.9,0,0,11,24,209,53.7,14,58,6,0,25.4,163,15,59,213.39,2066,3,2289
Beckham Sunderland,190113,K,MICHIGAN,1,1,1,2.82,35.0,35.0,,0,0,1,0,222,60.0,0,35,0,0,0.0,0,0,1,2.82,35,0,35
