player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_distance,average_hangtime,average_starting_field_position,average_yards_per_return,declined_penalties,fair_catches,franchise_id,grades_kickoff_kicker,kicked_yards,kicks_returned,onside_kicks,penalties,percent_returned,return_yards,total_hangtime,touchbacks
Stephen Rusnak,144968,K,CINCINNATI,13,76,71,66.6,3.88,24.3,17.0,0,10,138,81.5,5062,18,0,0,23.7,306,275.45,47
Brendan Franke,145030,K,INDIANA,9,54,49,70.6,4.08,24.7,17.4,0,1,190,88.6,3811,7,0,0,13.0,122,199.7,46
Gabriel Nwosu,145105,P,PENN STATE,13,73,72,66.1,3.98,25.6,20.9,0,13,266,78.4,4822,17,0,0,23.3,356,286.73,39
Jesus Gomez,145746,K,ARIZONA ST,13,60,49,65.3,3.71,27.2,22.5,0,3,110,79.8,3916,19,2,0,31.7,427,181.57,35
Andrew Glass,145777,K,N ILLINOIS,12,49,44,57.7,3.87,31.0,21.0,0,7,254,65.1,2827,23,3,0,46.9,484,170.34,18
Will Ferrin,145985,K,BYU,14,84,81,65.2,4.03,24.6,16.0,0,21,128,80.3,5475,17,0,0,20.2,272,326.12,44
Emmet Kenney,146384,K,STANFORD,12,52,43,65.1,3.99,25.2,17.6,0,2,300,79.9,3383,18,2,0,34.6,317,171.46,31
Connor Weselman,146385,P,MISSOURI,4,8,6,46.3,2.94,37.0,15.3,0,0,229,46.6,370,7,1,0,87.5,107,17.63,0
Reid Schuback,146620,K,ALABAMA,2,7,6,60.7,3.9,26.4,,0,3,103,55.3,425,0,0,0,0.0,0,23.38,3
Patrick Foley,146648,P,UAB,2,2,0,11.5,,58.5,0.0,0,0,321,62.0,23,2,2,0,100.0,0,0.0,0
Caden Costa,146835,K,UNLV,14,90,85,66.1,3.9,25.9,23.8,0,14,325,84.4,5948,33,1,1,36.7,784,331.57,42
William Joyce,146927,K,S CAROLINA,4,9,8,59.1,3.94,31.2,21.3,0,2,289,59.9,532,4,0,0,44.4,85,31.55,2
Randy Bond,146983,K,TEXAS A&M,9,51,46,67.4,4.03,26.0,15.8,0,4,312,81.6,3439,9,0,0,17.6,142,185.3,37
Britton Williams,147134,K,KENNESAW,13,68,66,62.6,3.68,24.5,19.4,0,7,200,66.9,4255,36,0,0,52.9,700,242.81,24
Mason Shipley,147243,K,TEXAS,8,40,39,62.2,3.85,24.8,20.4,0,18,311,64.9,2487,10,0,0,25.0,204,150.25,11
Zach Long,147276,K,BOWL GREEN,12,57,50,60.3,3.74,25.8,18.6,0,9,122,67.5,3435,26,1,0,45.6,484,186.87,21
Joe McFadden,147412,K,NEVADA,2,3,2,41.3,3.93,69.0,46.0,0,0,239,53.4,124,3,1,0,100.0,138,7.86,0
Noe Ruelas,147413,K,UCF,12,59,54,67.8,3.89,25.8,20.4,0,1,323,82.2,4002,15,1,0,25.4,306,210.17,41
Carson Zilmer,147470,K,TULSA,1,1,0,10.0,,55.0,0.0,0,0,320,60.0,10,1,1,0,100.0,0,0.0,0
Brayden Beck,147539,K,LIBERTY,1,1,1,50.0,3.01,35.0,,0,0,206,59.7,50,0,0,0,0.0,0,3.01,0
Max Morgan,147550,P,LIBERTY,12,57,49,64.1,3.9,25.0,17.4,0,4,206,73.1,3655,24,1,1,42.1,417,191.16,27
Devin Bale,147755,P,ARKANSAS,12,65,60,68.4,4.22,25.8,19.3,0,5,111,90.1,4446,12,1,0,18.5,231,253.31,47
Ian Wagner,148054,K,ARIZONA,13,78,78,73.2,3.91,25.3,22.8,0,2,109,93.9,5706,5,0,0,6.4,114,304.79,70
Brayden Johnson,148063,P,AKRON,4,7,6,58.1,3.65,31.1,21.3,0,2,102,64.2,407,3,0,0,42.9,64,21.92,2
Ryan Hawk,149762,K,NEW MEX ST,10,46,37,65.4,3.76,26.5,19.6,0,3,242,80.7,3010,12,1,0,26.1,235,138.94,31
Christian Pavon,150275,K,SM HOUSTON,12,44,43,68.0,3.83,25.3,23.7,0,0,281,87.0,2994,23,0,0,52.3,544,164.86,21
Laith Marjan,151049,K,KANSAS,12,65,59,67.7,3.91,24.9,19.4,0,7,198,81.1,4400,15,0,0,23.1,291,230.48,40
Hunter Smith,153252,K,W MICHIGAN,14,70,68,64.3,3.81,24.6,17.7,0,15,347,73.9,4502,23,0,0,32.9,406,259.12,30
Noah Botsford,155219,K,UTEP,5,11,8,57.1,3.76,28.9,16.5,0,1,330,54.2,628,8,1,0,72.7,132,30.07,1
Atticus Sappington,155544,K,OREGON,15,71,66,66.8,3.83,25.3,19.9,0,6,264,86.6,4742,16,1,0,22.5,318,252.94,48
Robert Gunn III,156228,K,CLEMSON,13,70,69,70.3,4.0,25.4,26.9,0,3,140,90.8,4921,11,0,0,15.7,296,276.11,56
Aidan Birr,156297,K,GA TECH,13,83,81,69.4,4.03,24.3,14.4,0,1,176,91.1,5760,14,2,0,16.9,201,326.08,68
Nick Keller,156311,K,LOUISVILLE,13,79,73,69.7,4.0,24.4,19.3,0,2,210,91.1,5503,18,0,0,22.8,347,291.94,59
Drew Stevens,156447,K,IOWA,13,78,76,65.2,4.01,23.6,15.2,0,15,192,75.3,5087,26,0,0,33.3,394,304.59,37
Jayden Fielding,156492,K,OHIO STATE,14,86,82,69.2,4.07,24.3,17.1,0,9,260,90.1,5949,16,0,0,18.6,273,333.76,61
Dominic Zvada,156657,K,MICHIGAN,1,2,2,67.0,4.13,25.0,23.0,0,0,222,65.8,134,1,0,0,50.0,23,8.25,1
Luke Stagg,156785,K,LA MONROE,5,20,9,47.5,3.25,26.7,8.7,0,1,209,52.7,949,19,0,0,95.0,166,29.29,0
Rece Verhoff,156821,K,N CAROLINA,12,54,52,67.2,3.98,25.7,19.0,0,1,245,85.4,3631,13,2,0,24.1,247,206.83,39
Zac Yoakam,156986,K,HOUSTON,13,76,72,64.5,3.81,27.4,26.4,0,13,182,72.8,4902,29,0,0,38.2,767,274.13,31
Nathan Dibert,157105,K,E MICHIGAN,12,63,48,61.2,3.85,28.7,20.8,0,4,160,74.8,3858,25,4,0,39.7,519,184.83,31
Kanoah Vinesett,157421,K,NC STATE,2,3,1,36.0,3.26,32.7,1.5,0,0,248,57.3,108,2,1,0,66.7,3,3.26,1
Andrew Conrad,157445,K,E CAROLINA,4,27,25,65.9,3.67,25.7,25.1,0,4,156,80.9,1779,9,0,0,33.3,226,91.67,14
Caleb Carlson,157526,K,WAKE,13,72,68,67.7,4.22,25.6,21.2,0,7,339,86.9,4872,14,0,0,19.4,297,287.18,49
Jace T. Gilbert,157560,K,IOWA STATE,6,26,20,58.2,3.73,25.6,18.9,0,2,193,57.4,1513,19,0,0,73.1,360,74.5,3
John Love,157659,K,VA TECH,2,2,1,43.0,4.19,38.5,0.0,0,0,337,62.0,86,1,1,0,50.0,0,4.19,1
Trey Smack,157733,K,FLORIDA,12,60,58,69.8,4.16,25.2,19.4,0,3,163,86.9,4190,9,0,0,15.0,175,241.15,47
Braeden McAlister,157975,K,GA STATE,12,44,34,69.3,3.98,26.4,25.1,0,0,175,85.4,3051,8,1,0,18.2,201,135.38,36
Aidan Laros,157988,P,KENTUCKY,12,60,55,68.9,4.0,25.5,15.6,0,1,202,87.9,4132,9,1,0,15.0,140,219.97,49
Palmer Domschke,158160,K,W MICHIGAN,1,1,0,13.0,,52.0,,0,0,347,60.1,13,0,1,0,0.0,0,0.0,0
Collin Rogers,158279,K,SMU,1,5,5,64.6,4.0,24.6,22.8,0,0,287,69.9,323,4,0,0,80.0,91,20.02,1
Brady Denaburg,158297,K,MINNESOTA,13,58,50,70.0,3.9,26.1,28.1,0,1,225,87.2,4059,10,0,0,17.2,281,194.84,47
Michael Luckhurst,158321,K,CAL,2,10,10,63.2,3.69,20.9,17.8,0,0,130,69.2,632,9,0,0,90.0,160,36.88,1
Ryan Eckley,158380,P,MICH STATE,4,17,14,62.3,3.81,25.5,15.9,0,3,223,72.8,1059,7,1,0,41.2,111,53.38,6
Colton Boomer,158429,K,BOISE ST,14,78,74,69.8,4.0,26.3,24.1,0,1,120,87.5,5448,13,1,0,16.7,313,296.19,64
Joey Cheek,158477,K,UTAH,2,2,1,38.0,3.72,48.0,42.0,0,0,328,62.0,76,1,1,0,50.0,42,3.72,0
Ethan Moczulski,158663,K,WASHINGTON,13,74,74,69.2,4.04,26.3,26.8,0,3,340,82.9,5122,17,0,0,23.0,455,298.64,51
Jarrett Reeser,158804,K,BOISE ST,2,3,3,69.7,3.85,24.3,20.0,0,0,120,65.2,209,1,0,0,33.3,20,11.54,2
Tate Sandell,158828,K,OKLAHOMA,13,73,70,67.0,3.96,23.7,17.6,0,15,261,78.8,4893,21,0,0,28.8,370,276.89,37
Hunter Green,159043,P,S DIEGO ST,10,21,19,69.0,3.96,25.6,22.0,0,0,284,79.1,1450,4,0,0,19.0,88,75.23,16
Riley Callaghan,160132,K,DOMINION,5,11,11,64.1,3.79,29.5,29.6,0,2,263,58.8,705,5,0,0,45.5,148,41.66,2
Marlon Hauck,160585,K,MISS STATE,4,27,23,67.7,3.74,24.8,18.8,0,2,227,73.0,1828,5,0,0,18.5,94,86.08,19
Max Walker,162448,P,OREGON ST,5,10,8,53.3,3.58,37.2,27.8,0,0,265,68.2,533,8,2,0,80.0,222,28.67,1
Grady Gross,162487,K,WASHINGTON,2,7,6,59.0,3.81,24.4,0.0,0,1,340,70.2,413,2,0,0,28.6,0,22.86,4
Liam Connor,162659,K,BOSTON COL,2,10,9,64.9,3.99,25.4,22.3,0,1,121,69.2,649,3,0,0,30.0,67,35.89,5
Liam Boyd,162681,K,CHARLOTTE,12,40,35,67.1,3.9,26.7,18.3,0,0,136,76.9,2685,8,1,0,20.0,146,136.65,29
Todd Pelino,162701,K,DUKE,7,43,37,63.9,4.02,26.0,16.9,0,6,154,82.9,2747,14,2,0,32.6,237,148.89,21
Carter Davis,162930,K,MIAMI FL,16,94,92,72.4,4.12,24.8,20.4,0,0,220,94.5,6809,8,0,0,8.5,163,379.2,86
Buck Buchanan,162953,K,COLORADO,12,55,51,68.1,4.09,26.7,15.8,0,2,143,82.0,3748,9,3,0,16.4,142,208.38,43
Enock Gota,162996,K,RICE,13,47,39,67.5,3.91,24.9,15.0,0,0,275,82.8,3173,10,1,0,21.3,150,152.49,37
Lucas Carneiro,163041,K,OLE MISS,15,105,102,72.0,4.05,24.4,20.6,0,3,226,94.3,7562,7,0,0,6.7,144,413.58,93
Noah Perez,163073,K,E CAROLINA,1,3,1,30.7,0.0,34.7,-0.5,0,1,156,45.5,92,2,2,0,66.7,-1,0.0,0
Carson Holmer,163084,K,BALL ST,5,10,9,57.6,3.77,29.4,19.0,0,0,117,61.8,576,8,1,0,80.0,152,33.94,2
Ethan Warner,163116,K,BOWL GREEN,1,1,1,61.0,3.84,20.0,16.0,0,0,122,60.0,61,1,0,0,100.0,16,3.84,0
Will Hryszko,163135,K,KENT STATE,12,52,47,63.9,3.66,25.3,18.3,0,3,201,67.6,3324,17,1,0,32.7,311,171.82,28
Anderson Britton,163178,K,ARMY,13,61,51,61.1,3.97,27.0,21.5,0,9,114,72.5,3726,30,2,0,49.2,646,202.37,21
Carter Brown,163262,K,UTAH ST,4,18,18,62.6,3.99,23.1,19.7,0,4,329,68.5,1127,12,0,0,66.7,236,71.9,2
Charles Steinkamp,163359,P,NEW MEXICO,7,27,23,66.1,3.89,23.6,16.8,0,0,241,77.5,1786,10,0,0,37.0,168,89.54,17
Dylan Lynch,163406,K,FRESNO ST,13,72,63,64.6,3.89,24.1,16.9,0,10,169,79.1,4651,26,0,0,36.1,439,245.23,36
Liam Rickman,163492,K,GA STATE,2,4,0,10.8,,54.3,0.0,0,0,175,52.9,43,2,4,0,50.0,0,0.0,0
Jacob Green,163505,K,LA MONROE,7,22,14,46.4,3.07,33.0,19.4,0,8,209,52.5,1020,14,2,0,63.6,272,42.96,0
Upton Bellenfant,163585,K,TEXAS TECH,1,2,2,68.0,4.09,25.0,,0,1,315,62.0,136,0,0,0,0.0,0,8.18,1
Blake Ford,163629,K,ARKANSAS,2,9,9,64.3,3.76,34.3,98.0,0,1,111,75.6,579,1,0,0,11.1,98,33.88,7
Josh Turbyville,163775,P,TENNESSEE,13,83,79,69.9,4.06,24.7,16.6,0,0,307,90.6,5802,11,0,0,13.3,183,321.11,71
Easton Black,163827,P,TCU,2,5,2,65.6,3.72,30.0,26.0,0,0,305,63.0,328,2,0,0,40.0,52,7.44,2
Will Stone,163861,K,TEXAS,4,20,20,64.1,3.85,24.7,13.3,0,7,311,65.6,1282,4,0,0,20.0,53,77.06,8
Nathanial Eichner,163992,K,DOMINION,10,41,38,57.3,3.66,26.7,17.3,0,7,263,58.7,2351,27,2,0,65.9,467,139.07,7
Ian Hershey,164069,P,TEXAS TECH,3,4,4,63.5,3.7,24.3,18.0,0,0,315,64.1,254,1,0,0,25.0,18,14.81,3
Nathanial Vakos,164128,K,WISCONSIN,12,38,35,68.3,3.77,25.6,12.6,0,2,349,86.3,2596,5,1,0,13.2,63,132.09,31
Marcus Lye,164426,K,UMASS,12,35,33,57.4,3.73,28.9,25.0,0,6,216,71.7,2009,23,0,0,65.7,575,123.25,6
Chase Meyer,164674,K,CAL,7,14,8,51.4,3.6,28.7,18.8,0,2,130,59.6,720,11,0,0,78.6,207,28.82,1
Cristiano Rosa,165010,K,JAMES MAD,14,91,75,67.0,3.88,25.7,19.6,0,0,197,86.6,6098,27,1,0,29.7,530,290.83,62
Tony Sterner,168422,K,LA LAFAYET,2,2,0,40.0,,45.5,0.0,0,0,207,62.0,80,1,1,0,50.0,0,0.0,1
Reagan Tubbs,169014,K,AIR FORCE,12,68,61,62.9,3.74,26.4,18.6,0,5,101,79.9,4277,20,4,0,29.4,372,227.86,39
Michael James,169557,K,TEXAS ST,13,87,79,65.9,3.87,25.7,20.1,0,12,314,78.6,5730,23,1,0,26.4,462,305.49,49
Robert Hammond III,169909,K,TOLEDO,13,72,66,65.4,3.78,26.4,21.6,0,4,316,78.5,4711,25,1,0,34.7,541,249.15,42
Nathan Kirkwood,169959,K,NAVY,3,12,9,55.4,3.7,28.8,22.1,0,2,237,56.2,665,9,0,0,75.0,199,33.28,1
Elijah Slibeck,170137,P,VIRGINIA,13,70,66,66.3,4.08,23.6,15.8,0,4,335,81.8,4642,23,1,0,32.9,364,269.53,42
Tristan Alvano,170214,K,NEBRASKA,2,2,2,50.0,3.39,21.0,-13.0,0,0,238,47.1,100,1,0,0,50.0,-13,6.77,0
Garrison Rippa,170436,K,JVILLE ST,12,67,62,64.6,3.98,25.7,21.4,0,11,196,75.2,4326,21,0,0,31.3,450,246.95,32
Seth Turner,171064,P,PURDUE,12,53,48,66.9,3.82,26.5,25.7,0,7,273,80.3,3544,13,0,0,24.5,334,183.53,31
Marcello Diomede,171079,K,NOTRE DAME,4,17,15,67.9,4.05,25.5,25.5,0,0,258,76.4,1155,4,0,0,23.5,102,60.7,12
Kellan McLaughlin,171285,K,MIAMI OH,14,72,68,66.3,3.76,27.6,25.4,0,2,221,82.0,4770,27,1,0,37.5,687,255.46,40
Gianni Spetic,171361,K,MEMPHIS,13,81,75,67.2,3.99,24.3,16.2,0,4,218,85.7,5442,19,1,0,23.5,307,299.42,57
Gabriel Plascencia,171574,K,S DIEGO ST,13,51,45,65.4,3.79,28.0,22.6,0,2,284,81.2,3337,11,2,0,21.6,249,170.69,36
Kyle Cunanan,172210,K,NEBRASKA,4,18,17,61.7,3.67,26.7,17.8,0,4,238,73.7,1111,5,1,0,27.8,89,62.44,9
Kyle Ferrie,172543,K,MISS STATE,10,51,44,69.8,3.73,26.6,28.9,0,2,227,89.6,3560,9,0,0,17.6,260,163.92,39
Blake Craig,172562,K,MISSOURI,1,7,5,66.1,3.52,24.0,17.3,0,0,229,70.2,463,3,0,0,42.9,52,17.62,4
Brock Taylor,172630,K,VANDERBILT,13,74,66,66.7,3.81,26.9,18.6,0,0,333,84.1,4939,16,2,0,21.6,298,251.48,55
Simon McClannan,173111,K,KANSAS ST,12,70,63,65.9,3.87,25.5,21.7,0,8,199,81.8,4610,23,0,0,32.9,500,243.91,39
Nate McCashland,173143,K,TCU,13,57,48,65.1,3.88,25.7,18.3,0,6,305,78.5,3708,19,0,0,33.3,347,186.23,31
RJ Kocan,173184,K,W VIRGINIA,3,3,1,24.7,3.7,45.7,0.5,0,1,343,53.4,74,2,2,0,66.7,1,3.7,0
Kali Nguma,173212,K,N TEXAS,9,63,55,62.6,3.67,26.0,19.5,0,6,251,79.4,3945,25,2,0,39.7,488,202.09,30
Carl Hardin,173271,K,TEMPLE,12,63,62,65.8,4.03,26.2,23.1,0,8,306,78.3,4148,14,0,0,22.2,323,249.87,38
Owen Wiley,173362,K,AKRON,11,54,47,51.5,3.58,31.5,19.6,0,15,102,58.1,2781,25,3,0,46.3,491,168.29,10
Adam Zouagui,173604,K,USF,13,78,71,68.7,3.92,25.1,20.8,0,3,327,89.9,5359,12,0,0,15.4,249,278.0,61
Nate Reed,173620,K,DELAWARE,13,73,66,66.0,3.98,25.7,18.3,0,5,151,83.2,4817,18,3,0,24.7,330,262.37,47
David Olano,174030,K,ILLINOIS,13,71,68,68.4,3.94,25.5,20.8,0,4,187,86.0,4857,11,1,0,15.5,229,267.76,54
Alex Smith,174218,P,GA SOUTHRN,1,1,0,15.0,,65.0,0.0,0,0,174,60.0,15,1,1,0,100.0,0,0.0,0
Hudson Kaak,174294,P,AUBURN,1,1,0,9.0,,71.0,,0,0,115,60.0,9,0,1,0,0.0,0,0.0,0
Hayden Arnold,174625,K,BAYLOR,1,2,0,11.5,,50.5,0.0,0,0,118,58.3,23,1,2,0,50.0,0,0.0,0
Kyle Konrardy,174675,K,IOWA STATE,4,10,10,68.9,3.74,22.7,20.8,0,0,193,71.7,689,4,0,0,40.0,83,37.36,6
Max Gilbert,174725,K,TENNESSEE,2,6,4,51.0,4.02,35.8,0.0,0,0,307,68.5,306,2,2,0,33.3,0,16.08,4
Matthias Dunn,175017,K,BYU,1,3,3,71.3,3.9,25.0,,0,0,128,69.1,214,0,0,0,0.0,0,11.69,3
Ryan Capriotti,175182,K,MARYLAND,4,18,16,53.2,3.45,33.3,27.4,0,8,215,37.4,958,8,1,0,44.4,219,55.13,1
Lance Gossett,175236,K,NAVY,11,63,61,61.1,3.78,26.3,18.0,0,23,237,64.1,3848,19,1,0,30.2,342,230.64,19
Sam Carpenter,175411,K,PITTSBURGH,9,64,60,66.0,3.87,26.2,21.1,0,6,268,75.5,4221,18,0,0,28.1,380,232.1,35
Yousef Obeid,175467,K,MO STATE,11,56,46,59.9,3.64,26.3,15.8,0,6,230,69.6,3353,24,1,0,42.9,378,167.34,23
Ryan Barker,175488,K,PENN STATE,2,4,4,67.3,4.04,25.0,,0,2,266,71.5,269,0,0,0,0.0,0,16.17,2
Drew Henderson,175597,K,LA TECH,2,2,2,52.5,3.17,35.0,42.0,0,0,208,50.8,105,1,0,0,50.0,42,6.33,0
Kansei Matsuzawa,175701,K,HAWAII,8,48,43,60.1,3.69,28.4,20.7,0,7,180,63.6,2883,21,3,0,43.8,434,158.46,15
Bronson Long,175795,P,CHARLOTTE,1,1,1,60.0,4.07,22.0,17.0,0,0,136,60.1,60,1,0,0,100.0,17,4.07,0
Hamilton DiBoyan,175835,K,S ALABAMA,12,61,58,63.0,4.04,26.5,22.0,0,12,288,69.3,3846,26,1,0,42.6,573,234.32,20
Reed Harradine,175861,K,SO MISS,13,71,62,64.6,3.86,26.5,21.7,0,5,296,80.8,4586,15,2,0,21.1,325,239.08,48
Conor Talty,175874,K,ALABAMA,15,74,67,67.0,4.12,24.8,19.2,0,8,103,86.6,4957,19,0,0,25.7,365,275.87,47
Nico Radicic,175981,K,INDIANA,4,7,6,47.1,3.25,28.7,16.8,0,2,190,49.3,330,4,0,0,57.1,67,19.52,0
Jadyn Oh,176035,K,SYRACUSE,12,51,44,61.8,3.91,27.4,15.5,0,4,304,82.1,3153,13,5,0,25.5,201,171.92,31
Tyler Black,176066,K,LIBERTY,1,2,2,63.0,3.76,28.0,24.0,0,0,206,62.0,126,1,0,0,50.0,24,7.51,1
Nathan Totten,176386,K,MARSHALL,1,1,0,14.0,,51.0,0.0,0,0,214,60.0,14,1,1,0,100.0,0,0.0,0
Connor Gibbs,176416,K,AUBURN,10,55,53,68.5,4.03,24.7,21.3,0,5,115,84.9,3768,7,0,0,12.7,149,213.37,43
Michael Petro,176496,K,UTSA,1,1,1,55.0,3.92,25.0,,0,1,331,60.0,55,0,0,0,0.0,0,3.92,0
Henry Helms,176511,K,NWESTERN,1,8,8,60.6,3.88,22.3,12.6,0,1,256,54.9,485,5,0,0,62.5,63,31.01,2
Carston Kieffer,176531,K,ARIZONA ST,4,7,5,39.4,3.53,27.4,5.3,0,1,110,52.3,276,6,1,0,85.7,32,17.63,0
Mateen Bhaghani,176548,K,UCLA,12,51,45,66.9,3.93,26.1,22.1,0,3,324,87.1,3413,12,1,0,23.5,265,176.82,35
TJ Hartley III,176719,K,GA SOUTHRN,1,2,2,61.5,3.6,26.0,22.5,0,0,174,62.0,123,2,0,0,100.0,45,7.2,0
Austin Welch,176729,K,OKLAHOMA,2,2,2,63.0,3.84,25.0,,0,1,261,62.0,126,0,0,0,0.0,0,7.68,1
Grant Glasgow,178150,K,NEW MEXICO,10,41,38,64.2,3.86,26.5,17.2,0,4,241,74.4,2634,10,2,0,24.4,172,146.68,25
Jackson Courville,182274,K,OHIO STATE,2,4,4,72.0,3.91,25.0,,0,0,260,71.5,288,0,0,0,0.0,0,15.64,4
Luca Lombardo,182281,K,BOSTON COL,3,15,15,60.1,4.02,27.6,24.0,0,4,121,57.3,901,9,0,0,60.0,216,60.25,2
Tanner Rinker,182283,K,UTAH ST,1,7,7,63.9,3.47,28.0,12.0,0,0,329,46.3,447,2,0,0,28.6,24,24.29,2
Peyton Woodring,182293,K,GEORGIA,14,86,79,67.0,4.12,25.1,14.6,0,7,173,82.8,5760,12,2,0,14.0,175,325.63,61
Bryce Olson,182332,K,AIR FORCE,1,1,1,64.0,3.64,25.0,,0,1,101,60.1,64,0,0,0,0.0,0,3.64,0
Abram Murray,183236,K,CAL,8,40,38,62.4,3.63,25.1,20.9,0,7,130,68.9,2495,17,0,0,42.5,356,137.99,15
Charlie Birtwistle,183352,K,NC STATE,7,39,35,67.7,4.01,27.4,28.0,0,2,248,79.4,2639,12,0,0,30.8,336,140.5,24
Nico Gramatica,183438,K,USF,3,5,1,41.4,4.09,28.6,5.5,0,0,327,59.5,207,4,1,0,80.0,22,4.09,1
Nico Ottomanelli,183576,K,SM HOUSTON,2,2,0,17.5,,48.5,,0,0,281,62.0,35,0,2,0,0.0,0,0.0,0
Kanyon Floyd,183740,P,ARIZONA ST,1,4,3,64.0,3.47,22.5,19.0,0,0,110,67.8,256,2,0,0,50.0,38,10.4,2
Kyle Lemmermann,183832,K,TCU,1,6,6,66.8,4.14,24.0,21.2,0,0,305,74.9,401,5,0,0,83.3,106,24.85,1
Nate Flower,183877,K,W VIRGINIA,6,24,22,63.5,3.84,25.5,20.0,0,5,343,72.2,1525,8,0,0,33.3,160,84.49,11
Clayton Amaya,184252,K,ARK STATE,13,71,68,60.4,3.89,25.8,18.4,0,16,113,72.3,4290,26,0,0,36.6,478,264.18,27
Towns McGough,184407,K,AUBURN,2,10,10,66.0,3.72,24.0,23.2,0,0,115,74.2,660,5,0,0,50.0,116,37.15,5
Aeron Burrell,184442,K,LSU,13,68,62,66.1,4.05,26.0,19.9,0,5,211,83.3,4498,15,1,0,22.1,299,250.86,45
Mason Love,184495,K,S CAROLINA,4,4,4,46.8,3.58,37.0,20.0,0,1,289,52.9,187,3,0,0,75.0,60,14.31,0
Cade Graham,184671,K,C MICHIGAN,13,60,58,61.4,3.95,25.6,20.9,0,12,134,64.7,3681,33,0,0,55.0,689,228.81,15
Bart Edmiston,184770,P,WYOMING,9,32,30,64.4,3.62,28.7,27.2,0,2,351,74.9,2061,17,0,0,53.1,462,108.65,13
