player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Atticus Sappington,155544,K,OREGON,15,0,4,2,50.0,9,8,88.9,264,86.0,0,0,,51,51,100.0,0,7,5,71.4,24,19,79.2,4,4,100.0
Jay Billingsley,155761,K,LIBERTY,11,0,1,1,100.0,6,4,66.7,206,75.1,0,0,,33,33,100.0,0,7,5,71.4,20,15,75.0,6,5,83.3
Aidan Birr,156297,K,GA TECH,13,0,3,1,33.3,8,7,87.5,176,92.5,1,1,100.0,45,45,100.0,0,8,7,87.5,29,25,86.2,9,9,100.0
Nick Keller,156311,K,LOUISVILLE,4,0,3,2,66.7,1,0,0.0,210,58.1,0,0,,2,1,50.0,0,0,0,,4,2,50.0,0,0,
Will Bettridge,156389,K,VIRGINIA,14,0,1,0,0.0,12,8,66.7,335,83.8,0,0,,49,49,100.0,0,8,8,100.0,30,24,80.0,9,8,88.9
Drew Stevens,156447,K,IOWA,13,0,6,4,66.7,10,7,70.0,192,89.6,0,0,,42,41,97.6,0,7,6,85.7,28,22,78.6,5,5,100.0
Jayden Fielding,156492,K,OHIO STATE,14,0,1,0,0.0,4,3,75.0,260,78.5,0,0,,56,56,100.0,0,8,7,87.5,20,16,80.0,7,6,85.7
Dominic Zvada,156657,K,MICHIGAN,13,0,3,2,66.7,9,6,66.7,222,77.6,0,0,,43,43,100.0,0,7,4,57.1,25,17,68.0,6,5,83.3
Luke Stagg,156785,K,LA MONROE,4,0,0,0,,3,1,33.3,209,58.5,0,0,,13,11,84.6,0,1,1,100.0,4,2,50.0,0,0,
Rece Verhoff,156821,K,N CAROLINA,12,0,3,1,33.3,11,10,90.9,245,93.1,0,0,,20,20,100.0,0,4,3,75.0,23,19,82.6,5,5,100.0
Ethan Sanchez,156826,K,HOUSTON,13,0,2,1,50.0,12,9,75.0,182,81.6,0,0,,43,43,100.0,0,4,3,75.0,26,21,80.8,8,8,100.0
Alex McPherson,157038,K,AUBURN,12,0,1,0,0.0,7,6,85.7,115,83.8,0,0,,35,35,100.0,0,6,5,83.3,23,20,87.0,9,9,100.0
Luke Drzewiecki,157246,K,NEW MEXICO,13,0,0,0,,6,6,100.0,241,89.8,0,0,,36,36,100.0,0,6,5,83.3,19,18,94.7,7,7,100.0
Zach Benedict,157247,K,MIDDLE TN,1,0,0,0,,0,0,,224,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Kanoah Vinesett,157421,K,NC STATE,12,0,1,1,100.0,0,0,,248,76.0,0,0,,49,48,98.0,0,3,3,100.0,6,5,83.3,2,1,50.0
Andrew Conrad,157445,K,E CAROLINA,1,0,0,0,,0,0,,156,65.2,0,0,,6,6,100.0,0,0,0,,0,0,,0,0,
John Love,157659,K,VA TECH,12,0,4,2,50.0,5,2,40.0,337,80.9,0,0,,25,25,100.0,0,7,7,100.0,20,15,75.0,4,4,100.0
Trey Smack,157733,K,FLORIDA,12,0,6,5,83.3,6,5,83.3,163,86.7,0,0,,28,27,96.4,0,6,4,66.7,22,18,81.8,4,4,100.0
Dino Beslagic,157857,P,CINCINNATI,1,0,0,0,,0,0,,138,60.0,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
Braeden McAlister,157975,K,GA STATE,7,0,3,2,66.7,3,0,0.0,175,60.3,0,0,,8,7,87.5,0,0,0,,7,2,28.6,1,0,0.0
Palmer Domschke,158160,K,W MICHIGAN,13,0,1,1,100.0,12,9,75.0,347,68.3,0,0,,42,40,95.2,0,3,1,33.3,19,13,68.4,3,2,66.7
Collin Rogers,158279,K,SMU,2,0,2,0,0.0,1,1,100.0,287,57.9,0,0,,12,12,100.0,0,1,0,0.0,4,1,25.0,0,0,
Brady Denaburg,158297,K,MINNESOTA,13,0,2,0,0.0,5,2,40.0,225,70.5,0,0,,33,33,100.0,0,7,5,71.4,21,14,66.7,7,7,100.0
Ryan Eckley,158380,P,MICH STATE,1,0,0,0,,1,0,0.0,223,60.0,0,0,,0,0,,0,0,0,,1,0,0.0,0,0,
Colton Boomer,158429,K,BOISE ST,14,0,3,3,100.0,5,1,20.0,120,82.5,0,0,,47,46,97.9,0,2,2,100.0,15,11,73.3,5,5,100.0
Tate Sandell,158828,K,OKLAHOMA,13,0,9,8,88.9,9,8,88.9,261,96.5,0,0,,35,35,100.0,0,4,3,75.0,27,24,88.9,5,5,100.0
Riley Callaghan,160132,K,DOMINION,9,0,4,1,25.0,3,2,66.7,263,65.4,0,0,,33,32,97.0,0,5,2,40.0,15,8,53.3,3,3,100.0
Marlon Hauck,160585,K,MISS STATE,1,0,0,0,,0,0,,227,60.0,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
Alejandro Mata,160767,K,COLORADO,12,0,0,0,,1,1,100.0,143,77.0,0,0,,31,30,96.8,0,5,3,60.0,11,9,81.8,5,5,100.0
Grady Gross,162487,K,WASHINGTON,13,0,2,1,50.0,1,1,100.0,340,77.4,0,0,,59,59,100.0,0,6,4,66.7,13,10,76.9,4,4,100.0
Liam Boyd,162681,K,CHARLOTTE,12,0,0,0,,4,3,75.0,136,64.8,0,0,,15,15,100.0,0,2,2,100.0,12,9,75.0,6,4,66.7
Todd Pelino,162701,K,DUKE,14,0,0,0,,11,6,54.5,154,79.6,0,0,,56,56,100.0,0,2,2,100.0,19,14,73.7,6,6,100.0
Jai Patel,162914,K,RUTGERS,12,0,1,1,100.0,5,3,60.0,278,82.1,0,0,,39,37,94.9,0,6,5,83.3,18,13,72.2,6,4,66.7
Carter Davis,162930,K,MIAMI FL,16,0,3,1,33.3,10,6,60.0,220,81.2,0,0,,52,52,100.0,0,6,5,83.3,24,17,70.8,5,5,100.0
Buck Buchanan,162953,K,COLORADO,1,0,1,0,0.0,0,0,,143,60.0,0,0,,0,0,,0,0,0,,1,0,0.0,0,0,
Enock Gota,162996,K,RICE,13,0,2,0,0.0,5,4,80.0,275,78.0,0,0,,27,27,100.0,0,4,4,100.0,13,10,76.9,2,2,100.0
Lucas Carneiro,163041,K,OLE MISS,15,0,7,5,71.4,10,9,90.0,226,94.4,0,0,,56,56,100.0,0,7,6,85.7,35,31,88.6,11,11,100.0
Noah Perez,163073,K,E CAROLINA,1,0,0,0,,0,0,,156,60.0,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
Carson Holmer,163084,K,BALL ST,7,0,1,0,0.0,2,0,0.0,117,54.5,0,0,,14,14,100.0,0,0,0,,7,3,42.9,4,3,75.0
Will Hryszko,163135,K,KENT STATE,11,0,0,0,,1,0,0.0,201,70.9,0,0,,31,31,100.0,0,7,6,85.7,11,8,72.7,3,2,66.7
Dylan Lynch,163406,K,FRESNO ST,12,0,2,0,0.0,6,5,83.3,169,75.1,0,0,,34,34,100.0,0,9,9,100.0,27,21,77.8,10,7,70.0
Liam Rickman,163492,K,GA STATE,8,0,0,0,,3,1,33.3,175,57.4,0,0,,13,13,100.0,0,4,3,75.0,9,5,55.6,2,1,50.0
Upton Bellenfant,163585,K,TEXAS TECH,7,0,0,0,,0,0,,315,57.9,0,0,,16,14,87.5,0,1,1,100.0,6,6,100.0,5,5,100.0
Josh Turbyville,163775,P,TENNESSEE,1,0,0,0,,0,0,,307,61.8,0,0,,3,3,100.0,0,0,0,,0,0,,0,0,
Nathanial Eichner,163992,K,DOMINION,5,0,0,0,,1,0,0.0,263,63.1,1,1,100.0,19,19,100.0,0,3,2,66.7,10,7,70.0,5,4,80.0
Ian Hershey,164069,P,TEXAS TECH,3,0,0,0,,0,0,,315,61.8,0,0,,3,3,100.0,0,0,0,,0,0,,0,0,
Nathanial Vakos,164128,K,WISCONSIN,10,0,1,0,0.0,5,3,60.0,349,68.4,0,0,,19,19,100.0,0,5,4,80.0,11,7,63.6,0,0,
Chase Meyer,164674,K,CAL,13,0,0,0,,6,3,50.0,130,76.6,0,0,,39,39,100.0,0,3,3,100.0,13,10,76.9,4,4,100.0
Tony Sterner,168422,K,LA LAFAYET,13,0,6,3,50.0,4,2,50.0,207,81.1,1,1,100.0,38,38,100.0,0,12,10,83.3,28,20,71.4,5,4,80.0
Reagan Tubbs,169014,K,AIR FORCE,7,0,2,1,50.0,2,1,50.0,101,76.1,0,0,,14,14,100.0,0,3,3,100.0,9,7,77.8,2,2,100.0
Robert Hammond III,169909,K,TOLEDO,1,0,1,1,100.0,2,1,50.0,316,63.9,0,0,,0,0,,0,0,0,,3,2,66.7,0,0,
Nathan Kirkwood,169959,K,NAVY,13,0,1,0,0.0,2,2,100.0,237,82.6,0,0,,53,53,100.0,0,4,4,100.0,11,10,90.9,4,4,100.0
Garrison Rippa,170436,K,JVILLE ST,14,0,5,4,80.0,5,3,60.0,196,88.2,0,0,,40,40,100.0,0,11,7,63.6,28,21,75.0,7,7,100.0
Nick Clegg,170764,K,S DIEGO ST,1,0,0,0,,0,0,,284,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Zach Schreiner,170780,K,KENTUCKY,1,0,0,0,,0,0,,202,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Marcello Diomede,171079,K,NOTRE DAME,2,0,0,0,,0,0,,258,51.5,0,0,,3,2,66.7,0,0,0,,0,0,,0,0,
Kellan McLaughlin,171285,K,MIAMI OH,1,0,0,0,,0,0,,221,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Gianni Spetic,171361,K,MEMPHIS,13,0,5,4,80.0,6,3,50.0,218,86.8,0,0,,49,49,100.0,0,6,5,83.3,20,15,75.0,3,3,100.0
Gabriel Plascencia,171574,K,S DIEGO ST,13,0,5,2,40.0,9,9,100.0,284,88.2,0,0,,35,35,100.0,0,5,5,100.0,23,19,82.6,4,3,75.0
Clune Van Andel,172205,K,ARK STATE,13,0,7,4,57.1,4,4,100.0,113,81.9,0,0,,37,36,97.3,0,8,7,87.5,27,21,77.8,8,6,75.0
Kyle Cunanan,172210,K,NEBRASKA,13,0,2,1,50.0,3,1,33.3,238,82.7,0,0,,45,45,100.0,0,9,9,100.0,19,16,84.2,5,5,100.0
Kyle Ferrie,172543,K,MISS STATE,13,0,3,3,100.0,8,5,62.5,227,90.1,0,0,,44,44,100.0,0,6,6,100.0,20,17,85.0,3,3,100.0
Blake Craig,172562,K,MISSOURI,1,0,1,1,100.0,1,1,100.0,229,79.2,0,0,,3,3,100.0,0,0,0,,2,2,100.0,0,0,
Brock Taylor,172630,K,VANDERBILT,13,0,1,1,100.0,5,4,80.0,333,82.9,0,0,,61,60,98.4,0,6,6,100.0,14,13,92.9,2,2,100.0
Nate McCashland,173143,K,TCU,11,0,0,0,,2,1,50.0,305,72.1,0,0,,42,42,100.0,0,5,4,80.0,12,9,75.0,5,4,80.0
Kali Nguma,173212,K,N TEXAS,13,0,0,0,,3,2,66.7,251,82.4,1,1,100.0,70,70,100.0,0,0,0,,13,12,92.3,9,9,100.0
Carl Hardin,173271,K,TEMPLE,12,0,2,1,50.0,3,2,66.7,306,79.5,0,0,,40,40,100.0,0,6,5,83.3,14,11,78.6,3,3,100.0
Jonah Delange,173326,K,UAB,12,0,0,0,,8,6,75.0,321,75.9,0,0,,29,29,100.0,0,4,2,50.0,14,10,71.4,2,2,100.0
Owen Wiley,173362,K,AKRON,7,0,0,0,,4,0,0.0,102,55.6,0,0,,11,11,100.0,0,4,2,50.0,10,4,40.0,2,2,100.0
Jackson Kleather,173371,K,BOWL GREEN,12,0,5,3,60.0,6,5,83.3,122,90.8,0,0,,26,26,100.0,0,6,6,100.0,22,19,86.4,5,5,100.0
Adam Zouagui,173604,K,USF,2,0,0,0,,0,0,,327,61.8,0,0,,3,3,100.0,0,0,0,,0,0,,0,0,
Nate Reed,173620,K,DELAWARE,13,0,2,1,50.0,9,6,66.7,151,79.0,0,0,,39,39,100.0,0,5,4,80.0,24,18,75.0,8,7,87.5
David Olano,174030,K,ILLINOIS,13,0,0,0,,8,7,87.5,187,89.7,0,0,,44,44,100.0,0,8,7,87.5,23,20,87.0,7,6,85.7
Ramon Villela,174082,K,UNLV,14,0,4,2,50.0,3,2,66.7,325,78.8,0,0,,58,58,100.0,0,8,6,75.0,20,15,75.0,5,5,100.0
Kyle Konrardy,174675,K,IOWA STATE,8,0,4,3,75.0,7,4,57.1,193,87.8,0,0,,21,19,90.5,0,5,5,100.0,18,14,77.8,2,2,100.0
Max Gilbert,174725,K,TENNESSEE,13,0,3,2,66.7,6,4,66.7,307,81.6,0,0,,64,64,100.0,0,6,4,66.7,19,14,73.7,4,4,100.0
Ryan Capriotti,175182,K,MARYLAND,1,0,0,0,,0,0,,215,60.0,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
Sam Carpenter,175411,K,PITTSBURGH,2,0,1,0,0.0,0,0,,268,52.3,0,0,,6,6,100.0,0,1,0,0.0,3,1,33.3,1,1,100.0
Yousef Obeid,175467,K,MO STATE,13,0,3,0,0.0,10,6,60.0,230,70.3,1,1,100.0,38,37,97.4,0,4,3,75.0,22,14,63.6,4,4,100.0
Ryan Barker,175488,K,PENN STATE,13,0,1,0,0.0,6,6,100.0,266,86.3,0,0,,45,44,97.8,0,6,6,100.0,19,18,94.7,6,6,100.0
Drew Henderson,175597,K,LA TECH,10,0,1,1,100.0,4,0,0.0,208,54.3,1,1,100.0,29,27,93.1,0,3,2,66.7,11,6,54.5,2,2,100.0
Kansei Matsuzawa,175701,K,HAWAII,13,0,2,1,50.0,10,10,100.0,180,92.9,1,1,100.0,40,40,100.0,0,11,10,90.9,29,27,93.1,5,5,100.0
Hamilton DiBoyan,175835,K,S ALABAMA,8,0,0,0,,2,2,100.0,288,50.4,0,0,,22,20,90.9,0,3,1,33.3,9,6,66.7,4,3,75.0
Reed Harradine,175861,K,SO MISS,4,0,1,0,0.0,2,1,50.0,296,67.7,0,0,,13,13,100.0,0,5,4,80.0,8,5,62.5,0,0,
Conor Talty,175874,K,ALABAMA,15,0,1,0,0.0,10,7,70.0,103,76.3,0,0,,48,48,100.0,0,6,5,83.3,23,16,69.6,6,4,66.7
Mason Rohmiller,175946,K,VANDERBILT,2,0,0,0,,0,0,,333,60.0,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
Nico Radicic,175981,K,INDIANA,16,0,0,0,,4,4,100.0,190,86.9,0,0,,87,87,100.0,0,8,7,87.5,19,18,94.7,7,7,100.0
Connor Gibbs,176416,K,AUBURN,1,0,1,0,0.0,0,0,,115,60.0,0,0,,0,0,,0,0,0,,1,0,0.0,0,0,
Michael Petro,176496,K,UTSA,13,0,0,0,,4,3,75.0,331,82.5,0,0,,56,56,100.0,0,12,10,83.3,20,17,85.0,4,4,100.0
Mateen Bhaghani,176548,K,UCLA,12,0,4,2,50.0,5,4,80.0,324,84.0,0,0,,22,22,100.0,0,7,6,85.7,20,16,80.0,4,4,100.0
Tyler Robles,176643,K,TEXAS ST,13,0,4,3,75.0,2,1,50.0,314,84.9,0,0,,54,53,98.1,0,10,10,100.0,23,21,91.3,7,7,100.0
Austin Welch,176729,K,OKLAHOMA,1,0,1,0,0.0,0,0,,261,60.0,0,0,,0,0,,0,0,0,,1,0,0.0,0,0,
Brack Peacock,178946,K,OHIO,5,0,0,0,,1,1,100.0,259,45.5,0,0,,18,16,88.9,0,5,2,40.0,6,3,50.0,0,0,
Jackson Courville,182274,K,OHIO STATE,1,0,0,0,,0,0,,260,63.2,0,0,,4,4,100.0,0,0,0,,0,0,,0,0,
Luca Lombardo,182281,K,BOSTON COL,12,0,2,2,100.0,4,3,75.0,121,90.5,0,0,,35,35,100.0,0,8,8,100.0,17,16,94.1,3,3,100.0
Tanner Rinker,182283,K,UTAH ST,12,0,0,0,,9,5,55.6,329,74.7,0,0,,47,45,95.7,0,5,4,80.0,18,13,72.2,4,4,100.0
Peyton Woodring,182293,K,GEORGIA,14,0,4,3,75.0,6,5,83.3,173,90.0,0,0,,54,54,100.0,0,4,4,100.0,19,17,89.5,5,5,100.0
Will Rocha,182783,K,MIAMI FL,1,0,0,0,,0,0,,220,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Nolan Hauser,183199,K,CLEMSON,13,0,2,1,50.0,9,8,88.9,140,84.1,0,0,,38,38,100.0,0,4,2,50.0,21,17,81.0,6,6,100.0
Abram Murray,183236,K,CAL,6,0,0,0,,6,4,66.7,130,69.0,0,0,,0,0,,0,0,0,,6,4,66.7,0,0,
Cooper Ranvier,183318,K,LOUISVILLE,13,0,5,2,40.0,7,6,85.7,210,89.0,0,0,,41,39,95.1,0,7,7,100.0,25,21,84.0,6,6,100.0
Nico Gramatica,183438,K,USF,13,0,5,2,40.0,9,7,77.8,327,78.9,0,0,,60,59,98.3,0,3,2,66.7,24,18,75.0,7,7,100.0
Tripp Woody,183523,K,SYRACUSE,12,0,0,0,,4,2,50.0,304,80.2,0,0,,22,22,100.0,0,5,5,100.0,14,12,85.7,5,5,100.0
Kyle Lemmermann,183832,K,TCU,2,0,0,0,,0,0,,305,72.4,0,0,,9,9,100.0,0,2,2,100.0,3,3,100.0,1,1,100.0
Rudy Kessinger,184053,K,E MICHIGAN,12,0,3,1,33.3,11,7,63.6,160,84.3,0,0,,28,28,100.0,1,6,6,100.0,23,17,73.9,3,3,100.0
Travis Kenner,184149,K,BOWL GREEN,1,0,0,0,,0,0,,122,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Towns McGough,184407,K,AUBURN,1,0,1,0,0.0,0,0,,115,60.0,0,0,,0,0,,0,0,0,,1,0,0.0,0,0,
Mason Love,184495,K,S CAROLINA,2,0,1,0,0.0,0,0,,289,60.0,0,0,,1,1,100.0,0,0,0,,1,0,0.0,0,0,
Cade Graham,184671,K,C MICHIGAN,13,0,1,0,0.0,5,4,80.0,134,80.9,0,0,,35,35,100.0,0,5,4,80.0,17,14,82.4,6,6,100.0
Gage Hurych,184850,K,OREGON,6,0,0,0,,1,0,0.0,264,66.2,0,0,,16,16,100.0,0,0,0,,1,0,0.0,0,0,
Mathias Brown,184867,K,S JOSE ST,7,0,1,0,0.0,2,1,50.0,285,54.1,0,0,,11,10,90.9,0,2,1,50.0,7,4,57.1,2,2,100.0
Stone Harrington,184899,K,TEXAS TECH,14,0,5,3,60.0,10,6,60.0,315,86.4,0,0,,42,41,97.6,0,3,3,100.0,28,22,78.6,10,10,100.0
Keelan Anderson,184942,K,WYOMING,1,0,1,0,0.0,0,0,,351,60.0,0,0,,0,0,,0,0,0,,1,0,0.0,0,0,
Erik Sandvik,184970,K,WYOMING,11,0,2,0,0.0,3,2,66.7,351,66.2,0,0,,24,24,100.0,0,4,2,50.0,11,6,54.5,2,2,100.0
Sean O'Haire,185289,K,MARYLAND,12,0,1,0,0.0,5,5,100.0,215,83.1,0,0,,29,29,100.0,0,6,5,83.3,24,21,87.5,12,11,91.7
Derek Morris,188176,K,UMASS,12,0,5,3,60.0,5,2,40.0,216,68.6,0,0,,15,13,86.7,0,4,3,75.0,16,10,62.5,2,2,100.0
AJ Seidler,188874,K,STANFORD,1,0,0,0,,0,0,,300,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Sam Keltner,189550,K,SMU,11,0,2,1,50.0,10,5,50.0,287,74.9,0,0,,38,36,94.7,0,4,4,100.0,20,14,70.0,4,4,100.0
Patrick Durkin,189571,K,TULANE,14,0,6,4,66.7,3,3,100.0,319,85.6,0,0,,42,41,97.6,0,12,12,100.0,28,25,89.3,7,6,85.7
Michael Salgado-Medina,189628,K,ARIZONA,13,0,4,3,75.0,13,5,38.5,109,73.8,0,0,,48,47,97.9,0,9,6,66.7,31,19,61.3,5,5,100.0
