year,team,conference,norm_key,final_overall
2022,Duke,ACC,duke,5
2022,SMU,ACC,smu,4.7
2022,Houston,Big 12,houston,4.5
2022,Air Force,Mountain West,airforce,3.9
2022,Fresno State,Pac-12,fresnostate,3.3
2022,Marshall,Sun Belt,marshall,3
2022,Kansas,Big 12,kansas,2.9
2022,Syracuse,ACC,syracuse,2.5
2022,West Virginia,Big 12,westvirginia,2.4
2022,Louisiana,Sun Belt,louisiana,2
2022,App State,Sun Belt,appalachianstate,1.7
2022,Western Kentucky,Conference USA,westernkentucky,1.7
2022,Michigan State,Big Ten,michiganstate,1.2
2022,East Carolina,American Athletic,eastcarolina,1.1
2022,Coastal Carolina,Sun Belt,coastalcarolina,0.6
2022,UAB,American Athletic,uab,-0.5
2022,Nebraska,Big Ten,nebraska,-1.2
2022,BYU,Big 12,byu,-1.4
2022,Army,American Athletic,army,-1.5
2022,North Texas,American Athletic,northtexas,-1.5
2022,Liberty,Conference USA,liberty,-1.5
2022,Miami,ACC,miamifl,-2.7
2022,California,ACC,california,-3
2022,Arizona,Big 12,arizona,-3.2
2022,Georgia State,Sun Belt,georgiastate,-3.3
2022,Southern Miss,Sun Belt,southernmiss,-3.5
2022,Toledo,Mid-American,toledo,-3.7
2022,Arizona State,Big 12,arizonastate,-4.1
2022,San José State,Mountain West,sanjosestate,-4.3
2022,San Diego State,Pac-12,sandiegostate,-4.4
2022,Ohio,Mid-American,ohio,-4.6
2022,Vanderbilt,SEC,vanderbilt,-4.7
2022,Tulsa,American Athletic,tulsa,-6.1
2022,Georgia Southern,Sun Belt,georgiasouthern,-6.4
2022,Middle Tennessee,Conference USA,middletennessee,-6.9
2022,Indiana,Big Ten,indiana,-7.1
2022,Eastern Michigan,Mid-American,easternmichigan,-7.1
2022,Florida Atlantic,American Athletic,floridaatlantic,-7.1
2022,Stanford,ACC,stanford,-7.2
2022,Navy,American Athletic,navy,-7.2
2022,Virginia,ACC,virginia,-9
2022,Rutgers,Big Ten,rutgers,-9.1
2022,Buffalo,Mid-American,buffalo,-9.2
2022,Virginia Tech,ACC,virginiatech,-9.5
2022,UTEP,Mountain West,utep,-10.7
2022,Wyoming,Mountain West,wyoming,-10.8
2022,Texas State,Pac-12,texasstate,-11.5
2022,Georgia Tech,ACC,georgiatech,-11.8
2022,UNLV,Mountain West,unlv,-11.9
2022,Miami (OH),Mid-American,miamioh,-12.7
2022,Temple,American Athletic,temple,-12.9
2022,Arkansas State,Sun Belt,arkansasstate,-13
2022,Old Dominion,Sun Belt,olddominion,-13
2022,Kent State,Mid-American,kentstate,-13.1
2022,Utah State,Pac-12,utahstate,-13.3
2022,Northwestern,Big Ten,northwestern,-13.4
2022,Central Michigan,Mid-American,centralmichigan,-14
2022,UConn,FBS Independents,connecticut,-14.6
2022,Boston College,ACC,bostoncollege,-14.9
2022,Ball State,Mid-American,ballstate,-14.9
2022,Rice,American Athletic,rice,-15.2
2022,New Mexico State,Conference USA,newmexicostate,-15.4
2022,UL Monroe,Sun Belt,louisianamonroe,-15.7
2022,Charlotte,American Athletic,charlotte,-16.4
2022,South Florida,American Athletic,southflorida,-17
2022,Western Michigan,Mid-American,westernmichigan,-17.3
2022,Louisiana Tech,Sun Belt,louisianatech,-17.8
2022,Bowling Green,Mid-American,bowlinggreen,-18.1
2022,Northern Illinois,Mountain West,northernillinois,-18.8
2022,Colorado,Big 12,colorado,-20.4
2022,Colorado State,Pac-12,coloradostate,-22.2
2022,Nevada,Mountain West,nevada,-22.4
2022,Akron,Mid-American,akron,-23.4
2022,Hawai'i,Mountain West,hawaii,-24.7
2022,Florida International,Conference USA,floridainternational,-25.5
2022,New Mexico,Mountain West,newmexico,-26.9
2022,Massachusetts,Mid-American,massachusetts,-30.3
