year,team,conference,norm_key,final_overall
2024,UL Monroe,Sun Belt,louisianamonroe,-16.7
2024,Georgia State,Sun Belt,georgiastate,-17.9
2024,Akron,Mid-American,akron,-17.9
2024,New Mexico State,Conference USA,newmexicostate,-19
2024,Ball State,Mid-American,ballstate,-19.8
2024,Temple,American Athletic,temple,-20.3
2024,Tulsa,American Athletic,tulsa,-20.6
2024,Massachusetts,Mid-American,massachusetts,-21.9
2024,UTEP,Mountain West,utep,-22.7
2024,Middle Tennessee,Conference USA,middletennessee,-24.4
2024,Kennesaw State,Conference USA,kennesawstate,-25.1
2024,Southern Miss,Sun Belt,southernmiss,-25.6
2024,Kent State,Mid-American,kentstate,-33
