year,team,conference,norm_key,final_overall
2021,Wyoming,Mountain West,wyoming,0.6
2021,Western Michigan,Mid-American,westernmichigan,0.6
2021,East Carolina,American Athletic,eastcarolina,0.5
2021,Syracuse,ACC,syracuse,0.3
2021,Utah State,Pac-12,utahstate,0.1
2021,USC,Big Ten,usc,-0.6
2021,TCU,Big 12,tcu,-0.6
2021,Washington,Big Ten,washington,-0.7
2021,Central Michigan,Mid-American,centralmichigan,-1
2021,San José State,Mountain West,sanjosestate,-1.9
2021,Hawai'i,Mountain West,hawaii,-2.3
2021,Colorado State,Pac-12,coloradostate,-2.4
2021,Rutgers,Big Ten,rutgers,-3
2021,Tulane,American Athletic,tulane,-3.9
2021,Middle Tennessee,Conference USA,middletennessee,-4
2021,UTEP,Mountain West,utep,-4.2
2021,Florida Atlantic,American Athletic,floridaatlantic,-5.2
2021,Kent State,Mid-American,kentstate,-6.4
2021,North Texas,American Athletic,northtexas,-6.5
2021,Troy,Sun Belt,troy,-6.5
2021,Georgia Tech,ACC,georgiatech,-6.7
2021,Northern Illinois,Mountain West,northernillinois,-7.1
2021,South Alabama,Sun Belt,southalabama,-7.2
2021,Old Dominion,Sun Belt,olddominion,-7.4
2021,Indiana,Big Ten,indiana,-7.8
2021,Eastern Michigan,Mid-American,easternmichigan,-7.8
2021,Navy,American Athletic,navy,-8.5
2021,Buffalo,Mid-American,buffalo,-9.5
2021,Colorado,Big 12,colorado,-10
2021,Stanford,ACC,stanford,-10.2
2021,Northwestern,Big Ten,northwestern,-11.1
2021,Ball State,Mid-American,ballstate,-11.2
2021,Louisiana Tech,Sun Belt,louisianatech,-11.6
2021,Ohio,Mid-American,ohio,-11.6
2021,South Florida,American Athletic,southflorida,-12.1
2021,Bowling Green,Mid-American,bowlinggreen,-12.4
2021,Arizona,Big 12,arizona,-12.6
2021,Duke,ACC,duke,-13.5
2021,Charlotte,American Athletic,charlotte,-13.7
2021,UNLV,Mountain West,unlv,-13.8
2021,Southern Miss,Sun Belt,southernmiss,-14.2
2021,Georgia Southern,Sun Belt,georgiasouthern,-15.3
2021,Texas State,Pac-12,texasstate,-16
2021,Arkansas State,Sun Belt,arkansasstate,-17.9
2021,New Mexico,Mountain West,newmexico,-18.6
2021,Temple,American Athletic,temple,-19.1
2021,Vanderbilt,SEC,vanderbilt,-19.4
2021,Kansas,Big 12,kansas,-19.7
2021,UL Monroe,Sun Belt,louisianamonroe,-20.3
2021,Florida International,Conference USA,floridainternational,-21.6
2021,Rice,American Athletic,rice,-22.9
2021,Akron,Mid-American,akron,-23.1
2021,New Mexico State,Conference USA,newmexicostate,-24.2
2021,UConn,FBS Independents,connecticut,-25.6
2021,Massachusetts,Mid-American,massachusetts,-29.3
