year,team,conference,norm_key,final_overall
2025,Troy,Sun Belt,troy,-4.8
2025,Temple,American Athletic,temple,-5.1
2025,Kennesaw State,Conference USA,kennesawstate,-5.4
2025,Purdue,Big Ten,purdue,-6.1
2025,North Carolina,ACC,northcarolina,-6.6
2025,Jacksonville State,Conference USA,jacksonvillestate,-6.7
2025,West Virginia,Big 12,westvirginia,-6.8
2025,Southern Miss,Sun Belt,southernmiss,-7.1
2025,Buffalo,Mid-American,buffalo,-7.5
2025,Colorado,Big 12,colorado,-8.3
2025,Boston College,ACC,bostoncollege,-8.5
2025,Florida Atlantic,American Athletic,floridaatlantic,-8.7
2025,UCLA,Big Ten,ucla,-8.7
2025,Central Michigan,Mid-American,centralmichigan,-8.8
2025,Arkansas State,Sun Belt,arkansasstate,-8.8
2025,Liberty,Conference USA,liberty,-9
2025,Georgia Southern,Sun Belt,georgiasouthern,-9.4
2025,Tulsa,American Athletic,tulsa,-10
2025,Louisiana,Sun Belt,louisiana,-10.1
2025,Virginia Tech,ACC,virginiatech,-10.1
2025,Florida International,Conference USA,floridainternational,-10.5
2025,Missouri State,Conference USA,missouristate,-10.7
2025,Delaware,Conference USA,delaware,-10.9
2025,Wyoming,Mountain West,wyoming,-11.3
2025,App State,Sun Belt,appalachianstate,-11.4
2025,Stanford,ACC,stanford,-11.8
2025,Bowling Green,Mid-American,bowlinggreen,-12.6
2025,South Alabama,Sun Belt,southalabama,-12.7
2025,Syracuse,ACC,syracuse,-13.1
2025,Nevada,Mountain West,nevada,-13.4
2025,Akron,Mid-American,akron,-13.9
2025,San José State,Mountain West,sanjosestate,-14.3
2025,Eastern Michigan,Mid-American,easternmichigan,-14.7
2025,Rice,American Athletic,rice,-14.8
2025,Coastal Carolina,Sun Belt,coastalcarolina,-15.1
2025,Oklahoma State,Big 12,oklahomastate,-15.1
2025,New Mexico State,Conference USA,newmexicostate,-15.5
2025,Colorado State,Pac-12,coloradostate,-15.6
2025,UAB,American Athletic,uab,-15.8
2025,Oregon State,Pac-12,oregonstate,-15.9
2025,Middle Tennessee,Conference USA,middletennessee,-16
2025,Northern Illinois,Mountain West,northernillinois,-16.7
2025,UTEP,Mountain West,utep,-17.5
2025,Kent State,Mid-American,kentstate,-19.3
2025,UL Monroe,Sun Belt,louisianamonroe,-21.6
2025,Ball State,Mid-American,ballstate,-23
2025,Georgia State,Sun Belt,georgiastate,-24.5
2025,Charlotte,American Athletic,charlotte,-26.7
2025,Sam Houston,Conference USA,samhouston,-27.8
2025,Massachusetts,Mid-American,massachusetts,-36.6
