year,week,player,team,conf,opp,pts,opp_pts,yds,att
2020,10,Carson Strong,Nevada,Mountain West,Utah State,34,9,411.0,52.0
2020,10,Nate Cox,Nevada,Mountain West,Utah State,34,9,10.0,2.0
2020,10,Jason Shelley,Utah State,Mountain West,Nevada,9,34,96.0,27.0
2020,10,Andrew Peasley,Utah State,Mountain West,Nevada,9,34,5.0,7.0
2020,10,Patrick O'Brien,Colorado State,Mountain West,Wyoming,34,24,255.0,26.0
2020,10,Levi Williams,Wyoming,Mountain West,Colorado State,24,34,321.0,31.0
2020,10, Team,Wyoming,Mountain West,Colorado State,24,34,0.0,1.0
2020,10,Bailey Hockman,NC State,ACC,Miami,41,44,248.0,28.0
2020,10,Thayer Thomas,NC State,ACC,Miami,41,44,31.0,1.0
2020,10,D'Eriq King,Miami,ACC,NC State,44,41,430.0,41.0
2020,10,Larry Hodges,Miami,ACC,NC State,44,41,1.0,1.0
2020,10,Carson Baker,San Diego State,Mountain West,San José State,17,28,261.0,30.0
2020,10,Nick Nash,San José State,Mountain West,San Diego State,28,17,169.0,25.0
2020,10,Nick Starkel,San José State,Mountain West,San Diego State,28,17,13.0,3.0
2020,10,Cade Fennegan,Boise State,Mountain West,BYU,17,51,182.0,26.0
2020,10,Jack Sears,Boise State,Mountain West,BYU,17,51,41.0,4.0
2020,10,Andy Peters,Boise State,Mountain West,BYU,17,51,26.0,8.0
2020,10,Zach Wilson,BYU,FBS Independents,Boise State,51,17,359.0,27.0
2020,10,Levi Lewis,Louisiana,Sun Belt,Arkansas State,27,20,244.0,29.0
2020,10,Logan Bonner,Arkansas State,Sun Belt,Louisiana,20,27,127.0,30.0
2020,10,Layne Hatcher,Arkansas State,Sun Belt,Louisiana,20,27,97.0,10.0
2020,10,Trad Beatty,Temple,American Athletic,SMU,23,47,129.0,12.0
2020,10,Re-al Mitchell,Temple,American Athletic,SMU,23,47,82.0,18.0
2020,10,Shane Buechele,SMU,American Athletic,Temple,47,23,355.0,35.0
2020,10,Hendon Hooker,Virginia Tech,ACC,Liberty,35,38,217.0,27.0
2020,10,Malik Willis,Liberty,FBS Independents,Virginia Tech,38,35,209.0,29.0
2020,10,Kedon Slovis,USC,Pac-12,Arizona State,28,27,381.0,55.0
2020,10,Jayden Daniels,Arizona State,Pac-12,USC,27,28,134.0,23.0
2020,10,Peyton Ramsey,Northwestern,Big Ten,Nebraska,21,13,169.0,27.0
2020,10,Adrian Martinez,Nebraska,Big Ten,Northwestern,13,21,125.0,27.0
2020,10,Luke McCaffrey,Nebraska,Big Ten,Northwestern,13,21,93.0,16.0
2020,10, Team,Nebraska,Big Ten,Northwestern,13,21,0.0,2.0
2020,10,Chase Brice,Duke,ACC,North Carolina,24,56,155.0,23.0
2020,10,Gunnar Holmberg,Duke,ACC,North Carolina,24,56,71.0,9.0
2020,10,Sam Howell,North Carolina,ACC,Duke,56,24,235.0,27.0
2020,10,Jacolby Criswell,North Carolina,ACC,Duke,56,24,0.0,1.0
2020,10,Sam Ehlinger,Texas,Big 12,West Virginia,17,13,184.0,31.0
2020,10,Jarret Doege,West Virginia,Big 12,Texas,13,17,317.0,50.0
2020,10,Spencer Petras,Iowa,Big Ten,Michigan State,49,7,167.0,27.0
2020,10,Alex Padilla,Iowa,Big Ten,Michigan State,49,7,12.0,2.0
2020,10,Rocky Lombardi,Michigan State,Big Ten,Iowa,7,49,227.0,37.0
2020,10,Payton Thorne,Michigan State,Big Ten,Iowa,7,49,0.0,1.0
2020,10,Michael Penix Jr.,Indiana,Big Ten,Michigan,38,21,342.0,50.0
2020,10,Joe Milton,Michigan,Big Ten,Indiana,21,38,344.0,34.0
2020,10,Brady White,Memphis,American Athletic,South Florida,34,33,437.0,50.0
2020,10,Noah Johnson,South Florida,American Athletic,Memphis,33,34,217.0,29.0
2020,10,Holton Ahlers,East Carolina,American Athletic,Tulane,21,38,351.0,43.0
2020,10,Michael Pratt,Tulane,American Athletic,East Carolina,38,21,216.0,34.0
2020,10,Cornelious Brown,Georgia State,Sun Belt,UL Monroe,52,34,241.0,32.0
2020,10,Jeremy Hunt,UL Monroe,Sun Belt,Georgia State,34,52,339.0,39.0
2020,10,Colby Suits,UL Monroe,Sun Belt,Georgia State,34,52,0.0,3.0
2020,10,Shai Werts,Georgia Southern,Sun Belt,Troy,20,13,85.0,13.0
2020,10,Jacob Free,Troy,Sun Belt,Georgia Southern,13,20,201.0,47.0
2020,10,JaCobian Morgan,Syracuse,ACC,Boston College,13,16,188.0,30.0
2020,10,Phil Jurkovec,Boston College,ACC,Syracuse,16,13,208.0,29.0
2020,10,Grant Wells,Marshall,Conference USA,Massachusetts,51,10,228.0,30.0
2020,10,Luke Zban,Marshall,Conference USA,Massachusetts,51,10,0.0,2.0
2020,10,Will Koch,Massachusetts,FBS Independents,Marshall,10,51,99.0,18.0
2020,10,Garrett Dzuro,Massachusetts,FBS Independents,Marshall,10,51,25.0,7.0
2020,10,Jared Cole,Massachusetts,FBS Independents,Marshall,10,51,25.0,1.0
2020,10,Trey Lowe III,Southern Miss,Conference USA,North Alabama,24,13,100.0,20.0
2020,10,Blake Dever,North Alabama,Big South,Southern Miss,13,24,153.0,28.0
2020,10,Parker Driggers,North Alabama,Big South,Southern Miss,13,24,-1.0,1.0
2020,10,Tyler Vitt,Texas State,Sun Belt,App State,17,38,205.0,38.0
2020,10,Zac Thomas,App State,Sun Belt,Texas State,38,17,168.0,27.0
2020,10,Malik Williams,App State,Sun Belt,Texas State,38,17,0.0,1.0
2020,10,Sean Clifford,Penn State,Big Ten,Maryland,19,35,340.0,57.0
2020,10,Taulia Tagovailoa,Maryland,Big Ten,Penn State,35,19,282.0,26.0
2020,10,Spencer Rattler,Oklahoma,Big 12,Kansas,62,9,212.0,27.0
2020,10,Tanner Mordecai,Oklahoma,Big 12,Kansas,62,9,128.0,8.0
2020,10,Chandler Morris,Oklahoma,Big 12,Kansas,62,9,0.0,1.0
2020,10,Jalon Daniels,Kansas,Big 12,Oklahoma,9,62,115.0,31.0
2020,10,Miles Kendrick,Kansas,Big 12,Oklahoma,9,62,36.0,4.0
2020,10,Will Rogers,Mississippi State,SEC,Vanderbilt,24,17,226.0,46.0
2020,10,Ken Seals,Vanderbilt,SEC,Mississippi State,17,24,336.0,46.0
2020,10,Max Gilliam,UNLV,Mountain West,Fresno State,27,40,160.0,31.0
2020,10,Jake Haener,Fresno State,Mountain West,UNLV,40,27,164.0,23.0
2020,10,Ben Wooldridge,Fresno State,Mountain West,UNLV,40,27,80.0,12.0
2020,10,Coran Taylor,Illinois,Big Ten,Minnesota,14,41,106.0,17.0
2020,10,Tanner Morgan,Minnesota,Big Ten,Illinois,41,14,216.0,27.0
2020,10,Max Duggan,TCU,Big 12,Texas Tech,34,18,73.0,23.0
2020,10,Henry Colombi,Texas Tech,Big 12,TCU,18,34,234.0,41.0
2020,10,Stetson Bennett,Georgia,SEC,Florida,28,44,78.0,16.0
2020,10,D'Wan Mathis,Georgia,SEC,Florida,28,44,34.0,13.0
2020,10,Kyle Trask,Florida,SEC,Georgia,44,28,474.0,43.0
2020,10,Desmond Ridder,Cincinnati,American Athletic,Houston,38,10,162.0,27.0
2020,10,Ben Bryant,Cincinnati,American Athletic,Houston,38,10,6.0,3.0
2020,10,Clayton Tune,Houston,American Athletic,Cincinnati,10,38,189.0,34.0
2020,10,Jordan Travis,Florida State,ACC,Pittsburgh,17,41,106.0,18.0
2020,10,Chubba Purdy,Florida State,ACC,Pittsburgh,17,41,38.0,21.0
2020,10,James Blackman,Florida State,ACC,Pittsburgh,17,41,0.0,2.0
2020,10,Kenny Pickett,Pittsburgh,ACC,Florida State,41,17,210.0,27.0
2020,10,Will Howard,Kansas State,Big 12,Oklahoma State,18,20,143.0,21.0
2020,10, Team,Kansas State,Big 12,Oklahoma State,18,20,0.0,1.0
2020,10,Spencer Sanders,Oklahoma State,Big 12,Kansas State,20,18,108.0,23.0
2020,10,Nick Tronti,Florida Atlantic,Conference USA,Western Kentucky,10,6,108.0,16.0
2020,10,Javion Posey,Florida Atlantic,Conference USA,Western Kentucky,10,6,0.0,1.0
2020,10,Tyrrell Pigrome,Western Kentucky,Conference USA,Florida Atlantic,6,10,163.0,39.0
2020,10,Mitchell Tinsley,Western Kentucky,Conference USA,Florida Atlantic,6,10,0.0,1.0
2020,10,Collin Hill,South Carolina,SEC,Texas A&M,3,48,66.0,22.0
2020,10,Ryan Hilinski,South Carolina,SEC,Texas A&M,3,48,34.0,6.0
2020,10,Kellen Mond,Texas A&M,SEC,South Carolina,48,3,224.0,26.0
2020,10,Haynes King,Texas A&M,SEC,South Carolina,48,3,42.0,1.0
2020,10,Brock Purdy,Iowa State,Big 12,Baylor,38,31,164.0,24.0
2020,10,Charlie Brewer,Baylor,Big 12,Iowa State,31,38,295.0,33.0
2020,10,Sam Noyer,Colorado,Pac-12,UCLA,48,42,257.0,31.0
2020,10,Tyler Lytle,Colorado,Pac-12,UCLA,48,42,4.0,2.0
2020,10,Dorian Thompson-Robinson,UCLA,Pac-12,Colorado,42,48,303.0,40.0
2020,10,Tyler Shough,Oregon,Pac-12,Stanford,35,14,227.0,26.0
2020,10,Jack West,Stanford,Pac-12,Oregon,14,35,154.0,19.0
2020,10,Tanner McKee,Stanford,Pac-12,Oregon,14,35,62.0,7.0
2020,10,Ian Book,Notre Dame,FBS Independents,Clemson,47,40,310.0,39.0
2020,10,D.J. Uiagalelei,Clemson,ACC,Notre Dame,40,47,439.0,44.0
2020,10,Justin Fields,Ohio State,Big Ten,Rutgers,49,27,314.0,28.0
2020,10,Noah Vedral,Rutgers,Big Ten,Ohio State,27,49,165.0,32.0
2020,10,Artur Sitkowski,Rutgers,Big Ten,Ohio State,27,49,62.0,13.0
2020,10,Johnny Langan,Rutgers,Big Ten,Ohio State,27,49,2.0,3.0
2020,10,Feleipe Franks,Arkansas,SEC,Tennessee,24,13,215.0,24.0
2020,10,De'Vion Warren,Arkansas,SEC,Tennessee,24,13,0.0,1.0
2020,10,Harrison Bailey,Tennessee,SEC,Arkansas,13,24,65.0,9.0
2020,10,Jarrett Guarantano,Tennessee,SEC,Arkansas,13,24,42.0,8.0
2020,10,Brian Maurer,Tennessee,SEC,Arkansas,13,24,0.0,4.0
2020,10,Grayson McCall,Coastal Carolina,Sun Belt,South Alabama,23,6,209.0,24.0
2020,10,Fred Payton,Coastal Carolina,Sun Belt,South Alabama,23,6,0.0,1.0
2020,10,Desmond Trotter,South Alabama,Sun Belt,Coastal Carolina,6,23,243.0,31.0
2020,10,Tristan Gebbia,Oregon State,Pac-12,Washington State,28,38,329.0,48.0
2020,10, ,Oregon State,Pac-12,Washington State,28,38,0.0,1.0
2020,10,Jayden de Laura,Washington State,Pac-12,Oregon State,38,28,227.0,33.0
2020,10,Chevan Cordeiro,Hawai'i,Mountain West,New Mexico,39,33,410.0,43.0
2020,10,Calvin Turner,Hawai'i,Mountain West,New Mexico,39,33,0.0,1.0
2020,10,Tevaka Tuioti,New Mexico,Mountain West,Hawai'i,33,39,181.0,31.0
2020,10,Trae Hall,New Mexico,Mountain West,Hawai'i,33,39,39.0,6.0
2020,11,Phil Jurkovec,Boston College,ACC,Notre Dame,31,45,272.0,40.0
2020,11,Ian Book,Notre Dame,FBS Independents,Boston College,45,31,283.0,27.0
2020,11, Team,Notre Dame,FBS Independents,Boston College,45,31,0.0,1.0
2020,11,Feleipe Franks,Arkansas,SEC,Florida,35,63,250.0,19.0
2020,11,Kyle Trask,Florida,SEC,Arkansas,63,35,356.0,29.0
2020,11,Emory Jones,Florida,SEC,Arkansas,63,35,29.0,7.0
2020,11,Kadarius Toney,Florida,SEC,Arkansas,63,35,0.0,1.0
2020,11,Anthony Richardson,Florida,SEC,Arkansas,63,35,0.0,1.0
2020,11,Matt Corral,Ole Miss,SEC,South Carolina,59,42,513.0,32.0
2020,11,Collin Hill,South Carolina,SEC,Ole Miss,42,59,230.0,28.0
2020,11,Shi Smith,South Carolina,SEC,Ole Miss,42,59,0.0,1.0
2020,11,Ken Seals,Vanderbilt,SEC,Kentucky,35,38,225.0,32.0
2020,11,Mike Wright,Vanderbilt,SEC,Kentucky,35,38,2.0,1.0
2020,11,Terry Wilson,Kentucky,SEC,Vanderbilt,38,35,110.0,15.0
2020,11,Beau Allen,Kentucky,SEC,Vanderbilt,38,35,40.0,5.0
2020,11,Alan Bowman,Texas Tech,Big 12,Baylor,24,23,181.0,23.0
2020,11,Henry Colombi,Texas Tech,Big 12,Baylor,24,23,76.0,15.0
2020,11,Charlie Brewer,Baylor,Big 12,Texas Tech,23,24,153.0,26.0
2020,11,Jarret Doege,West Virginia,Big 12,TCU,24,6,212.0,26.0
2020,11,Max Duggan,TCU,Big 12,West Virginia,6,24,161.0,29.0
2020,11,Frank Harris,UTSA,Conference USA,UTEP,52,21,312.0,26.0
2020,11,Josh Adkins,UTSA,Conference USA,UTEP,52,21,0.0,2.0
2020,11,Gavin Hardison,UTEP,Conference USA,UTSA,21,52,159.0,21.0
2020,11,Calvin Brownholtz,UTEP,Conference USA,UTSA,21,52,10.0,1.0
2020,11,Jayden de Laura,Washington State,Pac-12,Oregon,29,43,321.0,39.0
2020,11,Tyler Shough,Oregon,Pac-12,Washington State,43,29,312.0,30.0
2020,11,Sam Noyer,Colorado,Pac-12,Stanford,35,32,255.0,24.0
2020,11,Davis Mills,Stanford,Pac-12,Colorado,32,35,333.0,55.0
2020,11,Tristan Gebbia,Oregon State,Pac-12,Washington,21,27,85.0,24.0
2020,11,Dylan Morris,Washington,Pac-12,Oregon State,27,21,141.0,24.0
2020,11,Dorian Thompson-Robinson,UCLA,Pac-12,California,34,10,196.0,26.0
2020,11,Chase Garbers,California,Pac-12,UCLA,10,34,122.0,33.0
2020,11,Devon Modster,California,Pac-12,UCLA,10,34,0.0,1.0
2020,11,Grant Gunnell,Arizona,Pac-12,USC,30,34,286.0,35.0
2020,11,Kedon Slovis,USC,Pac-12,Arizona,34,30,325.0,43.0
2020,11,Will Jones,Western Carolina,Southern,Liberty,14,58,74.0,13.0
2020,11,Mark Wright,Western Carolina,Southern,Liberty,14,58,66.0,17.0
2020,11,Malik Willis,Liberty,FBS Independents,Western Carolina,58,14,306.0,19.0
2020,11,Chris Ferguson,Liberty,FBS Independents,Western Carolina,58,14,73.0,5.0
2020,11,Kyle Vantrease,Buffalo,Mid-American,Miami (OH),42,10,353.0,27.0
2020,11,AJ Mayer,Miami (OH),Mid-American,Buffalo,10,42,116.0,25.0
2020,11,Aveon Smith,Miami (OH),Mid-American,Buffalo,10,42,3.0,1.0
2020,11,Zach Gibson,Akron,Mid-American,Ohio,10,24,218.0,30.0
2020,11,Kurtis Rourke,Ohio,Mid-American,Akron,24,10,92.0,14.0
2020,11,Armani Rogers,Ohio,Mid-American,Akron,24,10,30.0,3.0
2020,11,Matt McDonald,Bowling Green,Mid-American,Kent State,24,62,105.0,20.0
2020,11,Dustin Crum,Kent State,Mid-American,Bowling Green,62,24,271.0,27.0
2020,11,Collin Schlee,Kent State,Mid-American,Bowling Green,62,24,101.0,8.0
2020,11,Kaleb Eleby,Western Michigan,Mid-American,Toledo,41,38,284.0,29.0
2020,11,Eli Peters,Toledo,Mid-American,Western Michigan,38,41,339.0,46.0
2020,11,Grant Wells,Marshall,Conference USA,Middle Tennessee,42,14,336.0,37.0
2020,11,Asher O'Hara,Middle Tennessee,Conference USA,Marshall,14,42,241.0,44.0
2020,11,Chaton Mobley,Middle Tennessee,Conference USA,Marshall,14,42,6.0,1.0
2020,11,Max Bortenschlager,Florida International,Conference USA,Florida Atlantic,19,38,82.0,18.0
2020,11,Stone Norton,Florida International,Conference USA,Florida Atlantic,19,38,43.0,12.0
2020,11,Javion Posey,Florida Atlantic,Conference USA,Florida International,38,19,80.0,16.0
2020,11,Trey Lowe III,Southern Miss,Conference USA,Western Kentucky,7,10,67.0,14.0
2020,11,Tyrrell Pigrome,Western Kentucky,Conference USA,Southern Miss,10,7,183.0,30.0
2020,11,Dillon Gabriel,UCF,American Athletic,Temple,38,13,268.0,22.0
2020,11,Quadry Jones,UCF,American Athletic,Temple,38,13,4.0,2.0
2020,11,Re-al Mitchell,Temple,American Athletic,UCF,13,38,107.0,23.0
2020,11,Matt Duncan,Temple,American Athletic,UCF,13,38,0.0,2.0
2020,11,Clayton Tune,Houston,American Athletic,South Florida,56,21,165.0,25.0
2020,11,Bryson Smith,Houston,American Athletic,South Florida,56,21,21.0,1.0
2020,11,Jordan McCloud,South Florida,American Athletic,Houston,21,56,180.0,29.0
2020,11,Katravis Marsh,South Florida,American Athletic,Houston,21,56,43.0,10.0
2020,11,Holton Ahlers,East Carolina,American Athletic,Cincinnati,17,55,87.0,20.0
2020,11,Mason Garcia,East Carolina,American Athletic,Cincinnati,17,55,0.0,1.0
2020,11,Desmond Ridder,Cincinnati,American Athletic,East Carolina,55,17,327.0,31.0
2020,11,Ben Bryant,Cincinnati,American Athletic,East Carolina,55,17,27.0,3.0
2020,11,Shane Buechele,SMU,American Athletic,Tulsa,24,28,200.0,36.0
2020,11,Zach Smith,Tulsa,American Athletic,SMU,28,24,325.0,38.0
2020,11,Christian Anderson,Army,FBS Independents,Tulane,12,38,36.0,12.0
2020,11,Riley Tyson,Army,FBS Independents,Tulane,12,38,-3.0,1.0
2020,11,Michael Pratt,Tulane,American Athletic,Army,38,12,197.0,27.0
2020,11,Desmond Trotter,South Alabama,Sun Belt,Louisiana,10,38,133.0,28.0
2020,11,Chance Lovertich,South Alabama,Sun Belt,Louisiana,10,38,12.0,8.0
2020,11,Levi Lewis,Louisiana,Sun Belt,South Alabama,38,10,252.0,31.0
2020,11,Chandler Fields,Louisiana,Sun Belt,South Alabama,38,10,0.0,4.0
2020,11,Shai Werts,Georgia Southern,Sun Belt,Texas State,40,38,51.0,9.0
2020,11,Brady McBride,Texas State,Sun Belt,Georgia Southern,38,40,155.0,13.0
2020,11,Tyler Vitt,Texas State,Sun Belt,Georgia Southern,38,40,114.0,18.0
2020,11,Sione Tupou,Texas State,Sun Belt,Georgia Southern,38,40,0.0,1.0
2020,11,Zac Thomas,App State,Sun Belt,Georgia State,17,13,146.0,22.0
2020,11,Jacob Huesman,App State,Sun Belt,Georgia State,17,13,33.0,4.0
2020,11,Cornelious Brown,Georgia State,Sun Belt,App State,13,17,152.0,33.0
2020,11,Preston Hutchinson,Eastern Michigan,Mid-American,Ball State,31,38,250.0,29.0
2020,11,Drew Plitt,Ball State,Mid-American,Eastern Michigan,38,31,232.0,31.0
2020,11, Team,Ball State,Mid-American,Eastern Michigan,38,31,0.0,1.0
2020,11,Ross Bowers,Northern Illinois,Mid-American,Central Michigan,10,40,139.0,32.0
2020,11,Andrew Haidet,Northern Illinois,Mid-American,Central Michigan,10,40,31.0,2.0
2020,11,Daniel Richardson,Central Michigan,Mid-American,Northern Illinois,40,10,93.0,9.0
2020,11,Bailey Hockman,NC State,ACC,Florida State,38,22,265.0,34.0
2020,11,Chubba Purdy,Florida State,ACC,NC State,22,38,181.0,23.0
2020,11,Tate Rodemaker,Florida State,ACC,NC State,22,38,19.0,5.0
2020,11,Sam Howell,North Carolina,ACC,Wake Forest,59,53,550.0,45.0
2020,11,Sam Hartman,Wake Forest,ACC,North Carolina,53,59,429.0,45.0
2020,11,D'Eriq King,Miami,ACC,Virginia Tech,25,24,255.0,38.0
2020,11,Hendon Hooker,Virginia Tech,ACC,Miami,24,25,207.0,28.0
2020,11, Team,Virginia Tech,ACC,Miami,24,25,0.0,1.0
2020,11,Malik Cunningham,Louisville,ACC,Virginia,17,31,161.0,21.0
2020,11,Brennan Armstrong,Virginia,ACC,Louisville,31,17,203.0,23.0
2020,11,Jake Haener,Fresno State,Mountain West,Utah State,35,16,422.0,38.0
2020,11,Jason Shelley,Utah State,Mountain West,Fresno State,16,35,144.0,24.0
2020,11,Patrick O'Brien,Colorado State,Mountain West,Boise State,21,52,140.0,20.0
2020,11,Todd Centeio,Colorado State,Mountain West,Boise State,21,52,36.0,9.0
2020,11,Hank Bachmeier,Boise State,Mountain West,Colorado State,52,21,202.0,28.0
2020,11,Cade Fennegan,Boise State,Mountain West,Colorado State,52,21,0.0,2.0
2020,11,Carson Strong,Nevada,Mountain West,New Mexico,27,20,336.0,38.0
2020,11,Toa Taua,Nevada,Mountain West,New Mexico,27,20,4.0,1.0
2020,11,Trae Hall,New Mexico,Mountain West,Nevada,20,27,195.0,32.0
2020,11,Bryson Carroll,New Mexico,Mountain West,Nevada,20,27,16.0,1.0
2020,11,Chevan Cordeiro,Hawai'i,Mountain West,San Diego State,10,34,209.0,35.0
2020,11,Carson Baker,San Diego State,Mountain West,Hawai'i,34,10,30.0,13.0
2020,11,Nick Starkel,San José State,Mountain West,UNLV,34,17,274.0,28.0
2020,11,Nick Nash,San José State,Mountain West,UNLV,34,17,7.0,1.0
2020,11,Justin Rogers,UNLV,Mountain West,San José State,17,34,162.0,18.0
2020,11,Max Gilliam,UNLV,Mountain West,San José State,17,34,62.0,10.0
2020,11,Michael Penix Jr.,Indiana,Big Ten,Michigan State,24,0,320.0,38.0
2020,11,Payton Thorne,Michigan State,Big Ten,Indiana,0,24,110.0,20.0
2020,11,Rocky Lombardi,Michigan State,Big Ten,Indiana,0,24,21.0,7.0
2020,11,Isaiah Williams,Illinois,Big Ten,Rutgers,23,20,104.0,18.0
2020,11,Noah Vedral,Rutgers,Big Ten,Illinois,20,23,248.0,34.0
2020,11,Graham Mertz,Wisconsin,Big Ten,Michigan,49,11,127.0,22.0
2020,11,Joe Milton,Michigan,Big Ten,Wisconsin,11,49,98.0,19.0
2020,11,Cade McNamara,Michigan,Big Ten,Wisconsin,11,49,74.0,7.0
2020,11,Luke McCaffrey,Nebraska,Big Ten,Penn State,30,23,152.0,21.0
2020,11,Will Levis,Penn State,Big Ten,Nebraska,23,30,219.0,31.0
2020,11,Sean Clifford,Penn State,Big Ten,Nebraska,23,30,37.0,8.0
2020,11,Spencer Petras,Iowa,Big Ten,Minnesota,35,7,111.0,18.0
2020,11,Tanner Morgan,Minnesota,Big Ten,Iowa,7,35,167.0,33.0
2020,11,Aidan O'Connell,Purdue,Big Ten,Northwestern,20,27,263.0,51.0
2020,11,Peyton Ramsey,Northwestern,Big Ten,Purdue,27,20,212.0,36.0
2020,12,Will Rogers,Mississippi State,SEC,Georgia,24,31,336.0,52.0
2020,12,JT Daniels,Georgia,SEC,Mississippi State,31,24,401.0,38.0
2020,12,Ken Seals,Vanderbilt,SEC,Florida,17,38,319.0,34.0
2020,12,Kyle Trask,Florida,SEC,Vanderbilt,38,17,383.0,35.0
2020,12,Emory Jones,Florida,SEC,Vanderbilt,38,17,30.0,1.0
2020,12,Bo Nix,Auburn,SEC,Tennessee,30,17,220.0,26.0
2020,12,Jarrett Guarantano,Tennessee,SEC,Auburn,17,30,156.0,23.0
2020,12,Harrison Bailey,Tennessee,SEC,Auburn,17,30,86.0,10.0
2020,12,Connor Bazelak,Missouri,SEC,South Carolina,17,10,203.0,33.0
2020,12,Luke Doty,South Carolina,SEC,Missouri,10,17,130.0,23.0
2020,12,Collin Hill,South Carolina,SEC,Missouri,10,17,39.0,10.0
2020,12,Mac Jones,Alabama,SEC,Kentucky,63,3,230.0,24.0
2020,12,Bryce Young,Alabama,SEC,Kentucky,63,3,53.0,2.0
2020,12,Terry Wilson,Kentucky,SEC,Alabama,3,63,120.0,19.0
2020,12,Joey Gatewood,Kentucky,SEC,Alabama,3,63,0.0,4.0
2020,12,Beau Allen,Kentucky,SEC,Alabama,3,63,0.0,2.0
2020,12,Javion Posey,Florida Atlantic,Conference USA,Massachusetts,24,2,203.0,27.0
