team,player,pos,slot,fcs_grade,fcs_games,origin_ctr,proj_fbs,proj_sd
San_José_State,Brian Dukes Jr.,S,1,82.6,4,-0.4,69.3,0.4
Iowa,Xavier Styles,S,2,82.5,11,-1.6,69.2,0.4
Eastern_Michigan,Peyton Christian,DI,1,82.5,13,1.0,69.1,0.5
Bowling_Green,Isaiah Dawson,WR,2,82.9,12,2.0,69.0,0.5
Massachusetts,Devin Matthews,WR,2,83.4,11,-0.1,69.0,0.5
Buffalo,Caleb Oliver,ED,2,81.8,12,2.2,68.9,0.5
Colorado,Balansama Kamara,ED,1,82.9,11,-2.1,68.9,0.4
Duke,Jared Richardson,WR,2,82.9,10,0.1,68.9,0.5
Sacramento_State,Davion Godley,HB,2,83.6,7,-3.2,68.8,0.4
UNLV,Cam Santee,LB,1,81.4,12,-1.3,68.8,0.4
Kent_State,Norey Johnson,S,2,80.5,11,-0.4,68.6,0.3
Michigan,Nathaniel Staehling,LB,3,79.0,13,5.3,68.6,0.5
Boise_State,Roman Tillmon,S,1,79.5,15,2.7,68.5,0.4
Georgia_State,Ayden Pereira,QB,2,77.9,12,-1.1,68.5,2.3
UTEP,Kaleb Miles,CB,2,80.2,10,-0.1,68.5,0.3
Utah_State,Antonio Bluiett,CB,1,79.1,10,4.0,68.5,0.4
Iowa,Tony Diaz,WR,1,80.4,12,4.0,68.4,0.5
Louisville,Jackson Voth,WR,6,80.7,12,1.5,68.3,0.4
New_Mexico_State,Trey Hedden,QB,1,76.8,12,0.3,68.3,2.3
Purdue,Tre Moore,ED,3,79.8,12,2.2,68.3,0.4
South_Florida,D.J. Crowther,HB,1,80.4,10,2.9,68.3,0.5
Akron,Vaughn Highland,DI,2,80.7,11,-3.3,68.1,0.3
New_Mexico_State,James Jones,HB,1,80.9,11,-1.5,68.1,0.3
Western_Michigan,Cam'ron Barber,CB,2,78.0,11,3.9,68.1,0.4
North_Dakota_State,Griffin Empey,G,1,78.1,13,5.3,68.0,0.5
Rutgers,Zahmir Dawud,CB,1,77.7,15,2.3,67.9,0.3
Ohio,Eli Thompson,CB,1,78.3,12,-1.3,67.8,0.3
Central_Michigan,Donavan Philord,CB,2,78.2,12,-1.6,67.7,0.3
Georgia_Tech,Isaiah Fuhrmann,WR,2,78.6,11,2.7,67.7,0.4
UAB,Blanche Gold,ED,1,79.0,12,-1.2,67.7,0.3
Iowa_State,Cody Jackson,WR,1,77.4,13,6.4,67.6,0.5
UTEP,EJ Colson,QB,1,74.3,10,2.3,67.6,2.3
Utah_State,Adonis Jackson,ED,2,79.7,10,-4.8,67.6,0.3
Wyoming,Jeremiah Katt,G,2,78.3,11,0.7,67.6,0.3
Oregon_State,Adonis McDaniel,WR,2,77.9,13,3.0,67.5,0.4
UTEP,Elijah Fields,DI,1,77.0,14,4.2,67.5,0.4
Wake_Forest,John Ohnegian,C,4,78.0,12,-2.0,67.3,0.2
USC,GianCarlo Rufo,LB,3,76.1,12,-0.6,67.1,0.2
Wisconsin,Jaylon Domingeaux,WR,1,76.8,13,2.7,67.1,0.4
Ohio,KJ Sejour,CB,2,75.7,12,0.1,67.0,0.2
Western_Michigan,Nate Levicki,TE,1,76.2,12,3.9,67.0,0.4
Western_Michigan,Willard Ferrell,CB,2,74.8,12,3.9,67.0,0.3
Fresno_State,Dylan Hampsten,ED,2,75.9,11,1.7,66.9,0.3
Iowa,Kahmari Brown,ED,2,75.2,12,2.7,66.8,0.3
Massachusetts,Joshua Iseah,LB,2,76.2,12,-3.8,66.8,0.2
New_Mexico,Will Hicks,S,2,76.1,12,-3.8,66.8,0.2
Northern_Illinois,Kole Sneed,DI,3,75.3,12,2.4,66.8,0.3
Rutgers,Bradlee Jones,CB,2,75.2,12,-0.8,66.8,0.2
Temple,Jaylon Joseph,ED,1,75.8,12,0.7,66.8,0.3
Utah_State,Asher Cunningham,LB,2,74.2,12,2.7,66.7,0.2
Bowling_Green,Drey Braxton,CB,1,73.8,12,2.5,66.6,0.2
Ohio,Darren James-Hamilton,S,1,73.3,12,2.7,66.4,0.2
Toledo,Nick Thomas,T,2,73.9,6,3.2,66.4,0.3
Massachusetts,Zachary Betts,ED,3,75.7,11,-4.7,66.3,0.2
UTEP,Carver Cheeks,WR,1,75.7,12,-1.1,66.3,0.2
Massachusetts,Justin Krueger,ED,2,73.8,12,1.4,66.2,0.2
Memphis,Ellis Ellis Jr.,CB,1,72.7,12,1.8,66.2,0.2
Oregon_State,Isaiah Houi,CB,2,73.6,12,-2.5,66.1,0.2
Indiana,Carson Williams,CB,2,71.2,16,6.2,66.0,0.3
Arkansas_State,Donquarius Parker,ED,1,72.8,12,2.5,65.9,0.2
Western_Michigan,Kouri Crump,S,3,73.6,12,-4.5,65.9,0.2
Central_Michigan,Jayden Clerveaux,HB,2,74.1,12,-1.3,65.8,0.1
Illinois,Carter Janki,DI,1,73.1,10,0.1,65.8,0.2
Iowa_State,Braden Smith,G,1,71.2,14,6.4,65.8,0.3
Missouri_State,Joel Kpassou,CB,2,72.3,12,-0.4,65.8,0.1
Purdue,Travis Terrell Jr.,HB,2,73.2,12,2.3,65.8,0.2
Temple,Jayce Freeman,WR,1,73.6,9,0.7,65.8,0.2
Michigan_State,Trent Fraley,C,1,71.3,13,5.3,65.7,0.3
Oregon_State,Ish Findlayter,ED,2,72.8,10,-0.4,65.7,0.1
Toledo,Adjatay Dabbs,WR,2,72.6,13,3.0,65.7,0.2
Northwestern,Montae Pate,CB,1,72.5,12,-3.2,65.6,0.2
Purdue,Bisi Owens,WR,1,73.1,10,0.1,65.6,0.1
Central_Michigan,Max Van Fleet,DI,2,72.0,10,-0.7,65.4,0.1
Kentucky,Shane Carr,WR,5,72.2,12,1.5,65.4,0.2
Michigan_State,Devin Vaught,S,2,70.6,12,0.8,65.4,0.1
Massachusetts,Logan Inagawa,QB,3,67.7,11,1.5,65.3,2.4
Louisville,Davin Wydner,QB,2,67.9,10,-0.2,65.2,2.3
Massachusetts,Kendric Council,LB,2,71.3,10,-4.7,65.1,0.3
Ohio,Barry Dillon,CB,1,69.4,12,2.3,65.1,0.1
Purdue,Wisdom Simms,DI,2,70.2,12,2.5,65.1,0.1
San_José_State,Jordan Anderson,WR,2,71.1,11,1.7,65.0,0.1
Wyoming,Jack Dunkley,ED,1,70.7,12,-0.4,65.0,0.1
Bowling_Green,Nick Sawyer,CB,2,69.7,10,-0.8,64.9,0.2
Nevada,James Gillespie,DI,2,69.9,11,1.7,64.9,0.1
Wake_Forest,Sawyer Seidl,HB,3,70.2,14,4.0,64.9,0.2
Kent_State,Camdon Wilborn,DI,2,70.6,12,-1.6,64.8,0.1
New_Mexico,Miles Williams,WR,1,71.0,12,-0.5,64.8,0.1
Oregon_State,Jabari Odoemenem,LB,1,69.1,12,-0.4,64.7,0.2
UCLA,Dallin Havea,ED,2,70.1,12,-0.6,64.7,0.1
UTEP,Esteban Guillory,S,1,69.2,10,-3.1,64.5,0.3
Bowling_Green,Ke'Marion Baldwin,HB,2,69.8,11,-0.8,64.4,0.1
Iowa,Brice Stevenson,DI,1,69.4,12,-1.3,64.4,0.1
San_Diego_State,Mike Lindsay,CB,1,67.1,10,2.4,64.3,0.1
Buffalo,Joey Cheshire,LB,1,67.6,10,-0.7,64.2,0.2
Rutgers,Jaedin Lee,DI,3,68.1,12,0.8,64.2,0.1
Ball_State,CJ Nelson,WR,2,69.4,9,-2.5,64.1,0.1
San_Diego_State,Sione Hala,LB,1,67.9,10,-3.2,64.1,0.3
South_Florida,Jason Collins Jr.,HB,1,69.2,7,-1.2,64.1,0.1
Ball_State,Sean Ward,TE,3,67.6,8,2.9,64.0,0.1
Buffalo,Stantavious Smith,DI,2,67.8,10,-0.4,64.0,0.1
Massachusetts,Greg Knox,T,1,67.2,12,1.6,64.0,0.1
Penn_State,Keith Jones Jr.,WR,2,68.7,11,-1.3,64.0,0.1
San_Diego_State,Dennis Jones,T,1,67.8,11,-0.8,64.0,0.1
Central_Michigan,Losini Maka,C,1,67.7,11,-0.6,63.9,0.1
Vanderbilt,Beau Johnson,T,2,65.9,13,5.3,63.9,0.2
Alabama,Racin Delgatty,C,5,67.2,12,-0.4,63.8,0.1
Hawai'i,Spencer Elliott,ED,2,67.9,12,-3.3,63.8,0.2
UTEP,Isaiah Bogerty,LB,1,66.4,10,-0.8,63.8,0.2
Iowa,Anthony Hawkins,S,1,65.3,15,2.3,63.7,0.2
Kennesaw_State,Latrelle Murrell,HB,2,67.7,11,-0.2,63.7,0.1
Kent_State,Ben Midea,C,1,68.0,10,-4.7,63.7,0.3
North_Dakota_State,Nyeoti Punni,HB,2,67.6,12,-1.3,63.6,0.1
Oregon_State,Daniel Matagi,DI,3,67.3,12,-3.3,63.6,0.2
Oregon_State,Eric Olsen,TE,2,67.5,12,-0.6,63.6,0.1
Wyoming,Donnie Wingate,ED,2,66.1,12,2.0,63.6,0.1
Central_Michigan,Darrell Bryant Jr.,S,1,65.6,12,-1.1,63.5,0.3
Charlotte,Nic Cruji,C,1,66.0,12,0.8,63.5,0.1
Nevada,Jaceon Doss,WR,2,66.6,12,1.0,63.5,0.1
Southern_Miss,Andrew Martin,ED,2,66.8,12,-1.9,63.5,0.2
Toledo,Ahmad Carwise,G,1,65.7,11,1.8,63.5,0.1
Sacramento_State,Darson Jeanty,S,1,64.9,12,0.7,63.4,0.2
Oregon_State,Dylan Layne,LB,1,64.8,12,0.1,63.3,0.3
Pittsburgh,Malik Knight,WR,2,66.5,12,-0.2,63.3,0.1
Utah_State,Kadin Lynch,G,2,65.3,12,1.4,63.3,0.2
Marshall,TJ Lester,HB,2,66.3,11,-0.2,63.2,0.1
Miami_(OH),Brian Beidatsch,T,2,65.4,12,-0.4,63.2,0.2
Kent_State,Mofe Adewole,T,1,65.4,12,-1.6,63.1,0.2
Kentucky,Hasaan Sykes,CB,5,64.1,11,-0.2,63.1,0.3
Wake_Forest,Tolu Olajide,T,5,65.5,13,-1.3,63.1,0.2
East_Carolina,Ethan Kramer,G,1,64.6,12,0.7,63.0,0.2
Boise_State,Darren Morris,WR,2,66.1,12,-3.3,62.9,0.3
Nevada,Brandon Amaniampong,ED,2,65.4,9,-3.5,62.9,0.3
Oregon_State,Teko Shoats,T,1,64.6,10,-0.0,62.9,0.2
Sacramento_State,Nick Dimitris,DI,2,64.5,12,-0.4,62.9,0.2
Wake_Forest,Will Way,C,3,65.2,11,-3.2,62.9,0.3
Central_Michigan,James Reinbold,ED,2,64.3,10,-0.7,62.8,0.2
Georgia_Southern,Aaron Sears,S,3,62.1,14,4.2,62.8,0.2
Kent_State,Quan Rhodes-McKee,LB,3,63.4,9,-0.4,62.8,0.3
Sacramento_State,Xavier Williams,ED,1,63.7,11,1.7,62.8,0.2
UTEP,Jackson Bradley,G,1,64.2,10,-0.7,62.8,0.2
South_Florida,Major Dillard,DI,1,64.5,12,-2.4,62.7,0.3
Massachusetts,Jordan Washington,HB,1,65.8,12,-5.2,62.6,0.3
Akron,Brandon Smith,C,1,62.4,8,2.7,62.5,0.2
UCLA,Ty Dieffenbach,QB,3,59.8,9,-0.4,62.5,2.4
UTEP,Brian Williams Jr.,G,1,62.5,12,2.3,62.5,0.2
Western_Michigan,Brandon Smith,C,2,62.4,8,2.7,62.5,0.2
Wyoming,Ja'Quan Redfern,DI,2,64.6,10,-5.2,62.5,0.4
Buffalo,Nathan Natoli,T,2,63.6,10,-2.0,62.4,0.3
Fresno_State,Tariq Thomas,HB,3,64.2,12,-2.0,62.4,0.3
Nevada,Damien Morgan,WR,1,63.1,12,2.4,62.4,0.2
Nevada,Donnie Cheers,WR,2,63.2,12,-0.4,62.2,0.3
Fresno_State,Micah Mosley,ED,3,61.6,9,1.7,62.1,0.3
Toledo,Kalvin Gilbert Jr.,WR,1,63.1,12,-0.4,62.1,0.3
UCLA,Derek Osman,T,3,61.3,11,2.8,62.1,0.2
Northwestern,Glory Stephen-Wangboje,DI,3,61.8,12,0.1,62.0,0.3
Toledo,Luke Rector,C,2,61.3,12,1.8,62.0,0.3
Massachusetts,Zakar Morris,DI,2,62.0,12,-2.1,61.9,0.4
Purdue,Dee Newsome,CB,2,61.9,11,-4.9,61.9,0.5
San_Diego_State,Matthew Montgomery,T,1,62.2,9,-3.1,61.9,0.4
UTEP,Raymond Moore III,QB,2,58.4,9,-1.2,61.9,2.4
Bowling_Green,Nick Sowell,WR,2,62.1,13,-0.5,61.8,0.3
Wyoming,Chandler Donaway,G,1,60.9,11,-0.1,61.7,0.3
East_Carolina,Ismael Smith Flores,TE,1,60.2,12,4.0,61.6,0.2
Massachusetts,Greg Klingensmith,T,2,60.1,11,1.4,61.6,0.3
Buffalo,Sayre Smothers,CB,3,59.5,12,-0.8,61.5,0.5
Central_Michigan,Trevor Swan,T,2,60.2,12,-0.6,61.4,0.4
East_Carolina,Niko Paic,G,2,60.3,12,-1.5,61.4,0.4
Eastern_Michigan,Guzzy Kayed,T,1,61.0,11,-4.7,61.3,0.5
Fresno_State,Oscar Weigel,T,1,59.1,12,2.2,61.3,0.3
Sacramento_State,Dionte Thornton,CB,1,59.5,12,-3.3,61.2,0.6
Georgia_State,Tre Mittman,S,3,59.3,12,-3.8,61.1,0.6
Sacramento_State,Kyle Koontz,TE,3,60.1,9,-0.4,61.1,0.4
San_José_State,Jayland McGlothen,DI,2,58.3,11,1.7,61.0,0.4
Nevada,Jose Balver-Mendoza,T,2,57.9,4,2.2,60.9,0.4
Southern_Miss,A.J. Little,WR,2,58.6,12,0.1,60.7,0.4
Central_Michigan,Nic DiSanto,T,3,58.3,11,-2.5,60.6,0.5
San_José_State,Aizik Mahuka,LB,2,55.3,12,-3.2,59.8,0.7
Rutgers,Isaiah Cook,S,3,53.5,10,2.4,59.7,0.5
Akron,Caiden Newsome,CB,2,54.2,12,-1.3,59.6,0.7
Sacramento_State,Shontrail Key,T,1,53.8,12,2.3,59.5,0.5
North_Dakota_State,Nate Tastad,G,1,52.5,13,5.3,59.3,0.5
San_José_State,Pierce Walker,S,2,53.8,12,-3.3,59.3,0.7
UTEP,Preston Hickey,DI,2,55.9,12,-8.1,59.3,0.8
Missouri_State,Isaiah Villanueva,G,2,51.5,7,2.3,58.7,0.6
Central_Michigan,Jaden Allen,TE,1,52.9,11,-2.7,58.5,0.7
Buffalo,Trevor Wilson,TE,1,49.7,12,-1.6,57.5,0.8
Wyoming,Tyler Siddons,TE,3,50.9,12,-8.1,57.3,1.0
Sacramento_State,Malikai Nichols,CB,1,47.5,9,-4.7,57.1,1.0
Ohio,Sandro Malicevic,T,2,37.8,8,-2.5,53.7,1.2
Oregon_State,Kwan Johnson,T,1,36.3,12,-2.5,53.2,1.3
