season,home,away,neutral,margin,rdiff,close
2022,Oklahoma State,Central Michigan,0,14,18.9,-20.5
2022,Pittsburgh,West Virginia,0,7,11.1,-7.5
2022,Purdue,Penn State,0,-4,-6.6,3.5
2022,Missouri,Louisiana Tech,0,28,18.8,-20.5
2022,Minnesota,New Mexico State,0,38,39.8,-36.0
2022,Michigan State,Western Michigan,0,22,23.8,-21.75
2022,Old Dominion,Virginia Tech,0,3,-10.1,6.0
2022,Duke,Temple,0,30,3.4,-9.5
2022,Indiana,Illinois,0,3,-2.6,-1.0
2022,Colorado,TCU,0,-25,-15.5,13.5
2022,East Carolina,NC State,0,-1,-16.1,12.5
2022,Boston College,Rutgers,0,-1,3.0,-9.0
2022,Michigan,Colorado State,0,44,29.0,-31.0
2022,Maryland,Buffalo,0,21,15.2,-24.0
2022,UCLA,Bowling Green,0,28,22.5,-24.0
2022,Georgia,Oregon,1,46,16.2,-16.0
2022,Arkansas,Cincinnati,0,7,0.2,-6.5
2022,San Diego State,Arizona,0,-18,13.8,-6.25
2022,UTSA,Houston,0,-2,-4.5,3.5
2022,Wyoming,Tulsa,0,3,-7.4,6.5
2022,Oklahoma,UTEP,0,32,32.0,-31.0
2022,South Florida,BYU,0,-29,-19.6,11.5
2022,Ole Miss,Troy,0,18,24.9,-21.5
2022,Nevada,Texas State,0,24,5.4,2.0
2022,USC,Rice,0,52,23.9,-33.0
2022,Ohio,Florida Atlantic,0,3,-3.9,6.0
2022,James Madison,Middle Tennessee,0,37,1.1,-4.5
2022,Southern Miss,Liberty,0,-2,-8.0,3.5
2022,Coastal Carolina,Army,0,10,0.3,-1.5
2022,Florida,Utah,0,3,-2.7,2.5
2022,Kentucky,Miami (OH),0,24,21.2,-15.5
2022,Tulane,Massachusetts,0,32,22.5,-28.5
2022,Ohio State,Notre Dame,0,11,8.7,-17.0
2022,Mississippi State,Memphis,0,26,12.9,-17.0
2022,Alabama,Utah State,0,55,34.0,-42.0
2022,South Carolina,Georgia State,0,21,10.9,-12.5
2022,North Texas,SMU,0,-38,-14.0,9.5
2022,Syracuse,Louisville,0,24,-7.5,6
2022,Washington,Kent State,0,25,14.7,-23.5
2022,Oregon State,Boise State,0,17,-6.1,-1.5
2022,Hawai'i,Western Kentucky,0,-32,-20.5,16.5
2022,Florida State,LSU,1,1,-4.8,4.5
2022,Georgia Tech,Clemson,1,-31,-26.9,24.5
2023,Notre Dame,Navy,1,39,32.2,-20.5
2023,Jacksonville State,UTEP,0,3,-2.2,1
2023,San Diego State,Ohio,0,7,5.2,-3
2023,New Mexico State,Massachusetts,0,-11,4.6,-8
2023,Vanderbilt,Hawai'i,0,7,12.1,-17.75
2023,USC,San José State,0,28,32.0,-30.5
2023,Louisiana Tech,Florida International,0,5,5.5,-10
2023,UCF,Kent State,0,50,32.2,-35
2023,Utah,Florida,0,13,5.1,-5.5
2023,Minnesota,Nebraska,0,3,9.1,-7.5
2023,Michigan State,Central Michigan,0,24,20.5,-14
2023,Georgia Tech,Louisville,1,-5,-14.9,7.5
2023,Hawai'i,Stanford,0,-13,-7.2,2.75
2023,TCU,Colorado,0,-3,23.5,-20.5
2023,Michigan,East Carolina,0,27,37.3,-35.5
2023,Liberty,Bowling Green,0,10,14.3,-9.0
2023,Tennessee,Virginia,1,36,28.2,-28
2023,Purdue,Fresno State,0,-4,2.2,-4
2023,Iowa,Utah State,0,10,29.4,-23.75
2023,Oklahoma,Arkansas State,0,73,33.6,-36.0
2023,Kentucky,Ball State,0,30,27.4,-26.0
2023,SMU,Louisiana Tech,0,24,21.1,-20.5
2023,Boston College,Northern Illinois,0,-3,10.7,-8.5
2023,Temple,Akron,0,3,8.0,-9.75
2023,Washington,Boise State,0,37,11.4,-14.5
2023,Texas,Rice,0,27,38.7,-35.25
2023,Auburn,Massachusetts,0,45,37.0,-35
2023,Indiana,Ohio State,0,-20,-35.2,30
2023,Wisconsin,Buffalo,0,21,27.4,-28
2023,Western Kentucky,South Florida,0,17,7.2,-13.25
2023,North Texas,California,0,-37,-11.2,6.5
2023,USC,Nevada,0,52,34.8,-38.0
2023,Houston,UTSA,0,3,0.0,1.5
2023,Texas A&M,New Mexico,0,42,38.7,-38.0
2023,Colorado State,Washington State,0,-26,-20.6,10.25
2023,Baylor,Texas State,0,-11,29.5,-26.75
2023,Illinois,Toledo,0,2,10.6,-9
2023,Wyoming,Texas Tech,0,2,-21.0,13.5
2023,Penn State,West Virginia,0,23,20.6,-20.5
2023,North Carolina,South Carolina,1,14,1.6,2.5
2023,Alabama,Middle Tennessee,0,49,41.7,-39.5
2023,Tulane,South Alabama,0,20,6.3,-6.25
2023,Virginia Tech,Old Dominion,0,19,15.2,-16.0
2023,BYU,Sam Houston,0,14,22.2,-20.0
2023,UCLA,Coastal Carolina,0,14,13.3,-15.5
2023,Rutgers,Northwestern,0,17,0.7,-6.5
2023,San José State,Oregon State,0,-25,-22.9,15.25
2023,Florida State,LSU,1,21,-4.2,2.5
2023,Duke,Clemson,0,21,-17.3,12.5
2024,Georgia Tech,Florida State,1,3,-19.3,10.5
2024,Nevada,SMU,0,-5,-29.4,27.5
2024,Minnesota,North Carolina,0,-2,-3.7,1.5
2024,Jacksonville State,Coastal Carolina,0,-28,-3.4,-3.5
2024,Oklahoma,Temple,0,48,41.7,-43
2024,Michigan State,Florida Atlantic,0,6,9.8,-12
2024,Wisconsin,Western Michigan,0,14,25.8,-24
2024,Stanford,TCU,0,-7,-12.2,8.5
2024,Vanderbilt,Virginia Tech,0,7,-16.7,13.5
2024,Georgia,Clemson,1,31,15.4,-10.5
2024,Pittsburgh,Kent State,0,31,20.1,-23.5
2024,West Virginia,Penn State,0,-22,-16.4,7.5
2024,Massachusetts,Eastern Michigan,0,-14,-4.2,-2.5
2024,Nebraska,UTEP,0,33,25.2,-27.5
2024,Indiana,Florida International,0,24,14.5,-25.5
2024,Ohio State,Akron,0,46,53.0,-49.5
2024,UTSA,Kennesaw State,0,12,22.1,-24.0
2024,Texas,Colorado State,0,52,38.3,-35
2024,Syracuse,Ohio,0,16,11.0,-17.5
2024,Northwestern,Miami (OH),1,7,1.2,-3.5
2024,Georgia Southern,Boise State,0,-11,-18.2,12.5
2024,South Carolina,Old Dominion,0,4,22.6,-20.5
2024,South Alabama,North Texas,0,-14,4.9,-6
2024,Troy,Nevada,0,-2,16.0,-7.5
2024,Houston,UNLV,0,-20,1.9,-2.25
2024,Alabama,Western Kentucky,0,63,29.4,-34
2024,Rice,Sam Houston,0,-20,5.2,-9.5
2024,Texas A&M,Notre Dame,0,-10,-4.2,-2.5
2024,Michigan,Fresno State,0,20,25.1,-21.0
2024,Hawai'i,UCLA,0,-3,-21.4,13.5
2024,Kentucky,Southern Miss,0,31,29.9,-25.5
2024,Georgia Tech,Georgia State,0,23,11.9,-20.5
2024,Charlotte,James Madison,0,-23,-18.8,7.0
2024,Arizona State,Wyoming,0,41,4.0,-6.5
2024,Arizona,New Mexico,0,22,33.0,-29
2024,LSU,USC,1,-7,9.2,-4
2024,Florida State,Boston College,0,-15,22.3,-16.5
2025,Kansas State,Iowa State,1,-3,4.7,-3
2025,Kansas,Fresno State,0,24,11.7,-14
2025,Western Kentucky,Sam Houston,0,17,5.8,-9.5
2025,Hawai'i,Stanford,0,3,-6.6,-1.5
2025,South Florida,Boise State,0,27,-12.8,5.5
2025,Rutgers,Ohio,0,3,10.4,-15.5
2025,NC State,East Carolina,0,7,12.8,-13.5
2025,Akron,Wyoming,0,-10,-7.4,5
2025,UCF,Jacksonville State,0,7,13.4,-20.5
2025,Minnesota,Buffalo,0,13,14.9,-16.5
2025,Wisconsin,Miami (OH),0,17,16.7,-18
2025,Cincinnati,Nebraska,1,-3,-8.1,6
2025,Michigan State,Western Michigan,0,17,16.6,-21.5
2025,Wake Forest,Kennesaw State,0,1,15.4,-18.5
2025,Baylor,Auburn,0,-14,-3.7,1
2025,Colorado,Georgia Tech,0,-7,-2.0,3.5
2025,Sam Houston,UNLV,1,-17,-11.0,9
2025,San José State,Central Michigan,0,-2,10.0,-14.5
2025,Tulane,Northwestern,0,20,12.3,-6.5
2025,Tennessee,Syracuse,1,19,16.1,-13.5
2025,Ohio State,Texas,0,7,3.0,-2
2025,Southern Miss,Mississippi State,0,-17,-18.4,14.5
2025,Purdue,Ball State,0,31,11.6,-16.5
2025,Maryland,Florida Atlantic,0,32,14.0,-13.5
2025,Kentucky,Toledo,0,8,7.7,-10
2025,Indiana,Old Dominion,0,13,23.1,-23.5
2025,Penn State,Nevada,0,35,41.0,-43.5
2025,Massachusetts,Temple,0,-32,-6.7,2.5
2025,Georgia,Marshall,0,38,34.0,-38.5
2025,Florida State,Alabama,0,14,-16.8,13.5
2025,Virginia,Coastal Carolina,0,41,5.6,-13.5
2025,Texas A&M,UTSA,0,18,18.0,-23.5
2025,USC,Missouri State,0,60,31.6,-36.5
2025,Michigan,New Mexico,0,17,39.5,-34.5
2025,Clemson,LSU,0,-7,0.1,-5.5
2025,Utah State,UTEP,0,12,1.2,-4.5
2025,Ole Miss,Georgia State,0,56,34.9,-33.5
2025,Louisiana,Rice,0,-2,12.3,-9.5
2025,Texas State,Eastern Michigan,0,25,8.6,-14
2025,Fresno State,Georgia Southern,0,28,-1.8,-2
2025,Arizona,Hawai'i,0,34,13.4,-15.5
2025,Oregon State,California,0,-19,-3.8,2.5
2025,Washington,Colorado State,0,17,17.4,-22.5
2025,UCLA,Utah,0,-33,-7.2,6.5
2025,South Carolina,Virginia Tech,1,13,9.1,-7.5
2025,North Carolina,TCU,0,-34,-7.6,3.5
