team,conf,unit,v1_pct,v2_pct,delta,dossier,cov
Charlotte,American Athletic,DB,25.5,26.3,0.7,20,0.7
Charlotte,American Athletic,DL,14.9,23.1,8.2,14,0.8
Charlotte,American Athletic,LB,9.6,13.3,3.7,30,0.7
Charlotte,American Athletic,OL,25.8,50.8,25.0,18,0.5
Charlotte,American Athletic,QB,26.4,40.0,13.6,38,1.0
Charlotte,American Athletic,RB,62.5,56.6,-5.9,35,0.3
Charlotte,American Athletic,WRTE,68.7,63.4,-5.2,44,0.5
Cincinnati,Big 12,DB,87.6,69.3,-18.2,45,0.8
Cincinnati,Big 12,DL,20.1,37.3,17.2,28,0.5
Cincinnati,Big 12,LB,61.5,70.4,8.9,55,0.8
Cincinnati,Big 12,OL,98.5,93.9,-4.5,76,1.0
Cincinnati,Big 12,QB,34.4,50.4,16.0,44,0.5
Cincinnati,Big 12,RB,53.7,72.1,18.4,50,0.5
Cincinnati,Big 12,WRTE,58.2,64.2,6.0,40,0.6
Clemson,ACC,DB,86.1,65.7,-20.4,54,1.0
Clemson,ACC,DL,91.0,73.9,-17.2,58,1.0
Clemson,ACC,LB,64.4,65.9,1.5,54,1.0
Clemson,ACC,OL,68.2,70.5,2.3,48,0.8
Clemson,ACC,QB,20.8,32.0,11.2,48,1.0
Clemson,ACC,RB,56.6,65.4,8.8,52,1.0
Clemson,ACC,WRTE,79.1,79.9,0.7,56,1.0
Coastal Carolina,Sun Belt,DB,19.7,12.4,-7.3,44,1.0
Coastal Carolina,Sun Belt,DL,59.7,49.3,-10.4,48,1.0
Coastal Carolina,Sun Belt,LB,26.7,26.7,0.0,50,1.0
Coastal Carolina,Sun Belt,OL,29.5,34.8,5.3,36,1.0
Coastal Carolina,Sun Belt,QB,19.2,37.6,18.4,38,1.0
Coastal Carolina,Sun Belt,RB,25.7,33.1,7.4,46,1.0
Coastal Carolina,Sun Belt,WRTE,21.6,32.8,11.2,40,1.0
Colorado,Big 12,DB,35.0,51.1,16.1,47,0.8
Colorado,Big 12,DL,81.3,81.3,0.0,55,0.6
Colorado,Big 12,LB,77.0,64.4,-12.6,50,0.3
Colorado,Big 12,OL,59.1,78.0,18.9,40,0.7
Colorado,Big 12,QB,15.2,82.4,67.2,45,1.0
Colorado,Big 12,RB,55.1,70.6,15.4,48,0.5
Colorado,Big 12,WRTE,75.4,86.6,11.2,56,0.8
Colorado State,Pac-12,DB,12.4,19.7,7.3,22,0.8
Colorado State,Pac-12,DL,10.4,27.6,17.2,26,1.0
Colorado State,Pac-12,LB,34.1,43.7,9.6,24,0.8
Colorado State,Pac-12,OL,11.4,16.7,5.3,16,0.9
Colorado State,Pac-12,QB,41.6,21.6,-20.0,24,1.0
Colorado State,Pac-12,RB,19.1,22.8,3.7,30,1.0
Colorado State,Pac-12,WRTE,12.7,14.9,2.2,16,0.9
Delaware,Conference USA,DB,46.0,28.5,-17.5,46,1.0
Delaware,Conference USA,DL,35.1,26.9,-8.2,44,1.0
Delaware,Conference USA,LB,16.3,20.7,4.4,46,1.0
Delaware,Conference USA,OL,51.5,36.4,-15.2,48,1.0
Delaware,Conference USA,QB,28.8,24.0,-4.8,52,1.0
Delaware,Conference USA,RB,26.5,23.5,-2.9,48,1.0
Delaware,Conference USA,WRTE,82.1,73.9,-8.2,50,1.0
Duke,ACC,DB,41.6,48.2,6.6,46,1.0
Duke,ACC,DL,66.4,59.0,-7.5,42,1.0
Duke,ACC,LB,45.2,55.6,10.4,46,0.8
Duke,ACC,OL,61.4,69.7,8.3,52,1.0
Duke,ACC,QB,22.4,34.4,12.0,50,0.5
Duke,ACC,RB,89.0,90.4,1.5,62,1.0
Duke,ACC,WRTE,83.6,85.1,1.5,48,0.8
East Carolina,American Athletic,DB,58.4,45.3,-13.1,55,0.7
East Carolina,American Athletic,DL,47.0,42.5,-4.5,54,0.8
East Carolina,American Athletic,LB,1.5,0.7,-0.7,25,0.7
East Carolina,American Athletic,OL,35.6,49.2,13.6,30,0.7
East Carolina,American Athletic,RB,76.5,67.6,-8.8,50,1.0
East Carolina,American Athletic,WRTE,34.3,39.6,5.2,46,0.8
Eastern Michigan,Mid-American,DB,2.2,9.5,7.3,28,0.9
Eastern Michigan,Mid-American,DL,19.4,15.7,-3.7,18,0.8
Eastern Michigan,Mid-American,LB,3.0,2.2,-0.7,16,0.6
Eastern Michigan,Mid-American,OL,6.8,3.0,-3.8,18,0.4
Eastern Michigan,Mid-American,QB,16.8,9.6,-7.2,40,0.2
Eastern Michigan,Mid-American,RB,16.2,11.0,-5.1,14,0.8
Eastern Michigan,Mid-American,WRTE,29.9,8.2,-21.6,34,1.0
Florida,SEC,DB,89.8,94.2,4.4,50,1.0
Florida,SEC,DL,74.6,90.3,15.7,54,1.0
Florida,SEC,LB,84.4,82.2,-2.2,56,1.0
Florida,SEC,OL,72.0,90.9,18.9,44,1.0
Florida,SEC,QB,78.4,88.8,10.4,48,1.0
Florida,SEC,RB,97.1,97.8,0.7,60,1.0
Florida,SEC,WRTE,78.4,88.8,10.4,50,1.0
Florida Atlantic,American Athletic,DB,13.9,15.3,1.5,15,0.8
Florida Atlantic,American Athletic,DL,32.8,25.4,-7.5,28,0.8
Florida Atlantic,American Athletic,LB,4.4,5.9,1.5,20,0.7
Florida Atlantic,American Athletic,OL,65.9,59.8,-6.1,33,0.5
Florida Atlantic,American Athletic,QB,33.6,55.2,21.6,55,1.0
Florida Atlantic,American Athletic,RB,68.4,59.6,-8.8,40,0.5
Florida Atlantic,American Athletic,WRTE,72.4,72.4,0.0,50,0.6
Florida International,Conference USA,DB,59.1,13.1,-46.0,44,1.0
Florida International,Conference USA,DL,23.1,6.7,-16.4,46,1.0
Florida International,Conference USA,LB,28.1,23.7,-4.4,44,1.0
Florida International,Conference USA,OL,43.9,31.1,-12.9,40,1.0
Florida International,Conference USA,QB,39.2,24.8,-14.4,46,1.0
Florida International,Conference USA,RB,4.4,11.8,7.4,42,1.0
Florida International,Conference USA,WRTE,86.6,48.5,-38.1,46,1.0
Florida State,ACC,DB,48.9,56.2,7.3,48,1.0
Florida State,ACC,DL,61.2,56.0,-5.2,46,1.0
Florida State,ACC,LB,49.6,57.0,7.4,48,1.0
Florida State,ACC,OL,43.2,63.6,20.5,40,0.8
Florida State,ACC,QB,73.6,65.6,-8.0,48,1.0
Florida State,ACC,RB,91.9,76.5,-15.4,58,1.0
Florida State,ACC,WRTE,94.0,92.5,-1.5,58,1.0
Fresno State,Pac-12,DB,43.8,43.8,0.0,44,1.0
Fresno State,Pac-12,DL,33.6,35.8,2.2,44,0.9
Fresno State,Pac-12,LB,31.1,38.5,7.4,40,1.0
Fresno State,Pac-12,OL,23.5,18.2,-5.3,40,0.6
Fresno State,Pac-12,QB,25.6,13.6,-12.0,30,1.0
Fresno State,Pac-12,RB,36.0,26.5,-9.6,46,0.8
Fresno State,Pac-12,WRTE,17.9,17.9,0.0,38,0.9
Georgia,SEC,DB,92.0,97.8,5.8,66,1.0
Georgia,SEC,DL,82.8,80.6,-2.2,58,1.0
Georgia,SEC,LB,99.3,97.8,-1.5,62,1.0
Georgia,SEC,OL,93.9,98.5,4.5,60,1.0
Georgia,SEC,QB,96.8,96.8,0.0,70,1.0
Georgia,SEC,RB,98.5,97.1,-1.5,70,1.0
Georgia,SEC,WRTE,71.6,87.3,15.7,56,1.0
Georgia Southern,Sun Belt,DB,23.4,16.1,-7.3,42,0.7
Georgia Southern,Sun Belt,DL,44.8,41.8,-3.0,42,1.0
Georgia Southern,Sun Belt,LB,5.9,17.8,11.9,40,0.5
Georgia Southern,Sun Belt,OL,46.2,42.4,-3.8,40,1.0
Georgia Southern,Sun Belt,QB,24.8,30.4,5.6,46,1.0
Georgia Southern,Sun Belt,RB,30.9,36.0,5.1,42,1.0
Georgia Southern,Sun Belt,WRTE,45.5,42.5,-3.0,44,1.0
Georgia State,Sun Belt,DB,31.4,24.1,-7.3,40,0.7
Georgia State,Sun Belt,DL,2.2,1.5,-0.7,40,1.0
Georgia State,Sun Belt,LB,71.1,25.2,-45.9,38,1.0
Georgia State,Sun Belt,OL,20.5,28.8,8.3,40,1.0
Georgia State,Sun Belt,QB,82.4,72.0,-10.4,48,0.5
Georgia State,Sun Belt,RB,8.8,30.9,22.1,40,0.5
Georgia State,Sun Belt,WRTE,29.1,31.3,2.2,42,1.0
Georgia Tech,ACC,DB,53.3,51.8,-1.5,48,1.0
Georgia Tech,ACC,DL,63.4,53.7,-9.7,40,1.0
Georgia Tech,ACC,LB,60.0,61.5,1.5,50,1.0
Georgia Tech,ACC,OL,63.6,71.2,7.6,48,1.0
Georgia Tech,ACC,QB,95.2,73.6,-21.6,46,0.5
Georgia Tech,ACC,RB,69.9,78.7,8.8,66,1.0
Georgia Tech,ACC,WRTE,82.8,70.9,-11.9,38,0.6
Hawai'i,Mountain West,DB,28.5,42.3,13.9,18,0.9
Hawai'i,Mountain West,DL,25.4,35.1,9.7,16,0.7
Hawai'i,Mountain West,LB,3.7,34.1,30.4,14,1.0
Hawai'i,Mountain West,OL,7.6,12.1,4.5,10,0.8
Hawai'i,Mountain West,QB,52.0,8.8,-43.2,38,0.7
Hawai'i,Mountain West,RB,31.6,16.9,-14.7,14,0.7
Hawai'i,Mountain West,WRTE,20.9,20.1,-0.7,18,0.9
Houston,Big 12,DB,78.8,70.1,-8.8,60,0.8
Houston,Big 12,DL,65.7,64.9,-0.7,55,0.8
Houston,Big 12,LB,70.4,68.1,-2.2,48,0.7
Houston,Big 12,OL,67.4,86.4,18.9,46,1.0
Houston,Big 12,QB,85.6,90.4,4.8,62,0.5
Houston,Big 12,RB,39.0,75.0,36.0,52,0.5
Houston,Big 12,WRTE,99.3,94.8,-4.5,58,0.8
Illinois,Big Ten,DB,63.5,78.1,14.6,62,0.6
Illinois,Big Ten,DL,54.5,78.4,23.9,41,0.7
Illinois,Big Ten,LB,74.1,80.0,5.9,46,1.0
Illinois,Big Ten,OL,41.7,35.6,-6.1,38,0.8
Illinois,Big Ten,QB,92.0,78.4,-13.6,62,0.5
Illinois,Big Ten,RB,35.3,38.2,2.9,32,1.0
Illinois,Big Ten,WRTE,67.9,47.0,-20.9,48,0.8
Indiana,Big Ten,DB,95.6,97.1,1.5,72,0.8
Indiana,Big Ten,DL,83.6,97.8,14.2,77,1.0
Indiana,Big Ten,LB,95.6,96.3,0.7,77,1.0
Indiana,Big Ten,OL,62.1,57.6,-4.5,74,0.8
Indiana,Big Ten,QB,90.4,76.8,-13.6,70,0.5
Indiana,Big Ten,RB,74.3,54.4,-19.9,62,1.0
Indiana,Big Ten,WRTE,90.3,53.0,-37.3,65,0.9
Iowa,Big Ten,DB,96.4,99.3,2.9,80,0.4
Iowa,Big Ten,DL,50.7,72.4,21.6,48,0.6
Iowa,Big Ten,LB,85.2,91.1,5.9,58,0.7
Iowa,Big Ten,OL,79.5,65.2,-14.4,87,0.7
Iowa,Big Ten,QB,30.4,48.8,18.4,32,0.7
Iowa,Big Ten,RB,46.3,50.7,4.4,70,0.7
Iowa,Big Ten,WRTE,19.4,30.6,11.2,42,0.8
Iowa State,Big 12,DB,70.1,59.9,-10.2,40,0.5
Iowa State,Big 12,DL,60.4,59.7,-0.7,46,0.8
Iowa State,Big 12,LB,36.3,54.1,17.8,40,0.7
Iowa State,Big 12,OL,56.1,79.5,23.5,32,0.4
Iowa State,Big 12,QB,48.8,64.8,16.0,48,1.0
Iowa State,Big 12,RB,11.8,62.5,50.7,42,0.5
Iowa State,Big 12,WRTE,79.9,65.7,-14.2,40,0.5
Jacksonville State,Conference USA,DB,38.7,13.9,-24.8,50,1.0
Jacksonville State,Conference USA,DL,50.0,36.6,-13.4,42,1.0
Jacksonville State,Conference USA,LB,8.9,11.9,3.0,48,1.0
Jacksonville State,Conference USA,OL,34.1,28.0,-6.1,46,1.0
Jacksonville State,Conference USA,QB,12.0,14.4,2.4,52,1.0
Jacksonville State,Conference USA,RB,9.6,20.6,11.0,42,1.0
Jacksonville State,Conference USA,WRTE,22.4,25.4,3.0,46,1.0
James Madison,Sun Belt,DB,67.9,27.7,-40.1,48,1.0
James Madison,Sun Belt,DL,56.0,48.5,-7.5,46,1.0
James Madison,Sun Belt,LB,30.4,31.1,0.7,46,1.0
James Madison,Sun Belt,OL,60.6,62.9,2.3,44,0.5
James Madison,Sun Belt,QB,45.6,41.6,-4.0,44,1.0
James Madison,Sun Belt,RB,22.1,33.8,11.8,46,0.5
James Madison,Sun Belt,WRTE,48.5,44.8,-3.7,46,0.5
Kansas,Big 12,DB,40.1,54.0,13.9,42,1.0
Kansas,Big 12,DL,64.9,67.2,2.2,50,0.8
Kansas,Big 12,LB,88.1,73.3,-14.8,52,0.3
Kansas,Big 12,OL,71.2,77.3,6.1,45,1.0
Kansas,Big 12,QB,69.6,80.8,11.2,42,0.5
Kansas,Big 12,RB,66.9,72.8,5.9,48,0.5
Kansas,Big 12,WRTE,50.7,73.1,22.4,44,0.8
Kansas State,Big 12,DB,66.4,65.0,-1.5,52,0.8
Kansas State,Big 12,DL,58.2,64.2,6.0,45,0.8
Kansas State,Big 12,LB,17.0,60.0,43.0,44,0.3
Kansas State,Big 12,OL,96.2,89.4,-6.8,44,0.7
Kansas State,Big 12,QB,87.2,92.0,4.8,60,0.5
Kansas State,Big 12,RB,52.2,61.8,9.6,52,0.5
Kansas State,Big 12,WRTE,69.4,81.3,11.9,52,0.8
Kennesaw State,Conference USA,DB,5.8,1.5,-4.4,42,1.0
Kennesaw State,Conference USA,DL,24.6,17.9,-6.7,44,1.0
Kennesaw State,Conference USA,LB,15.6,20.0,4.4,46,1.0
Kennesaw State,Conference USA,OL,0.0,0.0,0.0,40,1.0
Kennesaw State,Conference USA,QB,5.6,2.4,-3.2,44,0.5
Kennesaw State,Conference USA,WRTE,6.0,9.7,3.7,42,1.0
Kent State,Mid-American,DB,3.6,4.4,0.7,18,0.9
Kent State,Mid-American,DL,21.6,14.9,-6.7,22,0.9
Kent State,Mid-American,LB,48.9,9.6,-39.3,14,0.8
Kent State,Mid-American,OL,2.3,3.8,1.5,12,0.5
Kent State,Mid-American,QB,0.0,5.6,5.6,32,0.8
Kent State,Mid-American,RB,0.0,0.0,0.0,10,0.8
Kent State,Mid-American,WRTE,26.9,9.0,-17.9,26,0.8
Kentucky,SEC,DB,83.9,86.9,2.9,50,0.8
Kentucky,SEC,DL,98.5,95.5,-3.0,58,1.0
Kentucky,SEC,LB,60.7,76.3,15.6,44,1.0
Kentucky,SEC,OL,88.6,97.0,8.3,54,1.0
Kentucky,SEC,QB,92.8,92.8,0.0,50,1.0
Kentucky,SEC,RB,43.4,74.3,30.9,48,0.7
Kentucky,SEC,WRTE,87.3,91.0,3.7,48,0.8
LSU,SEC,DB,94.9,88.3,-6.6,62,1.0
LSU,SEC,DL,89.6,92.5,3.0,62,1.0
LSU,SEC,LB,68.9,77.8,8.9,54,1.0
LSU,SEC,OL,72.7,93.2,20.5,56,0.8
LSU,SEC,QB,84.0,95.2,11.2,60,1.0
LSU,SEC,RB,75.7,87.5,11.8,56,1.0
LSU,SEC,WRTE,96.3,100.0,3.7,60,1.0
Liberty,Conference USA,DB,7.3,2.2,-5.1,42,1.0
Liberty,Conference USA,DL,29.9,21.6,-8.2,42,1.0
Liberty,Conference USA,LB,7.4,5.2,-2.2,44,1.0
Liberty,Conference USA,OL,59.8,43.2,-16.7,48,1.0
Liberty,Conference USA,QB,4.8,12.8,8.0,44,1.0
Liberty,Conference USA,RB,41.9,27.2,-14.7,42,1.0
Liberty,Conference USA,WRTE,23.9,27.6,3.7,42,1.0
Louisiana,Sun Belt,DB,91.2,64.2,-27.0,54,1.0
Louisiana,Sun Belt,DL,9.7,4.5,-5.2,44,1.0
Louisiana,Sun Belt,LB,35.6,33.3,-2.2,40,0.5
Louisiana,Sun Belt,OL,48.5,47.0,-1.5,48,1.0
Louisiana,Sun Belt,QB,31.2,31.2,0.0,48,1.0
Louisiana,Sun Belt,RB,55.9,41.9,-14.0,42,0.5
Louisiana,Sun Belt,WRTE,55.2,54.5,-0.7,44,1.0
Louisiana Tech,Sun Belt,DB,37.2,30.7,-6.6,44,1.0
Louisiana Tech,Sun Belt,DL,26.9,24.6,-2.2,42,1.0
Louisiana Tech,Sun Belt,LB,51.1,46.7,-4.4,46,1.0
Louisiana Tech,Sun Belt,OL,24.2,40.9,16.7,44,1.0
Louisiana Tech,Sun Belt,QB,44.8,53.6,8.8,48,1.0
Louisiana Tech,Sun Belt,RB,49.3,36.8,-12.5,38,0.5
Louisiana Tech,Sun Belt,WRTE,76.1,70.1,-6.0,44,1.0
Louisville,ACC,DB,59.9,57.7,-2.2,52,1.0
Louisville,ACC,DL,97.8,75.4,-22.4,62,1.0
Louisville,ACC,LB,66.7,68.9,2.2,50,0.8
Louisville,ACC,OL,75.0,72.0,-3.0,50,1.0
Louisville,ACC,QB,96.0,71.2,-24.8,46,0.5
Louisville,ACC,RB,94.9,84.6,-10.3,72,1.0
Louisville,ACC,WRTE,84.3,82.1,-2.2,48,0.8
Marshall,Sun Belt,DB,40.9,37.2,-3.6,42,1.0
Marshall,Sun Belt,DL,38.8,38.1,-0.7,40,1.0
Marshall,Sun Belt,LB,29.6,31.9,2.2,42,1.0
Marshall,Sun Belt,OL,53.0,51.5,-1.5,44,1.0
Marshall,Sun Belt,QB,60.0,58.4,-1.6,50,1.0
Marshall,Sun Belt,RB,29.4,34.6,5.1,40,0.5
Marshall,Sun Belt,WRTE,59.7,52.2,-7.5,46,1.0
Maryland,Big Ten,DB,56.2,81.0,24.8,60,1.0
Maryland,Big Ten,DL,70.1,85.8,15.7,63,1.0
Maryland,Big Ten,LB,90.4,86.7,-3.7,53,1.0
Maryland,Big Ten,OL,31.1,37.1,6.1,40,1.0
Maryland,Big Ten,QB,13.6,39.2,25.6,60,1.0
Maryland,Big Ten,RB,33.8,39.0,5.1,38,1.0
Maryland,Big Ten,WRTE,18.7,21.6,3.0,40,1.0
Massachusetts,Mid-American,DB,14.6,7.3,-7.3,16,1.0
Massachusetts,Mid-American,DL,26.1,9.0,-17.2,12,0.4
Massachusetts,Mid-American,LB,18.5,21.5,3.0,30,0.7
Massachusetts,Mid-American,OL,1.5,2.3,0.8,12,0.6
Massachusetts,Mid-American,QB,16.0,16.8,0.8,22,0.2
Massachusetts,Mid-American,RB,21.3,5.9,-15.4,10,0.8
Massachusetts,Mid-American,WRTE,2.2,0.7,-1.5,14,0.8
Memphis,American Athletic,DB,90.5,67.9,-22.6,74,0.3
Memphis,American Athletic,DL,28.4,50.7,22.4,52,0.6
Memphis,American Athletic,LB,54.8,39.3,-15.6,30,0.3
Memphis,American Athletic,OL,33.3,58.3,25.0,38,0.3
Memphis,American Athletic,RB,40.4,52.2,11.8,42,1.0
Memphis,American Athletic,WRTE,41.8,53.7,11.9,45,0.6
Miami,ACC,DB,81.0,72.3,-8.8,60,1.0
Miami,ACC,DL,91.8,68.7,-23.1,60,1.0
Miami,ACC,LB,41.5,52.6,11.1,46,1.0
Miami,ACC,OL,74.2,73.5,-0.8,52,1.0
Miami,ACC,QB,80.0,88.0,8.0,70,1.0
Miami,ACC,RB,93.4,91.2,-2.2,70,1.0
Miami,ACC,WRTE,100.0,99.3,-0.7,76,1.0
Miami (OH),Mid-American,DB,24.8,21.9,-2.9,26,0.9
Miami (OH),Mid-American,DL,15.7,10.4,-5.2,28,0.9
