rank,team,conference,power_rating,band_±,grade_sum,new_HC
128,Georgia State,Sun Belt,-18.05,6.00,328,
129,UTEP,Mountain West,-19.33,6.72,100,
130,Akron,Mid-American,-19.60,6.36,162,
131,Middle Tennessee,Conference USA,-19.87,6.54,324,
132,UL Monroe,Sun Belt,-20.13,6.18,324,
133,Kent State,Mid-American,-20.76,6.00,160,
134,Sacramento State,Mid-American,-21.75,7.59,110,Y
135,Sam Houston,Conference USA,-22.06,6.36,316,
136,Charlotte,American Athletic,-22.09,7.59,221,
137,Ball State,Mid-American,-24.21,6.36,90,
138,Massachusetts,Mid-American,-28.19,6.80,136,
