team,conference,QB,RB,WRTE,OL,DL,LB,DB,ST,sum,L_count,final,rank,band,coach_change,snapshot_rev,corrections
Louisiana Tech,Sun Belt,50,38,50,42,42,50,44,40,356,0,-6.98,94,6.0,False,frozen 2026-07-18T15:40:00Z (Louisiana Tech),0
Arkansas State,Sun Belt,44L,49,50,62,40,42,36,56,379,1,-7.02,95,6.18,False,frozen 2026-07-18T14:34:00Z (Arkansas State),0
Tulsa,American Athletic,40L,55,32,38,40,33L,58,45,341,2,-7.31,95,6.18,False,frozen 2026-07-15,0
Oregon State,Pac-12,31L,30,30L,22,39,42,38,38,270,2,-7.37,94,7.19,True,frozen 2026-07-17 (7ac7d37),0
Miami (OH),Mid-American,30L,26,24,26,25,37,26,40,234,1,-7.41,95,6.18,False,frozen 2026-07-16 (a4426e7),0
Georgia Southern,Sun Belt,42,42,44,40,50,38,39,42,337,0,-7.95,98,6.0,False,frozen 2026-07-18T14:50:00Z (Georgia Southern),0
App State,Sun Belt,43,48,38L,44,42,58,40,44,357,1,-8.21,99,6.36,False,frozen 2026-07-18T14:26:00Z (App State),0
Western Michigan,Mid-American,44,28,26,26,21,16L,32,28,221,1,-8.22,98,6.18,False,frozen 2026-07-16 (d01620e),0
South Alabama,Sun Belt,43,59,42,36,35,46,51,42,354,0,-8.63,102,6.0,False,frozen 2026-07-18T16:18:00Z (South Alabama),0
North Dakota State,Mountain West,14L,16,12L,20,16,14L,14,14,120,3,-8.67,101,7.19,False,frozen 2026-07-17 (8344a65),0
Air Force,Mountain West,34,22,14,28,17,20,15,12,162,0,-8.83,102,6.18,False,frozen 2026-07-17 (e925048),0
Kennesaw State,Conference USA,44L,40L,42,40,44,46,42,42,340,2,-8.97,103,6.36,False,frozen 2026-07-18T18:08:00Z (Kennesaw State),0
Delaware,Conference USA,52,48,58,48,46,46,51,42,391,0,-9.02,103,6.6,False,frozen 2026-07-18T17:38:00Z (Delaware),0
Toledo,Mid-American,22L,16,16L,14,18,16,16,24,142,2,-9.12,102,7.91,True,frozen 2026-07-16 (cf02669),0
Hawai'i,Mountain West,36,19,18,10L,16L,14,22L,12L,147,4,-9.36,103,6.72,False,frozen 2026-07-17 (7b07c22),0
Temple,American Athletic,35L,41,62,58,13,25L,14L,45,293,3,-9.37,102,6.72,False,frozen 2026-07-15,0
Florida Atlantic,American Athletic,53,40,50,36,28,20L,15L,50,292,2,-9.51,104,6.36,False,frozen 2026-07-15,2
Coastal Carolina,Sun Belt,38L,46,40,36L,55,47,44,44,350,2,-9.77,105,7.19,True,frozen 2026-07-18T14:42:00Z (Coastal Carolina),0
Florida International,Conference USA,48,40,48,42,43,47,44,44,356,0,-10.72,111,6.0,False,frozen 2026-07-18T17:48:00Z (Florida International),0
Ohio,Mid-American,22L,20,16,12,18,40,22,24,174,1,-11.5,114,6.98,True,frozen 2026-07-16 (8fb97ff),0
Missouri State,Conference USA,45,48,44,36L,42,44,39,44,342,1,-11.55,115,7.19,True,frozen 2026-07-18T19:45:00Z (Missouri State),0
Southern Miss,Sun Belt,42L,40,44,43,42L,36,44L,42,333,3,-11.95,114,8.13,True,frozen 2026-07-18T16:30:00Z (Southern Miss),0
Colorado State,Pac-12,27,30,16L,24,24,24,20,20,185,1,-12.36,115,7.39,True,frozen 2026-07-17 (76bc976),0
Rice,American Athletic,38L,44,30,42,30,18L,12L,52,266,3,-12.76,117,6.54,False,frozen 2026-07-15,0
Central Michigan,Mid-American,38,27,28,23,24,14L,22,26,202,1,-12.81,117,6.18,False,frozen 2026-07-16 (b9b71a2),0
New Mexico State,Conference USA,40L,38L,47,34L,40,44,44,46,333,3,-13.08,120,6.72,False,frozen 2026-07-18T20:20:00Z (New Mexico State),0
Wyoming,Mountain West,20L,22,12L,18,14L,19,16,16,137,3,-13.59,121,6.54,False,frozen 2026-07-17 (53d85f6),0
Bowling Green,Mid-American,31L,28,18,10,31,26L,30,18,192,2,-13.67,121,6.18,False,frozen 2026-07-16 (e6c4d93),0
UAB,American Athletic,45,48,37,45,16L,25L,15L,55,286,3,-13.84,123,7.39,Mortensen first full season (interim after Dilfer mid-2025 firing) - x1.13 applies,frozen 2026-07-15,1
Buffalo,Mid-American,22L,16,22,16,14,12L,42,22,166,2,-14.01,123,6.36,False,frozen 2026-07-16 (6b0c2c1),0
Georgia State,Sun Belt,56,40,37,32,32,38,40,40,315,0,-14.29,123,6.0,False,frozen 2026-07-18T15:00:00Z (Georgia State),0
Middle Tennessee,Conference USA,54,40L,42,32,36L,48,39,40,331,2,-14.89,126,6.54,False,frozen 2026-07-18T19:10:00Z (Middle Tennessee),0
Nevada,Mountain West,18L,14,12L,24,34,14,20,16,152,2,-14.93,125,6.54,False,frozen 2026-07-16 (908b834),0
Eastern Michigan,Mid-American,38,14,32,18,18,16,26,24,186,0,-15.27,126,6.0,False,frozen 2026-07-16 (6cbb74f),0
San José State,Mountain West,20L,16,17,16,16,14,12,22,133,1,-15.58,126,6.36,False,frozen 2026-07-16 (cff1aa3),0
UL Monroe,Sun Belt,42,40,40,38,40,44,40L,40,324,1,-16.18,132,6.18,False,frozen 2026-07-18T16:52:00Z (UL Monroe),0
Sam Houston,Conference USA,38,46,42,32L,40,36L,40,42,316,2,-17.4,135,6.36,False,frozen 2026-07-18T20:50:00Z (Sam Houston),0
Northern Illinois,Mountain West,20L,15,20,16,10L,10L,12,18,121,3,-17.92,134,7.39,True,frozen 2026-07-16 (f400d06),0
Akron,Mid-American,34L,16,28,14,12,12L,22,24,162,2,-18.53,134,6.36,False,frozen 2026-07-16 (aadf7b3),0
Charlotte,American Athletic,38L,35,44,18L,18,30L,22,22L,227,4,-19.14,135,7.59,False,frozen 2026-07-15,0
Sacramento State,Mid-American,20L,14L,12,8,10L,16,10L,22,112,4,-19.61,135,7.59,True,frozen 2026-07-16 (9dbb540),0
Kent State,Mid-American,32,10,26,12,22,14,17,26,159,0,-19.77,136,6.0,False,frozen 2026-07-16 (e7b5480),0
UTEP,Mountain West,16L,14,14,8L,10L,17,16,14,109,3,-20.09,136,6.72,False,frozen 2026-07-17 (c045330),0
Ball State,Mid-American,18L,8,14,12,8,8L,14,10,92,2,-21.84,137,6.36,False,frozen 2026-07-16 (cd6d519),0
Massachusetts,Mid-American,22L,12,14,12,12,30,16,20,138,1,-25.8,138,6.8,False,frozen 2026-07-16 (b94b9c4),0
