TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
UCLA,5-7,221,303,73.0,66.3,68.9,53.5,69.1,70.6,55.4,75.3,72.1,71.8,64.5,80.2,70.4
UNLV,11-3,495,298,90.5,81.6,65.9,82.9,70.8,90.9,67.9,89.6,84.5,69.2,73.2,90.2,77.8
USC,7-6,392,313,84.5,79.9,78.4,53.5,80.2,91.9,59.9,79.5,73.3,80.2,68.9,82.4,74.4
USF,7-6,418,387,76.9,65.3,61.4,64.0,62.9,81.9,50.2,85.0,83.9,66.8,82.8,77.2,68.0
Utah,5-7,283,248,80.1,70.6,48.4,71.4,66.7,72.6,76.2,83.8,82.1,48.5,69.8,82.6,79.9
Utah State,4-8,383,453,70.7,70.8,67.8,66.3,63.3,90.0,58.4,63.8,54.6,60.7,67.8,71.4,79.4
UTEP,3-9,234,388,66.9,63.2,60.6,61.7,59.6,73.3,58.1,71.6,73.9,72.9,70.4,61.1,58.2
UTSA,7-6,431,391,81.8,73.2,77.6,56.9,67.3,81.2,63.5,86.2,90.8,57.2,85.1,70.7,73.5
Vanderbilt,7-6,355,304,80.8,75.4,83.7,52.9,76.0,80.4,56.4,75.9,81.6,65.3,68.8,67.4,75.8
Virginia,5-7,272,345,71.7,68.1,59.7,54.6,65.0,79.6,65.1,70.3,70.2,56.8,71.8,64.0,77.2
Virginia Tech,6-7,366,297,81.3,72.1,65.4,64.2,66.5,85.9,58.7,81.4,80.6,79.0,82.4,69.8,83.9
Wake Forest,4-8,308,390,82.0,76.2,72.1,74.1,69.8,73.8,72.4,81.8,81.8,80.4,65.6,79.8,76.4
Washington,6-7,304,309,82.4,76.4,70.3,46.9,83.0,87.0,56.0,82.4,75.5,85.5,69.6,89.8,65.3
Washington State,8-5,476,389,82.8,79.0,71.6,88.1,75.2,90.1,54.6,81.3,76.2,45.9,76.2,78.2,68.7
West Virginia,6-7,379,415,81.7,81.7,73.9,81.9,68.6,80.8,78.8,68.5,82.6,83.1,66.0,49.2,79.8
Western Kentucky,8-6,349,345,80.1,77.1,80.3,82.2,71.2,76.9,59.2,74.0,71.1,86.9,74.8,65.7,75.4
Western Michigan,6-7,376,407,85.0,86.9,70.0,76.6,72.8,86.6,83.8,69.6,68.4,61.2,68.1,65.7,77.7
Wisconsin,5-7,271,277,79.9,75.0,63.6,82.9,66.6,81.2,68.8,77.0,64.8,83.5,72.9,83.9,84.3
Wyoming,3-9,232,340,74.5,65.2,57.9,56.5,62.7,71.6,64.8,81.1,83.6,63.3,70.8,71.0,68.7
