rank,team_raw,norm_key,sp_plus_overall,sp_plus_off,sp_plus_def
74,Virginia,virginia,-2.2,25.4,27.6
75,Oregon St.,oregonstate,-2.6,27.5,30.1
76,USF,southflorida,-2.8,30.7,33.5
77,Louisiana,louisiana,-3.1,26.8,29.9
78,S. Alabama,southalabama,-4.1,26.1,30.2
79,Wake Forest,wakeforest,-4.7,26.0,30.7
80,Ga. Southern,georgiasouthern,-4.7,27.0,31.7
81,UConn,connecticut,-4.9,25.3,30.3
82,Stanford,stanford,-5.0,26.1,31.2
83,Ohio,ohio,-5.0,24.9,29.9
84,Wash. St.,washingtonstate,-5.7,30.2,35.9
85,SJSU,sanjosestate,-5.8,25.4,31.2
86,Northwestern,northwestern,-6.4,16.3,22.7
87,Texas St.,texasstate,-6.5,27.4,33.9
88,Fresno St.,fresnostate,-6.5,22.8,29.3
89,WKU,westernkentucky,-7.0,21.7,28.7
90,Troy,troy,-7.1,23.2,30.3
91,ECU,eastcarolina,-7.1,26.8,33.8
92,Miami-OH,miamioh,-7.8,14.8,22.6
93,Coastal Caro.,coastalcarolina,-7.8,27.8,35.6
94,Buffalo,buffalo,-7.8,22.1,29.9
95,N. Texas,northtexas,-7.9,30.7,38.6
96,Colorado St.,coloradostate,-8.4,24.2,32.6
97,App. St.,appalachianstate,-9.0,24.0,33.0
98,Air Force,airforce,-9.0,19.1,28.1
99,Marshall,marshall,-9.8,25.0,34.8
100,Purdue,purdue,-10.3,20.4,30.7
101,ODU,olddominion,-10.6,22.6,33.2
102,Arkansas St.,arkansasstate,-10.7,26.5,37.2
103,SDSU,sandiegostate,-10.9,17.5,28.4
104,J'ville St.,jacksonvillestate,-11.2,21.6,32.8
105,NIU,northernillinois,-11.4,16.0,27.5
106,Hawaii,hawaii,-11.6,19.5,31.1
107,Wyoming,wyoming,-12.4,20.6,33.0
108,La. Tech,louisianatech,-12.5,17.5,30.0
109,Sam Houston,samhouston,-12.8,18.9,31.6
110,FAU,floridaatlantic,-13.6,21.4,35.0
111,Georgia St.,georgiastate,-14.2,24.3,38.5
112,BGSU,bowlinggreen,-14.4,22.5,36.9
113,UAB,uab,-14.4,24.8,39.2
114,Delaware,delaware,-14.4,19.8,34.2
115,EMU,easternmichigan,-15.1,19.6,34.7
116,Rice,rice,-15.4,17.2,32.6
117,UL-Monroe,louisianamonroe,-15.4,17.4,32.8
118,WMU,westernmichigan,-15.5,20.4,35.8
119,Utah St.,utahstate,-15.6,24.2,39.8
120,CMU,centralmichigan,-15.8,17.3,33.1
121,Tulsa,tulsa,-16.8,21.7,38.4
122,Nevada,nevada,-16.8,20.0,36.8
123,UTEP,utep,-16.8,18.6,35.4
124,Temple,temple,-17.3,20.4,37.7
125,NMSU,newmexicostate,-17.4,21.1,38.5
126,MTSU,middletennessee,-17.6,16.9,34.5
127,So. Miss,southernmiss,-17.7,20.3,38.0
128,FIU,floridainternational,-18.3,17.8,36.2
129,Missouri St.,missouristate,-18.4,25.8,44.3
130,New Mexico,newmexico,-18.6,23.2,41.8
131,Akron,akron,-19.8,16.7,36.5
132,Kennesaw St.,kennesawstate,-20.1,11.7,31.7
133,Charlotte,charlotte,-20.1,18.7,38.8
134,Ball St.,ballstate,-21.9,17.8,39.7
135,UMass,massachusetts,-24.0,19.2,43.3
136,Kent St.,kentstate,-25.3,16.5,41.8
