rank,team_raw,norm_key,sp_plus_overall,sp_plus_off,sp_plus_def
89,S. Carolina,southcarolina,-1.5,26.8,28.3
90,CMU,centralmichigan,-2.0,26.6,28.6
91,UTSA,utsa,-2.2,27.5,29.8
92,Ga. Southern,georgiasouthern,-2.5,23.4,25.9
93,ECU,eastcarolina,-3.0,28.2,31.2
94,Colorado St.,coloradostate,-3.1,22.0,25.1
95,Air Force,airforce,-3.1,23.7,26.8
96,Arizona,arizona,-4.9,28.3,33.2
97,Hawai'i,hawaii,-5.3,27.8,33.0
98,Arkansas St.,arkansasstate,-5.6,29.9,35.5
99,USF,southflorida,-5.8,21.7,27.5
100,EMU,easternmichigan,-5.8,33.7,39.6
101,Miami-OH,miamioh,-5.9,24.4,30.3
102,Syracuse,syracuse,-6.0,21.8,27.8
103,Kent St.,kentstate,-6.8,32.0,38.8
104,So. Miss,southernmiss,-7.0,21.3,28.3
105,Temple,temple,-7.4,21.9,29.4
106,Vanderbilt,vanderbilt,-7.8,22.3,30.1
107,WKU,westernkentucky,-8.3,17.8,26.1
108,Duke,duke,-8.3,19.9,28.2
109,N. Texas,northtexas,-8.8,26.8,35.6
110,FIU,floridainternational,-9.0,19.4,28.5
111,MTSU,middletennessee,-9.5,23.0,32.4
112,Navy,navy,-9.6,19.2,28.9
113,Rice,rice,-10.5,15.6,26.1
114,Utah St.,utahstate,-10.8,23.0,33.8
115,La. Tech,louisianatech,-11.2,21.9,33.1
116,NIU,northernillinois,-12.0,18.2,30.2
117,Charlotte,charlotte,-12.5,27.8,40.3
118,Texas St.,texasstate,-13.0,25.6,38.6
119,Kansas,kansas,-13.2,21.2,34.4
120,S. Alabama,southalabama,-13.4,19.7,33.1
121,New Mexico,newmexico,-13.6,23.8,37.4
122,UNLV,unlv,-15.7,20.9,36.5
123,UL-Monroe,louisianamonroe,-17.0,20.8,37.8
124,Akron,akron,-17.9,17.2,35.1
125,UTEP,utep,-19.7,21.0,40.6
126,BGSU,bowlinggreen,-20.1,13.3,33.5
127,UConn,connecticut,-23.1,17.3,40.3
128,ODU,olddominion,-24.6,11.2,35.8
129,UMass,massachusetts,-26.2,18.2,44.4
130,NMSU,newmexicostate,-31.5,12.2,43.8
