rank,team_raw,norm_key,sp_plus_overall,sp_plus_off,sp_plus_def
78,Boston Coll.,bostoncollege,-5.7,19.9,25.7
79,Virginia,virginia,-5.8,13.5,19.3
80,SDSU,sandiegostate,-5.8,17.7,23.5
81,Louisiana,louisiana,-6.1,22.9,28.9
82,Liberty,liberty,-6.1,24.2,30.3
83,Indiana,indiana,-6.2,25.0,31.2
84,FAU,floridaatlantic,-6.2,22.6,28.8
85,Northwestern,northwestern,-6.4,13.7,20.1
86,WKU,westernkentucky,-6.8,27.2,34.0
87,ECU,eastcarolina,-8.7,19.4,28.1
88,Colorado,colorado,-9.0,22.7,31.7
89,N. Texas,northtexas,-9.3,27.8,37.1
90,Wyoming,wyoming,-9.5,15.3,24.8
91,Georgia St.,georgiastate,-9.8,25.0,34.8
92,Stanford,stanford,-10.4,16.0,26.4
93,Ohio,ohio,-11.0,23.9,34.9
94,SJSU,sanjosestate,-11.1,19.2,30.3
95,Army,army,-11.1,19.0,30.1
96,Tulsa,tulsa,-11.1,25.3,36.4
97,Buffalo,buffalo,-11.3,21.9,33.2
98,Ga. Southern,georgiasouthern,-11.7,25.8,37.5
99,So. Miss,southernmiss,-11.8,19.1,30.9
100,UAB,uab,-11.9,15.9,27.7
101,Miami-OH,miamioh,-11.9,14.4,26.3
102,Navy,navy,-12.3,15.9,28.2
103,Temple,temple,-12.4,17.7,30.1
104,MTSU,middletennessee,-13.6,17.5,31.1
105,EMU,easternmichigan,-13.7,18.8,32.5
106,Nevada,nevada,-13.9,16.1,30.0
107,Ball St.,ballstate,-14.0,16.5,30.4
108,USF,southflorida,-14.0,23.2,37.2
109,CMU,centralmichigan,-14.2,14.6,28.9
110,UNLV,unlv,-14.6,18.7,33.3
111,Arkansas St.,arkansasstate,-14.8,18.0,32.9
112,La. Tech,louisianatech,-15.1,26.0,41.1
113,Utah St.,utahstate,-15.4,17.1,32.5
114,Colorado St.,coloradostate,-16.0,12.0,28.0
115,NIU,northernillinois,-16.4,21.4,37.8
116,Rice,rice,-16.5,19.7,36.2
117,WMU,westernmichigan,-16.5,15.7,32.3
118,UTEP,utep,-16.6,17.0,33.6
119,Sam Houston,samhouston,-17.1,9.3,26.3
120,Hawaii,hawaii,-17.6,16.6,34.2
121,ODU,olddominion,-17.6,10.4,28.0
122,Texas St.,texasstate,-18.6,8.2,26.7
123,J'ville St.,jacksonvillestate,-18.8,19.9,38.6
124,UL-Monroe,louisianamonroe,-18.8,17.3,36.1
125,UConn,connecticut,-18.9,12.0,30.8
126,NMSU,newmexicostate,-19.6,16.0,35.6
127,New Mexico,newmexico,-20.2,11.7,31.8
128,Akron,akron,-20.4,17.6,38.0
129,BGSU,bowlinggreen,-20.4,17.5,37.9
130,FIU,floridainternational,-20.6,16.9,37.5
131,Charlotte,charlotte,-21.5,13.8,35.3
132,Kent St.,kentstate,-22.6,5.1,27.7
133,UMass,massachusetts,-24.2,9.5,33.7
