TEAM,Bet365 Win Total,FanDuel Win Total,DraftKings Win Total,Caesars Win Total,BetRivers Win Total,DraftKings Conference Win Total,BR Conference Win Total,Bet365 Conference Win Total
East Carolina,6.5 (+120),6.5 (+126),6.5 (+120),6.5 (+120),6.5 (+123),4.5 (+110),,
Eastern Michigan,4.5 (+100),4.5 (+108),4.5 (-105),4.5 (-115),4.5 (-120),3.5 (+110),,
FAU,4.5 (+110),4.5 (+126),4.5 (+105),4.5 (+100),4.5 (+110),2.5 (-135),,
Florida,7.5 (+(100),7.5 (+106),7.5 (-105),7.5 (+100),7.5 (-107),3.5 (-160),3.5 (-165),3.5 (-160)
Florida International,5.5 (+100),5.5 (+106),5.5 (-115),5.5 (+120),5.5 (+104),3.5 (-130),,
Florida State,6.5 (-170),7.5 (+168),6.5 (-150),6.5 (-160),6.5 (-159),4.5 (+100),4.5 (+120),
Fresno State,6.5 (-140),6.5 (-130),6.5 (-130),6.5 (-135),6.5 (-143),4.5 (-120),,
Georgia,9.5 (-170),9.5 (-168),9.5 (-170),9.5 (-175),9.5 (-190),5.5 (-160),5.5 (-177),5.5 (-160)
Georgia Southern,7.5 (+100),7.5 (+110),7.5 (-105),7.5 (+125),7.5 (-103),5.5 (+130),,
Georgia State,3.5 (-105),3.5 (-122),3.5 (-120),3.5 (-105),3.5 (-127),2.5 (-120),,
Georgia Tech,7.5 (-160),7.5 (-160),7.5 (-150),7.5 (-160),7.5 (-177),5.5 (+130),5.5 (+110),
Hawaii,5.5 (-155),5.5 (-140),6.5 (+125),5.5 (-140),5.5 (-167),3.5 (-165),,
Houston,6.5 (+145),5.5 (-192),6.5 (+120),6.5 (+105),6.5 (+105),3.5 (-140),3.5 (-155),
Illinois,7.5 (-185),8.5 (+152),7.5 (-160),7.5 (-200),7.5 (-200),5.5 (-120),5.5 (-148),5.5 (-115)
Indiana,8.5 (+110),8.5 (+108),8.5 (+115),8.5 (+120),8.5 (-136),5.5 (+100),5.5 (-125),5.5 (+100)
Iowa,7.5 (+135),7.5 (+134),7.5 (+135),7.5 (+115),7.5 (+105),4.5 (-110),OFF,
Iowa State,7.5 (+115),7.5 (+110),7.5 (+115),7.5 (+100),7.5 (+110),4.5 (-145),4.5 (-134),
Jacksonville State,6.5 (+130),6.5 (+146),6.5 (+140),6.5 (+170),6.5 (+145),4.5 (+110),,
James Madison,8.5 (+115),8.5 (+114),7.5 (-160),8.5 (+110),8.5 (+108),5.5 (-105),,
Kansas,7.5 (+130),7.5 (+128),6.5 (-155),7.5 (+155),6.5 (-152),4.5 (+100),4.5 (+125),
Kansas State,8.5 (-110),8.5 (-110),8.5 (-115),8.5 (-110),8.5 (-130),6.5 (+125),6.5 (+135),
Kennesaw State,3.5 (-145),3.5 (-144),3.5 (-150),3.5 (-160),3.5 (-167),2.5 (-150),,
Kent State,1.5 (-170),1.5 (-158),1.5 (-180),2.0 (+105),1.5 (-190),1.5 (-120),,
Kentucky,4.5 (-110),4.5 (-105),4.5 (-110),4.5 (-110),4.5 (-107),2.5 (+155),OFF,OFF
Liberty,9.5 (+100),9.5 (+102),8.5 (-160),9.5 (+110),9.5 (-103),6.5 (+105),,
Louisiana Lafayette,7.5 (-110),7.5 (-110),7.5 (-115),OFF,OFF,4.5 (-150),,
Louisiana Monroe,4.5 (-115),4.5 (-104),4.5 (-125),4.5 (-120),4.5 (-127),3.5 (+135),,
Louisiana Tech,6.5 (+135),6.5 (+140),5.5 (-175),5.5 (-145),5.5 (-200),4.5 (+120),,
Louisville,8.5 (-145),8.5 (-160),8.5 (-130),8.5 (-145),8.5 (-177),4.5 (-160),OFF,
LSU,8.5 (-165),8.5 (-172),8.5 (-160),8.5 (-175),8.5 (-162),5.5 (+120),OFF,OFF
Marshall,5.5 (+135),5.5 (+132),5.5 (+140),5.5 (+160),5.0 (-107),3.5 (+100),,
Maryland,4.5 (+100),4.5 (+106),4.5 (+110),4.5 (-105),4.5 (+110),2.5 (+175),1.5 (-167),2.5 (+145)
Memphis,8.5 (+105),8.5 (+104),8.5 (+115),8.5 (+110),8.5 (-107),5.5 (-120),,
Miami FL,9.5 (+120),9.5 (+122),9.5 (+135),OFF,9.0 (+115),6.5 (+115),6.5 (+125),
Miami OH,6.5 (+115),6.5 (+104),6.5 (+110),OFF,6.5 (-103),4.5 (-110),,
Michigan,8.5 (-180),9.5 (+140),8.5 (-160),9.5 (+140),8.5 (-182),6.5 (-115),6.5 (+100),6.5 (-110)
Michigan State,5.5 (-140),5.5 (-140),5.5 (-135),5.5 (-145),5.5 (-143),2.5 (-160),2.5 (-150),
Middle Tennessee,4.5 (-145),4.5 (-160),4.5 (-140),4.5 (-150),5.5 (+117),3.5 (+115),,
Minnesota,6.5 (-160),OFF,7.5 (+130),6.5 (-190),6.5 (-190),4.5 (-110),4.5 (+100),
Mississippi State,3.5 (-150),3.5 (-160),3.5 (-150),3.5 (-155),3.5 (-167),1.5 (+115),OFF,OFF
Missouri,6.5 (-165),6.5 (-164),7.5 (+120),7.5 (+115),7.5 (+128),3.5 (-115),3.5 (-107),3.5 (-110)
Missouri State,4.5 (-130),4.5 (-115),4.5 (-135),4.5 (-110),4.5 (-103),3.5 (-115),,
Navy,8.5 (-130),8.5 (-162),8.5 (-125),8.5 (-130),8.5 (-143),6.5 (+110),,
NC State,6.5 (+110),6.5 (+110),6.5 (+125),6.5 (+115),6.5 (+100),3.5 (-130),3.5 (-150),
Nebraska,7.5 (-140),7.5 (-140),7.5 (-150),7.5 (-170),7.5 (-155),4.5 (-140),4.5 (-155),
Nevada,3.5 (-130),3.5 (-128),3.5 (-150),3.5 (-135),3.5 (-121),2.5 (+105),,
New Mexico,3.5 (+120),3.5 (+128),3.5 (+105),3.5 (+115),3.5 (+116),2.5 (+125),,
New Mexico State,4.5 (-130),4.5 (-134),4.5 (-150),4.5 (-140),4.5 (-134),3.5 (+115),,
North Carolina,7.5 (+140),7.5 (+134),7.5 (+140),7.5 (+140),7.5 (+135),4.5 (+105),4.5 (+120),
North Texas,6.5 (-115),6.5 (-124),6.5 (-110),6.5 (-140),6.5 (-159),4.5 (+135),,
Northern Illinois,6.5 (+135),6.5 (+142),6.5 (+130),6.5 (+140),6.5 (+123),4.5 (+110),,
Northwestern,3.5 (-180),3.5 (-188),3.5 (-180),3.5 (-200),4.0 (+120),1.5 (-160),1.5 (-190),
Notre Dame,10.5 (+120),10.5 (+124),10.5 (+115),10.5 (-110),10.5 (+112),,,
Ohio,7.5 (+105),7.5 (+106),7.5 (+100),7.5 (+110),7.5 (-107),5.5 (-160),,
Ohio State,10.5 (+100),10.5 (+102),10.5 (+120),10.5 (+110),10.5 (+110),7.5 (-135),7.5 (-139),
Oklahoma,6.5 (-180),7.5 (+114),6.5 (-180),7.5 (+115),7.0 (-136),3.5 (+110),3.5 (-103),3.5 (+110)
Oklahoma State,5.5 (+140),5.5 (+144),4.5 (-170),5.5 (+160),5.0 (+110),3.5 (+120),3.5 (+135),
Old Dominion,6.5 (+130),5.5 (-178),6.5 (+130),5.5 (-180),5.5 (-167),4.5 (+120),,
Ole Miss,8.5 (-115),8.5 (-118),8.5 (-110),8.5 (-110),8.5 (+104),4.5 (-135),4.5 (-139),4.5 (-135)
Oregon,10.5 (+110),10.5 (+118),10.5 (+120),10.5 (+135),10.5 (+120),7.5 (+105),7.5 (+110),
Oregon State,6.5 (-180),6.5 (-176),6.5 (-170),6.5 (-180),6.5 (-200),,,
Penn State,10.5 (+110),10.5 (+104),10.5 (+115),10.5 (+105),10.5 (+100),7.5 (+125),7.5 (+125),
Pittsburgh,6.5 (+120),6.5 (+118),6.5 (+135),6.5 (+140),6.5 (+115),3.5 (-110),3.5 (-115),
Purdue,3.5 (+190),3.5 (+198),2.5 (-180),3.5 (+190),2.5 (-190),1.5 (+150),0.5 (-190),
Rice,3.5 (-155),3.5 (-158),3.5 (-140),3.5 (-160),3.5 (-177),2.5 (-125),,
Rutgers,5.5 (-140),5.5 (-142),5.5 (-140),5.5 (-160),OFF,3.5 (+120),OFF,
Sam Houston,4.5 (-140),4.5 (-132),4.5 (-140),4.5 (-155),4.5 (-155),3.5 (-160),,
San Diego State,4.5 (-130),4.5 (-140),4.5 (-140),4.5 (-145),4.5 (-150),2.5 (-160),,
San Jose State,7.5 (-115),7.5 (-106),7.5 (-105),7.5 (-125),7.5 (+100),5.5 (+125),,
SMU,8.5 (-130),8.5 (-122),8.5 (-115),8.5 (-125),8.5 (-113),5.5 (+100),OFF,
South Alabama,6.5 (-145),6.5 (-152),7.5 (+140),6.5 (-115),6.5 (-155),4.5 (-175),,
South Carolina,7.5 (+130),7.5 (+132),7.5 (+125),7.5 (+130),7.5 (+118),3.5 (-135),3.5 (-143),3.5 (-135)
Southern Miss,4.5 (-180),4.5 (-192),4.5 (-180),5.5 (+125),5.0 (-134),2.5 (-125),,
Stanford,3.5 (+130),3.5 (+144),3.5 (+145),3.5 (+140),3.5 (+150),1.5 (-145),1.5 (-150),
Syracuse,5.5 (+135),5.5 (+156),5.5 (+145),5.5 (+160),5.5 (+135),2.5 (-145),2.5 (-167),
TCU,6.5 (-170),6.5 (-184),6.5 (-160),6.5 (-180),6.5 (-200),,4.5 (-150),
Temple,3.5 (+100),3.5 (-110),3.5 (+105),3.5 (-105),3.5 (+112),1.5 (-190),,
Tennessee,8.5 (+110),8.5 (+112),8.5 (+115),8.5 (+105),8.5 (+110),4.5 (-110),4.5 (-117),4.5 (-105)
Texas,9.5 (-190),9.5 (-200),9.5 (-180),9.5 (-190),9.5 (-200),6.5 (+100),6.5 (+108),6.5 (+100)
Texas A&M,8.5 (+150),7.5 (-170),8.5 (+140),8.5 (+135),8.5 (+112),4.5 (-140),5.5 (+128),4.5 (-140)
Texas State,7.5 (+120),7.5 (+124),7.5 (+125),7.5 (+125),7.5 (+112),4.5 (-135),,
Texas Tech,8.5 (-130),8.5 (-154),8.5 (-140),8.5 (-170),8.5 (-143),5.5 (-125),5.5 (-110),
Toledo,8.5 (-115),8.5 (-115),8.5 (-115),8.5 (-135),8.5 (-127),6.5 (+100),,
Troy,5.5 (-130),5.5 (-112),5.5 (-115),5.5 (-145),5.5 (-143),3.5 (-165),,
Tulane,8.5 (+100),8.5 (-105),8.5 (+105),8.5 (+110),8.5 (+123),6.5 (+120),,
Tulsa,3.5 (+135),3.5 (+148),2.5 (-190),3.5 (+125),3.5 (+112),1.5 (-175),,
UAB,4.5 (+110),4.5 (+108),4.5 (+120),4.5 (+110),4.5 (+104),2.5 (-125),,
UCF,5.5 (-115),5.5 (-112),5.5 (-120),5.5 (-120),5.5 (-121),3.5 (+115),3.5 (+120),
UCLA,5.5 (+115),5.5 (+124),5.5 (+125),5.5 (+115),5.5 (+125),3.5 (-120),3.5 (+115),
UConn,7.5 (+100),7.5 (-104),7.5 (+100),7.5 (+110),7.5 (-107),,,
UMass,3.5 (-140),4.5 (+152),3.5 (-135),3.5 (-145),3.5 (-177),2.5 (-125),,
UNLV,8.5 (-105),8.5 (-102),8.5 (-105),8.5 (-110),OFF,5.5 (-115),,
USC,7.5 (-160),7.5 (-162),7.5 (-160),7.5 (-175),8.0 (+110),5.5 (-120),5.5 (-155),
USF,6.5 (+100),6.5 (+100),6.5 (+110),6.5 (-105),6.5 (-107),4.5 (-165),,
Utah,7.5 (-155),7.5 (-164),7.5 (-175),8.5 (+110),7.5 (-159),5.5 (+110),5.5 (+115),
Utah State,4.5 (+130),4.5 (+136),4.5 (+110),4.5 (+130),4.5 (+122),2.5 (-140),,
UTEP,5.5 (+115),5.5 (+124),5.5 (+110),5.5 (+115),5.5 (+117),3.5 (-135),,
UTSA,7.5 (-115),7.5 (-118),7.5 (-115),7.5 (-125),7.5 (-134),5.5 (-110),,
Vanderbilt,5.5 (+150),4.5 (-188),5.5 (+135),5.5 (+145),4.5 (-177),2.5 (+125),2.5 (+132),2.5 (+120)
Virginia,6.5 (+110),6.5 (+106),6.5 (+120),6.5 (+115),6.0 (-125),3.5 (-105),3.5 (-115),
Virginia Tech,6.5 (+125),6.5 (+130),6.5 (+125),6.5 (+130),6.5 (+145),3.5 (-160),3.5 (-134),
Wake Forest,4.5 (+110),4.5 (+116),4.5 (+105),4.5 (+105),4.5 (+120),1.5 (-140),1.5 (-125),
Washington,7.5 (+115),7.5 (+106),7.5 (+110),7.5 (-115),7.5 (+105),4.5 (-125),4.5 (-106),
Washington State,5.5 (+135),5.5 (+140),5.5 (+130),5.5 (+150),5.5 (+145),,,
West Virginia,5.5 (+120),5.5 (+118),5.5 (+115),5.5 (+120),5.5 (+135),2.5 (-175),2.5 (-143),
Western Kentucky,7.5 (-130),7.5 (-118),7.5 (-105),7.5 (-125),7.5 (-127),5.5 (+115),,
Western Michigan,5.5 (+130),4.5 (-160),5.5 (+120),4.5 (-150),4.5 (-162),4.5 (+125),,
Wisconsin,5.5 (+140),5.5 (+138),5.5 (+140),5.5 (+125),5.5 (+150),2.5 (-175),2.5 (-200),
Wyoming,5.5 (+140),5.5 (+138),5.5 (+120),5.5 (+135),5.5 (+135),3.5 (-135),,
