team,market,book,line,over_odds
North Texas,regular,BetRivers,6.5,167
North Texas,regular,DK,5.5,-130
North Texas,regular,Bet365,5.5,-130
Northern Illinois,regular,FD,3.5,-110
Northern Illinois,regular,CZR,3.5,-115
Northern Illinois,regular,BetRivers,3.5,-118
Northern Illinois,regular,DK,3.5,-120
Northern Illinois,regular,Bet365,3.5,-115
Northwestern,regular,FD,5.5,-108
Northwestern,regular,CZR,5.5,-105
Northwestern,regular,BetRivers,5.5,-125
Northwestern,regular,DK,5.5,110
Northwestern,regular,Bet365,5.5,-105
Notre Dame,regular,FD,11.5,168
Notre Dame,regular,CZR,11.5,150
Notre Dame,regular,BetRivers,11.5,165
Notre Dame,regular,DK,11.5,160
Notre Dame,regular,Bet365,11.5,160
Ohio,regular,FD,6.5,-130
Ohio,regular,CZR,6.5,-150
Ohio,regular,BetRivers,6.5,-154
Ohio,regular,DK,6.5,-130
Ohio,regular,Bet365,6.5,-150
Ohio State,regular,FD,9.5,-152
Ohio State,regular,CZR,9.5,-180
Ohio State,regular,BetRivers,9.5,-167
Ohio State,regular,DK,9.5,-166
Ohio State,regular,Bet365,9.5,-165
Oklahoma,regular,FD,7.5,-132
Oklahoma,regular,CZR,7.5,-170
Oklahoma,regular,BetRivers,7.5,-161
Oklahoma,regular,DK,7.5,-136
Oklahoma,regular,Bet365,7.5,-130
Oklahoma State,regular,FD,6.5,116
Oklahoma State,regular,CZR,5.5,-200
Oklahoma State,regular,BetRivers,5.5,-167
Oklahoma State,regular,DK,5.5,-166
Oklahoma State,regular,Bet365,5.5,-170
Old Dominion,regular,FD,7.5,-120
Old Dominion,regular,CZR,7.5,-120
Old Dominion,regular,DK,7.5,-120
Old Dominion,regular,Bet365,7.5,-115
Ole Miss,regular,FD,8.5,122
Ole Miss,regular,CZR,7.5,-180
Ole Miss,regular,BetRivers,7.5,-159
Ole Miss,regular,DK,7.5,-166
Ole Miss,regular,Bet365,7.5,-165
Oregon,regular,FD,10.5,112
Oregon,regular,CZR,10.5,105
Oregon,regular,BetRivers,10.5,105
Oregon,regular,DK,10.5,100
Oregon,regular,Bet365,10.5,105
Oregon State,regular,FD,4.5,-105
Oregon State,regular,BetRivers,4.5,-108
Oregon State,regular,DK,3.5,-150
Oregon State,regular,Bet365,3.5,-150
Penn State,regular,FD,8.5,-152
Penn State,regular,CZR,9.5,135
Penn State,regular,BetRivers,9.5,128
Penn State,regular,DK,8.5,-166
Penn State,regular,Bet365,8.5,-155
Pittsburgh,regular,FD,7.5,-150
Pittsburgh,regular,CZR,7.5,-135
Pittsburgh,regular,BetRivers,7.5,-167
Pittsburgh,regular,DK,7.5,-146
Pittsburgh,regular,Bet365,7.5,-145
Purdue,regular,FD,3.5,124
Purdue,regular,CZR,3.5,110
Purdue,regular,BetRivers,3.5,120
Purdue,regular,DK,3.5,100
Purdue,regular,Bet365,3.5,115
Rice,regular,FD,3.5,-128
Rice,regular,CZR,3.5,-125
Rice,regular,BetRivers,3.5,-115
Rice,regular,DK,3.5,-115
Rice,regular,Bet365,3.5,-120
Rutgers,regular,FD,4.5,-142
Rutgers,regular,CZR,5.5,135
Rutgers,regular,DK,5.5,125
Rutgers,regular,Bet365,4.5,-140
SMU,regular,FD,8.5,-134
SMU,regular,CZR,8.5,-135
SMU,regular,BetRivers,8.5,-139
SMU,regular,DK,8.5,-125
SMU,regular,Bet365,8.5,-135
Sacramento State,regular,FD,4.5,-114
Sacramento State,regular,CZR,4.5,-130
Sam Houston State,regular,FD,3.5,132
Sam Houston State,regular,CZR,3.5,100
Sam Houston State,regular,BetRivers,3.5,105
Sam Houston State,regular,DK,3.5,125
Sam Houston State,regular,Bet365,3.5,120
San Diego State,regular,FD,7.5,104
San Diego State,regular,BetRivers,7.5,107
San Diego State,regular,DK,6.5,-160
San Diego State,regular,Bet365,6.5,-145
San Jose State,regular,FD,4.5,-112
San Jose State,regular,CZR,5.5,145
San Jose State,regular,BetRivers,4.5,-156
San Jose State,regular,DK,4.5,-130
San Jose State,regular,Bet365,4.5,-150
South Alabama,regular,FD,5.5,-118
South Alabama,regular,CZR,5.5,-150
South Alabama,regular,BetRivers,5.5,-143
South Alabama,regular,DK,5.5,-130
South Alabama,regular,Bet365,5.5,-130
South Carolina,regular,FD,6.5,116
South Carolina,regular,CZR,6.5,120
South Carolina,regular,BetRivers,6.5,115
South Carolina,regular,DK,6.5,110
South Carolina,regular,Bet365,6.5,110
South Florida,regular,FD,8.5,116
South Florida,regular,CZR,8.5,110
South Florida,regular,BetRivers,8.5,115
South Florida,regular,DK,8.5,115
South Florida,regular,Bet365,8.5,115
Southern Miss,regular,FD,3.5,-128
Southern Miss,regular,CZR,4.5,165
Southern Miss,regular,BetRivers,3.5,-156
Southern Miss,regular,DK,3.5,-130
Southern Miss,regular,Bet365,3.5,-115
Stanford,regular,FD,3.5,-122
Stanford,regular,CZR,3.5,-135
Stanford,regular,BetRivers,3.5,-139
Stanford,regular,DK,3.5,-110
Stanford,regular,Bet365,3.5,-115
Syracuse,regular,FD,4.5,100
Syracuse,regular,CZR,4.5,-115
Syracuse,regular,BetRivers,4.5,-112
Syracuse,regular,DK,4.5,105
Syracuse,regular,Bet365,4.5,100
TCU,regular,FD,6.5,-142
TCU,regular,CZR,6.5,-160
TCU,regular,BetRivers,6.5,-167
TCU,regular,DK,6.5,-146
TCU,regular,Bet365,6.5,-150
Temple,regular,FD,5.5,-114
Temple,regular,CZR,4.5,-220
Temple,regular,DK,5.5,-110
Temple,regular,Bet365,5.5,100
Tennessee,regular,FD,7.5,-114
Tennessee,regular,CZR,7.5,-120
Tennessee,regular,BetRivers,7.5,100
Tennessee,regular,DK,7.5,105
Tennessee,regular,Bet365,7.5,-110
Texas A&M,regular,FD,8.5,-106
Texas A&M,regular,CZR,8.5,-105
Texas A&M,regular,BetRivers,8.5,-112
Texas A&M,regular,DK,8.5,100
Texas A&M,regular,Bet365,8.5,-105
Texas,regular,FD,9.5,108
Texas,regular,CZR,9.5,100
Texas,regular,BetRivers,9.5,108
Texas,regular,DK,9.5,120
Texas,regular,Bet365,9.5,115
Texas State,regular,FD,6.5,-132
Texas State,regular,BetRivers,6.5,-122
Texas State,regular,DK,5.5,-166
Texas State,regular,Bet365,5.5,-165
Texas Tech,regular,FD,10.5,-220
Texas Tech,regular,BetRivers,10.5,-227
Texas Tech,regular,DK,10.5,-200
Texas Tech,regular,Bet365,10.5,-230
Toledo,regular,FD,7.5,-115
Toledo,regular,CZR,7.5,-135
Toledo,regular,DK,7.5,-130
Toledo,regular,Bet365,7.5,-130
Troy,regular,FD,6.5,-162
Troy,regular,CZR,6.5,-170
Troy,regular,BetRivers,6.5,-159
Troy,regular,DK,6.5,-140
Troy,regular,Bet365,6.5,-140
Tulane,regular,FD,6.5,-162
Tulane,regular,CZR,7.5,130
Tulane,regular,BetRivers,7.5,120
Tulane,regular,DK,7.5,120
Tulane,regular,Bet365,7.5,120
Tulsa,regular,FD,5.5,-110
Tulsa,regular,CZR,5.5,100
Tulsa,regular,BetRivers,5.5,-105
Tulsa,regular,DK,5.5,-105
Tulsa,regular,Bet365,5.5,-105
UAB,regular,FD,3.5,-124
UAB,regular,CZR,3.5,-115
UAB,regular,BetRivers,3.5,-111
UAB,regular,DK,3.5,-115
UAB,regular,Bet365,3.5,-110
UCF,regular,FD,5.5,-160
UCF,regular,CZR,5.5,-160
UCF,regular,BetRivers,5.5,-154
UCF,regular,DK,5.5,-130
UCF,regular,Bet365,5.5,-150
UCLA,regular,FD,6.5,118
UCLA,regular,CZR,5.5,-220
UCLA,regular,BetRivers,5.5,-200
UCLA,regular,DK,6.5,110
UCLA,regular,Bet365,6.5,110
UL Monroe,regular,FD,3.5,-124
UL Monroe,regular,CZR,3.5,-115
UL Monroe,regular,BetRivers,3.5,-118
UL Monroe,regular,DK,3.5,-115
UL Monroe,regular,Bet365,3.5,-110
UNLV,regular,FD,8.5,122
UNLV,regular,CZR,7.5,-200
UNLV,regular,BetRivers,7.5,-167
UNLV,regular,DK,7.5,-174
UNLV,regular,Bet365,7.5,-135
USC,regular,FD,8.5,110
USC,regular,CZR,8.5,-115
USC,regular,BetRivers,8.5,100
USC,regular,DK,8.5,115
USC,regular,Bet365,8.5,110
UTEP,regular,FD,3.5,100
UTEP,regular,CZR,3.5,115
UTEP,regular,BetRivers,3.5,115
UTEP,regular,DK,3.5,110
UTEP,regular,Bet365,3.5,110
UTSA,regular,FD,7.5,-150
UTSA,regular,CZR,7.5,-150
UTSA,regular,DK,7.5,-125
Utah,regular,FD,8.5,-132
Utah,regular,CZR,8.5,-135
Utah,regular,BetRivers,8.5,-147
Utah,regular,DK,8.5,-150
Utah,regular,Bet365,8.5,-145
Utah State,regular,FD,4.5,-134
Utah State,regular,BetRivers,5.5,115
Utah State,regular,DK,4.5,-136
Utah State,regular,Bet365,4.5,-160
Vanderbilt,regular,FD,5.5,-138
Vanderbilt,regular,CZR,5.5,-160
Vanderbilt,regular,BetRivers,6.5,155
Vanderbilt,regular,DK,5.5,-130
Vanderbilt,regular,Bet365,5.5,-150
Virginia,regular,FD,8.5,118
Virginia,regular,CZR,7.5,-170
Virginia,regular,BetRivers,7.5,-179
Virginia,regular,DK,7.5,-150
Virginia,regular,Bet365,7.5,-165
Virginia Tech,regular,FD,6.5,-160
Virginia Tech,regular,CZR,7.5,130
Virginia Tech,regular,BetRivers,6.5,-179
Virginia Tech,regular,DK,6.5,-150
Virginia Tech,regular,Bet365,6.5,-155
West Virginia,regular,FD,5.5,-162
West Virginia,regular,CZR,5.5,-150
West Virginia,regular,BetRivers,5.5,-167
West Virginia,regular,DK,5.5,-160
West Virginia,regular,Bet365,5.5,-150
Wake Forest,regular,FD,5.5,-130
Wake Forest,regular,CZR,5.5,-125
Wake Forest,regular,BetRivers,5.5,-125
Wake Forest,regular,DK,5.5,-136
Wake Forest,regular,Bet365,5.5,-130
Washington,regular,FD,7.5,-152
Washington,regular,CZR,7.5,-155
Washington,regular,BetRivers,7.5,-159
Washington,regular,DK,7.5,-170
Washington,regular,Bet365,7.5,-160
Washington State,regular,FD,5.5,-102
Washington State,regular,BetRivers,5.5,114
Washington State,regular,DK,4.5,-166
Washington State,regular,Bet365,4.5,-170
Western Kentucky,regular,FD,7.5,-104
Western Kentucky,regular,CZR,6.5,-180
Western Kentucky,regular,BetRivers,6.5,-179
Western Kentucky,regular,DK,6.5,-180
Western Kentucky,regular,Bet365,7.5,125
Western Michigan,regular,FD,7.5,124
Western Michigan,regular,CZR,7.5,115
Western Michigan,regular,BetRivers,7.5,115
Western Michigan,regular,DK,7.5,130
Western Michigan,regular,Bet365,7.5,105
Wisconsin,regular,FD,6.5,-122
Wisconsin,regular,CZR,6.5,-130
Wisconsin,regular,BetRivers,6.5,-132
Wisconsin,regular,DK,6.5,-105
Wisconsin,regular,Bet365,6.5,-115
Wyoming,regular,FD,5.5,-110
Wyoming,regular,CZR,5.5,-115
Wyoming,regular,BetRivers,5.5,-111
Wyoming,regular,DK,5.5,-110
Wyoming,regular,Bet365,5.5,-110
Alabama,conference,CZR,5.5,-140
Alabama,conference,DK,5.5,-120
Arizona,conference,CZR,4.5,-125
Arizona,conference,DK,4.5,-125
Arizona State,conference,CZR,4.5,-115
Arizona State,conference,DK,4.5,-136
Arkansas,conference,CZR,2.5,120
Arkansas,conference,DK,2.5,130
Auburn,conference,CZR,3.5,-160
Auburn,conference,DK,3.5,-156
BYU,conference,CZR,6.5,100
BYU,conference,DK,6.5,-110
Baylor,conference,CZR,3.5,-170
Baylor,conference,DK,3.5,-160
Boston College,conference,CZR,1.5,-160
Boston College,conference,DK,1.5,-200
California,conference,CZR,4.5,105
California,conference,DK,4.5,115
Cincinnati,conference,CZR,3.5,-105
Cincinnati,conference,DK,3.5,115
Clemson,conference,CZR,5.5,120
Clemson,conference,DK,5.5,134
Colorado,conference,CZR,1.5,-220
Colorado,conference,DK,2.5,-110
Duke,conference,CZR,4.5,115
Duke,conference,DK,4.5,125
Florida,conference,CZR,4.5,-120
Florida,conference,DK,4.5,-110
Florida State,conference,CZR,3.5,-120
Florida State,conference,DK,3.5,-130
Georgia,conference,CZR,7.5,140
Georgia,conference,DK,6.5,-186
Georgia Tech,conference,CZR,4.5,120
Georgia Tech,conference,DK,4.5,134
Houston,conference,CZR,5.5,105
Houston,conference,DK,5.5,115
Illinois,conference,CZR,4.5,-115
Illinois,conference,DK,4.5,-105
Indiana,conference,CZR,7.5,-110
Indiana,conference,DK,7.5,-110
Iowa,conference,CZR,4.5,-140
Iowa,conference,DK,4.5,-140
Iowa State,conference,CZR,3.5,115
Iowa State,conference,DK,3.5,105
Kansas,conference,CZR,3.5,-115
Kansas,conference,DK,3.5,-110
Kansas State,conference,CZR,5.5,115
Kansas State,conference,DK,5.5,105
Kentucky,conference,CZR,2.5,100
Kentucky,conference,DK,2.5,110
LSU,conference,CZR,5.5,100
LSU,conference,DK,5.5,115
Louisville,conference,CZR,5.5,-160
Louisville,conference,DK,5.5,-180
Maryland,conference,CZR,3.5,120
Maryland,conference,DK,3.5,115
Miami Florida,conference,DK,7.5,-180
Michigan,conference,CZR,5.5,-105
Michigan,conference,DK,5.5,115
Michigan State,conference,CZR,2.5,-120
