TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
Temple,3-9,196,450,62.5,60.8,45.1,62.8,60.3,71.5,63.2,62.3,71.3,52.8,72.5,42.3,69.9
Tennessee,7-6,511,378,78.8,75.2,74.6,48.6,67.5,91.9,61.6,74.9,75.0,63.4,74.3,67.3,67.3
Texas,5-7,423,373,78.7,82.3,70.4,62.2,72.5,93.3,72.4,62.2,49.3,62.1,65.3,74.5,77.9
Texas A&M,8-4,352,191,90.4,83.0,77.8,52.7,69.5,92.3,77.8,84.7,79.6,76.9,81.0,81.1,75.7
Texas State,4-8,277,396,72.7,77.7,62.2,67.1,71.8,77.6,80.0,57.0,61.1,50.0,67.8,44.7,76.5
Texas Tech,7-6,395,392,79.7,80.0,80.5,65.5,77.8,82.3,65.0,69.7,73.1,62.3,66.9,61.4,72.5
Toledo,7-6,434,283,83.9,71.1,60.3,46.7,65.5,91.4,68.7,91.0,91.5,90.0,81.7,86.5,70.1
Troy,5-7,274,313,80.9,71.6,75.7,69.3,63.7,77.0,63.6,88.5,89.2,70.4,80.9,75.6,71.7
Tulane,2-10,331,408,69.5,68.2,56.2,62.0,61.8,80.5,67.8,67.6,65.7,64.6,69.0,64.1,65.5
Tulsa,7-6,343,346,83.8,79.2,73.3,70.1,68.7,83.2,74.7,84.5,85.7,76.6,83.9,74.1,53.4
UAB,9-4,384,302,91.0,84.2,71.2,69.4,79.4,88.0,74.5,90.6,86.6,76.8,90.0,87.0,75.4
UCF,9-4,415,319,81.6,78.3,67.1,82.8,69.2,85.7,66.7,80.8,75.4,56.8,74.7,82.0,61.3
UCLA,8-4,438,321,80.3,81.8,75.2,66.0,65.6,92.9,74.4,67.8,56.6,66.9,69.0,74.4,69.2
UNLV,2-10,249,394,72.6,68.8,60.5,43.8,68.5,76.8,67.7,69.5,70.3,58.3,70.0,61.4,79.3
USC,4-8,344,381,84.5,87.3,76.3,81.1,77.0,86.6,85.9,64.6,62.5,46.8,76.1,54.4,71.8
USF,2-10,278,416,68.0,68.5,52.3,68.2,67.3,79.8,58.1,56.7,52.4,33.7,65.1,56.6,80.3
Utah,10-4,506,316,89.7,90.2,81.4,59.8,77.8,91.6,83.3,78.8,76.3,65.4,79.7,69.2,73.8
Utah State,11-3,456,342,76.8,77.2,77.7,60.3,81.9,76.4,55.0,65.5,62.4,61.8,79.2,58.8,74.6
UTEP,7-6,326,328,82.3,79.2,58.0,73.2,82.8,73.8,75.4,77.9,82.5,83.7,76.1,66.1,72.6
UTSA,12-2,516,345,84.2,84.2,79.4,58.9,80.8,85.4,71.0,71.9,76.9,59.1,80.6,56.5,76.0
Vanderbilt,2-10,189,430,60.1,61.6,49.1,45.5,62.8,78.3,59.9,56.1,52.5,54.4,62.7,56.6,62.9
Virginia,6-6,415,382,80.3,87.9,87.4,72.2,80.5,88.9,76.1,56.1,39.1,69.2,64.3,73.0,75.4
Virginia Tech,6-7,308,329,77.5,79.5,61.5,78.6,69.9,84.2,74.8,64.4,60.5,57.5,73.7,58.7,70.7
Wake Forest,11-3,574,404,90.9,91.7,89.9,78.4,86.7,83.5,74.1,78.3,68.5,66.5,76.4,81.5,73.7
Washington,4-8,258,272,78.6,70.7,64.3,59.3,65.0,73.3,72.1,80.4,56.7,66.3,75.8,92.1,80.7
Washington State,7-6,362,315,77.0,73.8,70.6,73.1,68.1,87.4,56.3,73.0,61.4,58.7,69.7,77.7,70.7
West Virginia,6-7,328,310,79.8,78.4,68.8,72.9,72.7,77.6,74.7,71.3,69.5,74.0,69.4,69.4,72.3
Western Kentucky,9-5,619,411,88.2,89.4,87.3,90.7,83.5,80.7,73.8,75.0,63.5,64.8,73.3,80.6,70.9
Western Michigan,8-5,422,367,83.9,88.4,77.0,74.0,84.1,82.5,80.3,70.4,64.6,52.5,90.3,55.7,55.8
Wisconsin,9-4,330,210,92.6,87.9,63.7,55.0,76.4,81.4,88.6,91.6,90.8,80.3,90.0,78.3,77.2
Wyoming,7-6,330,308,88.0,83.3,58.4,71.7,73.4,89.2,79.7,86.2,77.4,64.8,78.5,87.3,64.3
