team,final,anchor,class_term,resid,adj,st,band,dispersion_flag,low_conf_units,rank,resid_flag
Mississippi State,4.75,4.66,-1.68,4.13,1.44,-0.14,6.0,False,0,38,False
Illinois,4.67,9.03,-1.68,-8.02,-2.81,-0.34,6.0,False,0,39,False
Wisconsin,4.57,5.42,-1.68,-1.08,-0.38,0.74,6.18,False,1,40,False
Oklahoma State,4.06,3.89,-1.68,6.41,2.24,-0.86,6.6,True,0,41,False
Virginia,3.8,6.99,-1.68,-6.39,-2.24,0.26,6.18,False,1,42,False
Kentucky,3.72,5.61,-1.68,-0.17,-0.06,-0.62,6.54,False,3,43,False
Georgia Tech,3.68,5.58,-1.68,-3.96,-1.38,0.7,6.54,False,3,44,False
Virginia Tech,3.46,7.05,-1.68,-4.32,-1.51,-0.86,7.19,True,3,45,False
Arizona State,3.24,6.93,-1.68,-5.36,-1.88,-0.6,6.18,False,1,46,False
Duke,3.12,4.31,-1.68,-1.2,-0.42,0.44,6.0,False,0,47,False
Pittsburgh,3.11,7.14,-1.68,-7.52,-2.63,-0.18,6.0,False,0,48,False
Baylor,3.06,4.7,-1.68,-3.92,-1.37,0.94,6.0,False,0,49,False
Boise State,2.86,5.4,1.68,-13.95,-4.88,0.2,6.0,False,0,50,True
UCLA,2.58,3.91,-1.68,-1.66,-0.58,0.46,6.0,False,0,51,False
Arkansas,2.35,4.83,-1.68,-1.61,-0.56,-0.7,6.18,False,1,52,False
Memphis,1.97,-0.72,1.68,1.43,0.5,0.04,6.54,False,3,53,False
North Carolina,1.85,1.87,-1.68,3.59,1.26,-0.06,6.54,False,3,54,False
Wake Forest,1.65,3.35,-1.68,-3.85,-1.35,0.86,6.18,False,1,55,False
James Madison,1.47,-0.49,1.68,-1.45,-0.51,0.32,6.72,False,4,56,False
Maryland,1.34,2.62,-1.68,1.48,0.52,-0.58,6.0,False,0,57,False
Cincinnati,1.17,3.57,-1.68,-3.5,-1.23,0.04,6.18,False,1,58,False
Army,0.99,-2.64,1.68,3.78,1.32,0.16,6.54,False,3,59,False
UCF,0.85,2.42,-1.68,-2.55,-0.89,0.54,6.18,False,1,60,False
NC State,0.37,5.38,-1.68,-10.21,-3.57,-0.22,6.18,False,1,61,False
Colorado,0.36,0.44,-1.68,2.62,0.92,0.22,6.18,False,1,62,False
Tulane,0.35,0.47,1.68,-7.97,-2.79,0.52,6.18,False,1,63,False
Kansas,-0.03,4.02,-1.68,-9.69,-3.39,0.56,6.0,False,0,64,False
North Dakota State,-0.05,-3.78,1.68,4.52,1.58,0.0,7.59,True,8,65,False
South Florida,-0.09,-0.87,1.68,-3.2,-1.12,-0.24,6.36,False,2,66,False
Navy,-0.47,0.27,1.68,-8.66,-3.03,0.14,6.54,False,3,67,False
UNLV,-0.66,0.36,1.68,-8.49,-2.97,-0.2,6.0,False,0,68,False
East Carolina,-0.7,-1.16,1.68,-4.76,-1.66,-0.02,6.18,False,1,69,False
San Diego State,-0.74,-0.82,1.68,-6.35,-2.22,0.16,6.18,False,1,70,False
Fresno State,-1.1,-2.08,1.68,-5.0,-1.75,0.58,6.18,False,1,71,False
Washington State,-1.18,-1.95,1.68,-2.73,-0.96,-0.42,7.39,True,4,72,False
Stanford,-1.32,-3.17,-1.68,7.39,2.59,0.48,6.36,False,2,73,False
Iowa State,-1.61,0.99,-1.68,-2.32,-0.81,-0.58,7.0,True,2,74,False
New Mexico,-1.69,-3.99,1.68,0.1,0.04,0.12,6.18,False,1,75,False
UTSA,-1.94,-2.04,1.68,-3.9,-1.37,-0.68,6.0,False,0,76,False
Rutgers,-1.99,1.06,-1.68,-3.48,-1.22,-0.62,6.0,False,0,77,False
Old Dominion,-2.09,-4.03,1.68,0.84,0.29,-0.5,6.54,False,3,78,False
West Virginia,-2.23,1.23,-1.68,-7.06,-2.47,0.22,6.0,False,0,79,False
Michigan State,-2.25,0.75,-1.68,-2.36,-0.83,-0.96,6.36,False,2,80,False
Texas State,-2.43,-5.31,1.68,2.45,0.86,-0.12,6.0,False,0,81,False
California,-2.45,2.15,-1.68,-7.4,-2.59,-0.8,6.36,False,2,82,False
Hawai'i,-2.78,-5.72,1.68,1.29,0.45,0.34,6.18,False,1,83,False
Purdue,-2.78,-2.28,-1.68,-0.6,-0.21,0.92,6.0,False,0,84,False
North Texas,-3.38,-6.61,1.68,3.1,1.08,0.0,7.19,True,3,85,False
Louisiana Tech,-3.46,-9.76,1.68,10.5,3.67,0.48,6.9,False,7,86,False
Western Michigan,-3.67,-6.7,1.68,1.16,0.41,0.48,6.18,False,1,87,False
Oregon State,-4.03,-7.68,1.68,4.3,1.51,0.0,6.18,False,1,88,False
Toledo,-4.42,-4.89,1.68,-7.07,-2.47,0.8,7.19,True,3,89,False
Syracuse,-4.67,-1.88,-1.68,-2.55,-0.89,-0.68,6.18,False,1,90,False
Boston College,-4.68,-3.26,-1.68,-1.74,-0.61,0.4,6.18,False,1,91,False
Air Force,-4.84,-5.48,1.68,-4.81,-1.68,0.18,6.18,False,1,92,False
Western Kentucky,-4.97,-6.47,1.68,-3.85,-1.35,0.7,6.18,False,1,93,False
Marshall,-5.18,-7.69,1.68,2.52,0.88,-0.52,6.36,False,2,94,False
Ohio,-5.94,-9.57,1.68,5.77,2.02,-0.54,6.9,False,5,95,False
Louisiana,-6.01,-10.0,1.68,5.2,1.82,0.02,6.36,False,2,96,False
Buffalo,-6.13,-14.12,1.68,14.88,5.21,0.64,6.9,False,6,97,True
Temple,-6.5,-10.85,1.68,7.4,2.59,-0.38,6.54,False,3,98,False
Troy,-6.77,-7.48,1.68,-4.4,-1.54,0.1,6.36,False,2,99,False
Tulsa,-6.77,-10.94,1.68,5.04,1.76,0.26,6.0,False,0,100,False
Utah State,-6.93,-6.57,1.68,-4.88,-1.71,-0.8,6.36,False,2,101,False
South Alabama,-7.21,-12.02,1.68,8.65,3.03,-0.36,6.18,False,1,102,False
Liberty,-7.79,-8.79,1.68,-1.79,-0.63,-0.52,6.36,False,2,103,False
Miami (OH),-8.0,-6.47,1.68,-10.85,-3.8,0.12,6.18,False,1,104,False
Florida Atlantic,-8.38,-11.31,1.68,2.53,0.89,-0.1,6.18,False,1,105,False
App State,-8.52,-11.85,1.68,3.89,1.36,-0.18,6.18,False,1,106,False
Nevada,-8.62,-14.46,1.68,12.68,4.44,-0.74,6.72,False,4,107,True
Georgia Southern,-8.63,-10.89,1.68,2.43,0.85,-0.74,6.36,False,2,108,False
Jacksonville State,-8.66,-9.83,1.68,-1.13,-0.4,-0.58,6.18,False,1,109,False
Arkansas State,-8.88,-11.17,1.68,-0.67,-0.24,0.38,6.18,False,1,110,False
UConn,-9.01,-10.95,1.68,0.16,0.05,-0.26,6.36,False,2,111,False
San José State,-9.66,-14.31,1.68,6.18,2.16,0.34,6.54,False,3,112,False
Wyoming,-9.8,-11.35,1.68,0.8,0.28,-0.88,6.54,False,3,113,False
Southern Miss,-9.82,-16.7,1.68,12.77,4.47,0.26,7.59,True,5,114,True
Bowling Green,-10.75,-14.84,1.68,5.89,2.06,-0.12,6.54,False,3,115,False
Coastal Carolina,-11.04,-13.82,1.68,3.76,1.32,-0.68,6.36,False,2,116,False
Central Michigan,-11.13,-13.3,1.68,2.54,0.89,-0.86,6.72,False,4,117,False
Colorado State,-11.25,-11.66,1.68,-2.26,-0.79,-0.94,6.36,False,2,118,False
Delaware,-11.27,-13.86,1.68,1.9,0.66,-0.22,6.6,True,0,119,False
Rice,-11.6,-15.91,1.68,7.34,2.57,-0.4,6.54,False,3,120,False
Sacramento State,-11.88,-20.03,1.68,20.86,6.0,0.0,6.9,False,8,121,True
Kennesaw State,-12.08,-12.24,1.68,-3.73,-1.3,-0.68,6.36,False,2,122,False
Georgia State,-12.2,-19.95,1.68,20.0,6.0,-0.4,6.9,False,7,123,True
Northern Illinois,-12.95,-17.17,1.68,6.9,2.42,-0.34,6.72,False,4,124,False
UAB,-13.02,-17.36,1.68,9.08,3.18,-0.98,6.18,False,1,125,False
Eastern Michigan,-13.63,-16.31,1.68,4.22,1.48,-0.94,6.54,False,3,126,False
Florida International,-14.04,-15.51,1.68,-1.75,-0.61,-0.06,6.0,False,0,127,False
Missouri State,-14.05,-16.15,1.68,2.66,0.93,-0.98,6.36,False,2,128,False
UTEP,-14.05,-20.13,1.68,12.55,4.39,-0.46,6.72,False,4,129,True
New Mexico State,-14.34,-18.14,1.68,2.78,0.97,0.68,6.18,False,1,130,False
Akron,-14.42,-19.97,1.68,11.14,3.9,-0.5,6.54,False,3,131,True
UL Monroe,-14.72,-22.41,1.68,22.46,6.0,-0.46,6.9,False,7,132,True
Ball State,-14.98,-22.37,1.68,18.45,6.0,-0.76,6.9,False,6,133,True
Middle Tennessee,-15.71,-21.1,1.68,11.85,4.15,-0.9,6.36,False,2,134,True
Charlotte,-17.71,-23.0,1.68,11.62,4.07,-0.92,6.8,True,1,135,True
Kent State,-18.42,-21.69,1.68,5.33,1.86,-0.74,6.36,False,2,136,False
Sam Houston,-19.7,-23.69,1.68,4.42,1.55,0.3,6.18,False,1,137,False
Massachusetts,-22.87,-30.22,1.68,20.81,6.0,-0.8,7.39,True,4,138,True
