TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
Eastern Michigan,9-4,387,370,81.6,78.2,66.2,65.2,75.4,80.7,70.2,73.9,85.0,77.8,71.4,63.3,84.9
Florida,6-7,384,375,85.1,83.4,70.3,72.5,76.1,88.2,77.0,78.0,77.0,71.0,76.2,70.2,70.2
Florida Atlantic,5-7,357,319,75.5,71.6,79.2,69.4,69.4,81.5,49.3,73.2,75.2,54.2,61.8,74.6,77.9
Florida International,4-8,224,447,66.9,56.5,58.2,35.2,63.1,78.3,38.7,78.5,74.1,55.6,82.3,70.9,65.4
Florida State,10-3,469,268,91.4,88.3,86.4,64.4,86.4,92.3,64.5,87.1,85.2,71.5,81.4,78.0,85.1
Fresno State,10-4,428,272,84.6,83.2,81.2,57.3,76.0,91.0,71.8,75.1,61.6,66.4,64.3,89.5,82.1
Georgia,15-0,616,214,93.8,94.2,90.3,84.4,87.8,92.1,80.9,89.9,91.8,83.1,75.5,80.9,83.4
Georgia Southern,6-7,425,411,73.9,73.8,69.8,70.0,72.0,87.2,53.9,67.1,54.6,56.1,71.4,75.1,64.8
Georgia State,4-8,360,374,75.5,69.6,73.5,59.1,62.0,81.3,57.9,77.7,72.0,44.7,84.4,69.0,68.4
Georgia Tech,5-7,206,341,64.7,58.1,50.5,42.8,60.6,77.6,50.8,70.7,67.3,59.4,70.1,71.5,73.4
Hawaii,3-10,257,451,65.7,66.3,56.2,65.7,55.7,91.1,63.1,61.7,56.2,35.1,65.2,62.9,65.3
Houston,8-5,469,418,90.8,85.5,91.3,88.0,76.4,78.0,66.8,89.2,80.9,54.8,92.6,74.1,79.7
Illinois,8-5,315,166,92.0,83.0,79.9,71.2,74.3,85.7,71.8,93.0,92.2,75.4,80.8,91.6,77.1
Indiana,4-8,279,407,62.1,57.5,51.4,45.3,60.6,77.6,47.0,65.4,78.5,60.6,58.2,48.5,64.9
Iowa,8-5,230,173,88.1,63.6,55.5,34.9,64.8,76.2,62.0,94.3,92.7,89.4,78.1,93.6,84.1
Iowa State,4-8,242,243,78.5,71.8,74.0,60.8,72.8,72.5,60.9,83.8,85.8,61.8,72.9,76.9,74.4
James Madison,8-3,407,230,91.1,80.4,77.6,51.6,83.0,82.7,64.5,92.1,92.9,74.5,85.2,79.0,73.2
Kansas,6-7,463,461,79.0,81.7,78.2,68.0,86.7,82.8,59.3,69.2,66.2,63.0,71.2,68.4,71.5
Kansas State,10-4,452,306,84.6,81.6,73.0,65.3,75.5,92.0,65.9,76.7,72.2,68.7,71.0,78.4,83.0
Kent State,5-7,341,348,80.1,77.5,74.5,76.5,65.4,91.6,59.9,76.9,76.2,69.2,75.0,68.9,68.6
Kentucky,7-6,265,250,81.4,72.2,62.5,64.8,74.8,85.1,55.6,86.2,75.0,80.2,74.1,90.3,63.3
Liberty,8-5,358,320,75.9,68.2,50.2,74.9,68.2,79.1,58.1,78.0,76.8,54.8,71.6,75.4,89.5
Louisiana,6-7,340,297,82.5,71.2,66.1,54.8,63.4,84.5,65.4,89.9,88.9,67.9,72.4,89.3,66.9
Louisiana Tech,3-9,348,455,69.7,67.0,63.8,49.6,70.9,80.4,51.2,65.5,56.1,37.8,70.4,69.1,65.4
Louisiana-Monroe,4-8,268,413,64.2,62.0,70.0,39.2,66.6,75.9,41.8,63.0,63.0,36.9,67.3,57.1,63.5
Louisville,8-5,350,249,81.6,74.3,61.3,70.7,68.4,84.0,67.5,82.7,79.2,49.8,90.0,67.5,67.4
LSU,10-4,483,315,86.0,80.8,78.5,67.8,72.0,91.0,66.6,86.5,90.3,70.9,81.8,72.8,64.1
Marshall,9-4,318,208,81.2,67.6,48.9,71.5,62.6,85.5,57.1,91.6,87.5,82.6,90.2,89.6,76.6
Maryland,8-5,366,301,79.2,76.1,76.6,73.9,72.5,82.7,57.8,73.9,69.7,75.5,62.7,78.9,77.9
Massachusetts,1-11,150,373,57.4,52.5,37.3,69.3,50.3,72.5,46.4,67.5,67.4,57.1,71.7,64.6,58.6
Memphis,7-6,459,338,85.3,75.9,80.9,67.8,70.7,83.9,54.8,87.3,86.3,67.7,68.8,85.0,76.5
Miami (FL),5-7,283,321,82.1,68.0,54.9,66.2,69.9,88.7,51.3,90.8,84.2,55.2,83.0,90.1,75.0
Miami (OH),6-7,263,294,69.5,63.1,46.4,56.9,60.9,77.8,61.9,71.2,67.8,65.2,65.9,73.4,79.6
Michigan,13-1,566,225,94.2,88.5,72.1,74.0,73.7,96.1,72.1,93.7,92.9,90.7,85.3,92.0,82.2
Michigan State,5-7,293,329,77.6,78.0,72.3,73.4,74.4,78.8,70.6,71.5,75.7,67.8,71.5,56.1,71.7
Middle Tennessee,8-5,375,360,71.0,57.8,60.3,36.9,66.4,76.3,36.8,84.5,84.4,71.6,78.7,76.1,76.3
Minnesota,9-4,367,180,93.7,94.2,81.9,70.4,80.2,91.1,87.9,88.4,81.7,83.4,63.2,90.4,80.1
Mississippi,8-5,435,332,83.8,77.0,73.3,64.7,74.0,90.8,55.5,84.2,76.0,71.6,81.9,84.3,79.7
Mississippi State,9-4,411,300,77.9,71.1,72.4,73.3,64.8,86.2,57.0,79.2,73.6,68.2,62.2,88.2,90.4
Missouri,6-7,323,327,80.8,69.9,67.3,63.2,67.0,82.9,57.3,87.7,84.5,68.9,83.7,80.4,78.8
Navy,4-8,263,292,71.3,69.6,55.7,23.5,71.7,72.7,67.0,65.5,75.3,57.6,69.5,47.1,81.4
Nebraska,4-8,271,331,70.2,67.0,69.4,33.3,71.6,81.9,51.2,69.5,58.8,69.0,78.9,68.4,72.2
Nevada,2-10,226,371,64.0,58.1,58.2,54.1,56.2,70.9,52.8,68.9,62.7,57.3,65.8,72.0,73.2
New Mexico,2-10,157,312,58.1,49.7,33.0,42.6,50.9,70.5,53.1,67.4,64.0,57.3,59.9,81.0,75.8
New Mexico State,7-6,331,311,69.8,68.0,68.5,57.0,61.6,91.3,50.1,69.8,64.5,69.7,64.3,76.4,61.1
North Carolina,9-5,482,431,80.0,79.8,90.6,61.6,77.9,84.0,50.6,70.7,68.9,77.8,74.4,66.4,82.5
North Carolina State,8-5,316,249,82.2,68.5,63.7,72.9,60.0,78.4,66.5,90.2,91.9,73.3,73.1,85.4,84.7
North Texas,7-7,473,444,85.3,80.4,69.5,68.5,78.7,86.1,67.5,83.4,86.6,66.1,74.2,77.6,71.2
Northern Illinois,3-9,327,393,77.9,72.3,66.4,65.0,73.1,78.9,58.0,79.4,87.8,62.1,77.2,58.7,70.0
Northwestern,1-11,165,340,62.4,61.1,41.8,77.3,59.4,69.0,60.0,61.4,62.9,58.3,69.6,51.0,76.5
Notre Dame,9-4,413,299,90.6,85.7,68.5,72.7,75.3,84.4,82.7,84.4,79.4,84.4,81.0,79.0,87.8
Ohio,10-4,445,396,79.6,82.9,82.1,55.2,86.6,84.0,61.6,66.1,70.1,44.4,71.0,56.8,78.2
Ohio State,11-2,575,273,95.1,94.8,89.7,73.6,89.8,92.1,84.8,92.5,91.7,73.3,90.2,86.4,71.7
Oklahoma,6-7,427,390,85.7,84.7,78.3,76.2,71.9,91.8,73.5,75.2,79.9,67.9,66.9,70.2,85.0
Oklahoma State,7-6,398,376,75.0,63.1,58.9,58.0,63.6,76.5,48.4,81.5,76.0,50.7,78.1,76.8,88.4
Old Dominion,3-9,234,319,72.8,66.3,64.7,60.9,66.2,81.5,51.9,74.4,79.2,76.7,68.9,66.5,84.5
Oregon,10-3,504,356,88.8,86.3,78.0,84.8,72.7,94.1,71.6,79.7,70.0,78.2,69.8,85.4,70.4
Oregon State,10-3,419,260,91.3,88.8,72.2,67.9,77.6,91.7,82.5,87.1,86.3,72.8,66.0,87.4,80.5
Penn State,11-2,465,237,86.1,77.9,80.5,65.3,75.5,81.9,58.7,86.9,68.7,57.3,90.5,85.6,84.3
Pittsburgh,9-4,407,316,91.0,79.8,72.1,65.3,75.5,91.8,61.1,92.0,90.8,88.6,83.8,91.1,75.9
Purdue,8-6,372,383,72.2,71.0,63.5,64.9,70.1,81.1,58.4,68.5,63.4,61.0,73.2,65.2,72.4
Rice,5-8,328,444,68.9,66.6,60.7,46.5,74.4,85.0,46.0,68.3,68.2,58.3,74.1,62.6,66.2
Rutgers,4-8,209,351,72.3,61.5,45.1,50.8,61.4,81.9,55.5,82.3,71.8,77.5,82.1,81.3,67.2
San Diego State,7-6,279,267,76.0,61.5,52.6,65.3,64.8,80.6,49.0,86.6,75.7,55.0,85.8,85.8,78.3
San Jose State,7-5,329,264,79.0,73.1,74.4,58.1,73.0,85.4,51.4,81.8,78.8,63.0,79.6,74.2,73.6
SMU,7-6,484,440,79.5,82.6,79.5,82.7,77.5,75.4,69.5,63.7,59.7,49.0,64.3,66.8,77.8
South Alabama,10-3,406,277,83.1,75.3,76.9,59.1,76.5,84.0,54.0,83.3,78.7,72.7,82.5,79.7,80.4
South Carolina,8-5,418,375,73.9,69.9,65.8,69.6,70.3,82.2,50.5,67.9,57.9,64.8,82.7,63.5,87.3
Southern Miss,7-6,329,306,74.6,62.3,54.1,28.8,72.4,83.4,47.7,84.9,91.1,68.3,73.7,72.8,66.2
Stanford,3-9,256,386,68.8,71.4,75.8,50.4,64.9,72.9,69.0,55.4,39.0,58.7,74.1,64.8,72.2
Syracuse,7-6,360,300,82.6,77.0,75.3,68.4,74.4,86.6,60.7,79.7,69.0,82.8,71.7,88.6,76.9
TCU,13-2,582,435,84.5,82.8,78.5,73.5,74.9,89.4,66.7,77.7,77.5,76.6,61.8,78.8,68.8
Temple,3-9,263,351,71.0,63.6,62.2,57.6,73.8,62.9,46.9,79.1,70.1,60.0,70.9,83.5,67.7
Tennessee,11-2,599,296,82.2,82.0,87.3,57.1,77.1,91.1,59.0,71.7,78.5,66.2,68.6,64.2,74.4
Texas,8-5,448,281,90.1,81.9,71.2,73.2,75.7,96.1,59.1,88.7,91.9,71.3,81.9,76.4,83.8
Texas A&M,5-7,273,254,73.5,68.8,53.1,49.4,67.4,88.3,67.2,69.8,57.8,64.4,71.6,79.2,80.0
Texas State,4-8,253,316,84.9,67.9,58.7,74.6,65.1,76.9,58.4,93.1,93.5,65.2,91.0,85.4,70.6
Texas Tech,8-5,445,379,75.6,69.2,62.5,61.4,70.4,86.6,49.2,76.7,80.2,68.8,76.9,61.5,77.7
Toledo,9-5,438,351,84.4,70.6,70.3,45.4,74.4,79.0,57.9,92.8,92.2,76.9,84.0,91.0,58.1
Troy,12-2,358,240,90.7,82.2,83.4,53.2,83.0,88.0,61.5,90.7,83.4,55.9,89.1,88.1,75.9
Tulane,12-2,504,311,88.1,81.7,76.2,75.7,75.4,91.3,59.7,83.6,77.3,66.2,71.8,84.7,87.2
Tulsa,5-7,367,397,75.2,71.1,74.9,54.3,69.7,82.5,55.1,74.4,70.9,53.1,63.7,77.3,70.2
UAB,7-6,391,301,90.7,82.2,62.2,75.0,78.2,93.2,66.4,91.3,86.8,80.2,75.3,91.3,68.2
UCF,9-5,460,331,85.1,83.2,77.9,85.3,70.0,84.3,73.1,76.8,76.2,60.6,69.4,73.4,76.7
UCLA,9-4,510,377,90.4,89.0,66.6,71.8,79.6,94.0,85.1,81.1,71.6,67.7,82.4,80.4,84.1
UNLV,5-7,316,342,78.8,71.3,65.5,67.3,66.1,82.1,61.7,80.1,79.6,66.9,71.0,73.9,75.8
USC,11-3,579,409,90.7,92.4,89.9,82.4,81.8,92.6,78.5,78.4,72.5,61.1,72.2,76.9,56.7
USF,1-11,336,494,69.6,74.5,69.8,71.5,66.6,88.0,57.5,53.2,56.0,55.8,58.9,47.8,80.4
Utah,10-4,541,300,88.8,84.5,72.9,59.7,75.1,95.7,68.0,83.2,74.8,65.8,72.1,84.1,82.1
Utah State,6-7,289,405,68.4,63.8,55.3,68.7,62.2,76.9,54.5,67.8,65.0,63.4,79.4,63.6,75.1
UTEP,5-7,293,324,83.2,79.8,67.3,80.3,69.0,81.0,78.0,72.7,73.3,44.3,86.0,52.5,82.5
UTSA,11-3,515,363,86.4,79.5,81.0,56.5,82.7,88.4,51.1,86.0,89.2,51.4,80.2,76.3,69.3
Vanderbilt,5-7,295,432,63.0,62.7,52.1,56.6,65.0,82.2,48.6,59.1,60.9,49.4,56.4,59.7,71.9
Virginia,3-7,170,240,67.4,58.1,56.2,34.6,57.1,75.2,59.7,78.4,68.9,78.0,68.3,88.1,66.0
Virginia Tech,3-8,212,272,71.8,60.2,64.9,62.2,56.0,72.3,52.4,82.4,80.8,77.4,81.5,70.8,74.5
Wake Forest,8-5,469,368,92.2,88.4,90.0,70.6,89.9,78.7,65.3,91.8,92.5,72.5,91.4,78.6,73.1
Washington,11-2,516,336,86.0,88.7,87.8,84.8,77.5,83.5,79.2,68.9,63.4,57.7,81.1,61.9,76.2
Washington State,7-6,339,298,72.6,63.5,57.9,60.9,62.3,80.9,52.9,77.5,72.8,85.4,65.9,79.6,81.1
West Virginia,5-7,367,395,75.8,76.2,67.7,72.8,68.9,84.1,69.6,70.1,81.7,77.8,69.9,51.7,64.8
Western Kentucky,9-5,510,328,81.5,79.1,77.6,83.3,76.5,82.3,57.8,76.4,72.6,57.2,73.1,77.9,79.3
Western Michigan,5-7,228,289,76.5,63.4,52.2,57.4,61.5,72.1,62.2,90.2,88.3,68.3,89.0,78.1,71.5
Wisconsin,7-6,342,263,88.1,79.4,73.3,77.1,70.4,82.7,70.1,89.1,80.8,65.7,81.2,86.2,80.0
Wyoming,7-6,276,311,74.2,68.7,42.9,74.3,55.3,84.7,70.1,72.8,66.8,41.8,63.6,76.0,78.3
