rank,team,conference,anchor_blend,implied_off,anchor_off,implied_def,anchor_def,residual,k_x_resid_clipped,class,st_term,recenter_shift,final,band,L_count,new_HC,capped
78,South Florida,American Athletic,-0.87,24.22,28.46,29.46,29.14,-6.97,-2.44,+0.00,-0.04,+0.57,-2.78,7.39,3,Y,
79,Texas State,Pac-12,-5.31,27.82,32.10,29.36,37.50,+5.94,+2.08,+0.00,-0.16,+0.57,-2.82,6.18,1,,
80,James Madison,Sun Belt,-0.49,25.52,25.80,24.98,25.90,-9.44,-3.30,+0.00,+0.08,+0.57,-3.14,6.98,1,Y,
81,UTSA,American Athletic,-2.04,28.07,29.23,32.96,31.47,-5.07,-1.77,+0.00,+0.04,+0.57,-3.20,6.72,4,,
82,Washington State,Pac-12,-1.95,21.34,21.57,30.00,23.43,-4.73,-1.65,+0.00,-0.36,+0.57,-3.39,7.91,2,Y,
83,New Mexico,Mountain West,-3.99,17.66,23.55,31.58,28.15,-0.29,-0.10,+0.00,-0.64,+0.57,-4.16,6.00,0,,
84,Utah State,Pac-12,-6.57,22.00,24.27,28.35,30.33,+1.79,+0.63,+0.00,-0.24,+0.57,-5.61,6.18,1,,
85,Old Dominion,Sun Belt,-4.03,25.09,21.09,24.73,24.41,-6.40,-2.24,+0.00,-0.16,+0.57,-5.86,6.00,0,,
86,Air Force,Mountain West,-5.48,18.14,23.76,34.49,29.24,-1.84,-0.64,+0.00,-0.76,+0.57,-6.31,6.18,1,,
87,Oregon State,Pac-12,-7.68,20.12,20.21,26.43,27.19,+2.75,+0.96,+0.00,-0.24,+0.57,-6.38,7.19,2,Y,
88,Hawai'i,Mountain West,-5.72,16.94,24.39,34.41,30.71,-2.11,-0.74,+0.00,-0.76,+0.57,-6.65,6.72,4,,
89,North Dakota State,Mountain West,-3.78,14.15,23.21,34.88,26.99,-7.93,-2.78,+0.00,-0.72,+0.57,-6.70,7.19,3,,
90,Tulsa,American Athletic,-10.94,25.47,21.83,24.90,33.37,+9.69,+3.39,+0.00,-0.10,+0.57,-7.08,6.18,1,,
91,North Texas,American Athletic,-6.61,24.25,26.20,31.55,32.60,-3.31,-1.16,+0.00,+0.10,+0.57,-7.10,8.35,4,Y,
92,Miami (OH),Mid-American,-6.47,18.97,17.71,30.83,24.69,-3.61,-1.26,+0.00,-0.20,+0.57,-7.36,6.18,1,,
93,UConn,FBS Independents,-10.95,26.36,20.43,25.40,31.97,+8.25,+2.89,+0.00,-0.12,+0.57,-7.61,7.39,3,Y,
94,Western Kentucky,Conference USA,-6.47,26.63,24.61,25.28,31.59,-4.90,-1.72,+0.00,-0.04,+0.57,-7.65,6.36,2,,
95,Western Michigan,Mid-American,-6.70,21.57,19.25,32.40,25.55,-3.26,-1.14,+0.00,-0.44,+0.57,-7.71,6.18,1,,
96,Troy,Sun Belt,-7.48,24.86,22.86,25.61,30.54,-3.16,-1.11,+0.00,-0.04,+0.57,-8.05,6.00,0,,
97,Marshall,Sun Belt,-7.69,25.53,27.85,26.79,35.85,-3.34,-1.17,+0.00,-0.28,+0.57,-8.57,6.00,0,,
98,Louisiana,Sun Belt,-10.00,25.72,24.75,24.64,34.35,+0.60,+0.21,+0.00,-0.04,+0.57,-9.26,6.00,0,,
99,Toledo,Mid-American,-4.89,15.06,20.00,34.26,24.60,-13.33,-4.67,+0.00,-0.52,+0.57,-9.50,7.91,2,Y,
100,Arkansas State,Sun Belt,-11.17,27.15,22.37,26.52,33.63,+1.81,+0.63,+0.00,+0.12,+0.57,-9.84,6.18,1,,
101,Florida Atlantic,American Athletic,-11.31,25.68,25.10,32.78,37.00,+2.38,+0.83,+0.00,+0.00,+0.57,-9.90,6.36,2,,
102,Louisiana Tech,Sun Belt,-9.76,24.88,21.57,26.11,31.33,-1.55,-0.54,+0.00,-0.20,+0.57,-9.93,6.00,0,,
103,Jacksonville State,Conference USA,-9.83,26.25,23.73,25.26,33.07,-2.91,-1.02,+0.00,-0.04,+0.57,-10.31,6.00,0,,
104,Liberty,Conference USA,-8.79,25.07,24.30,26.43,32.90,-5.99,-2.10,+0.00,-0.24,+0.57,-10.55,6.54,3,,
105,Georgia Southern,Sun Belt,-10.89,24.91,22.21,26.54,33.09,-0.83,-0.29,+0.00,-0.16,+0.57,-10.77,6.00,0,,
106,Temple,American Athletic,-10.85,24.46,24.12,34.74,35.38,-1.44,-0.50,+0.00,-0.10,+0.57,-10.88,6.72,4,,
107,App State,Sun Belt,-11.85,24.73,21.33,26.43,33.47,+0.36,+0.13,+0.00,-0.12,+0.57,-11.27,6.36,2,,
108,South Alabama,Sun Belt,-12.02,26.19,23.34,26.82,34.76,+0.71,+0.25,+0.00,-0.16,+0.57,-11.36,6.00,0,,
109,Wyoming,Mountain West,-11.35,15.20,15.13,34.87,25.87,+0.10,+0.04,+0.00,-0.68,+0.57,-11.42,6.54,3,,
110,Colorado State,Pac-12,-11.66,17.54,17.12,32.04,28.68,-0.86,-0.30,+0.00,-0.60,+0.57,-11.99,7.39,3,Y,
111,Ohio,Mid-American,-9.57,15.52,15.32,32.82,24.18,-7.17,-2.51,+0.00,-0.52,+0.57,-12.03,6.98,1,Y,
112,Central Michigan,Mid-American,-13.30,20.44,16.95,32.61,30.05,+2.20,+0.77,+0.00,-0.48,+0.57,-12.44,6.18,1,,
113,Nevada,Mountain West,-14.46,14.57,16.27,32.89,31.13,+5.57,+1.95,+0.00,-0.68,+0.57,-12.62,6.54,3,,
114,Coastal Carolina,Sun Belt,-13.82,23.94,21.09,25.10,34.41,+2.08,+0.73,+0.00,-0.12,+0.57,-12.64,7.19,2,Y,
115,Delaware,Conference USA,-13.86,27.37,22.27,25.54,35.83,+2.15,+0.75,+0.00,-0.16,+0.57,-12.69,6.60,0,,
116,Kennesaw State,Conference USA,-12.24,24.26,19.83,26.07,31.57,-3.30,-1.16,+0.00,-0.16,+0.57,-12.98,6.36,2,,
117,Bowling Green,Mid-American,-14.84,18.40,14.03,29.61,29.07,+5.10,+1.79,+0.00,-0.64,+0.57,-13.12,6.18,1,,
118,Rice,American Athletic,-15.91,24.34,16.39,32.93,32.81,+5.41,+1.89,+0.00,+0.04,+0.57,-13.40,6.54,3,,
119,San José State,Mountain West,-14.31,14.76,19.19,35.15,33.01,+2.46,+0.86,+0.00,-0.56,+0.57,-13.43,6.36,2,,
120,Buffalo,Mid-American,-14.12,15.36,14.59,31.52,29.21,-0.27,-0.10,+0.00,-0.56,+0.57,-14.20,6.36,2,,
121,Florida International,Conference USA,-15.51,24.97,20.60,25.56,35.90,+1.48,+0.52,+0.00,-0.12,+0.57,-14.54,6.00,0,,
122,UAB,American Athletic,-17.36,25.35,20.67,34.46,37.53,+5.34,+1.87,+0.00,+0.10,+0.57,-14.82,7.39,3,Y,
123,Southern Miss,Sun Belt,-16.70,24.02,19.70,26.27,35.90,+3.87,+1.35,+0.00,-0.16,+0.57,-14.93,8.13,3,Y,
124,Eastern Michigan,Mid-American,-16.31,18.21,17.14,32.67,33.46,+3.13,+1.10,+0.00,-0.52,+0.57,-15.16,6.00,0,,
125,Missouri State,Conference USA,-16.15,24.41,17.98,26.43,33.62,+0.39,+0.14,+0.00,-0.12,+0.57,-15.56,7.19,2,Y,
126,Northern Illinois,Mountain West,-17.17,13.75,14.32,36.16,31.28,+3.58,+1.25,+0.00,-0.64,+0.57,-15.98,7.39,3,Y,
127,Georgia State,Sun Belt,-19.95,24.86,19.57,27.16,38.83,+6.88,+2.41,+0.00,-0.20,+0.57,-17.17,6.00,0,,
128,New Mexico State,Conference USA,-18.14,22.99,16.13,26.63,34.27,+1.27,+0.44,+0.00,-0.08,+0.57,-17.20,6.72,4,,
129,UTEP,Mountain West,-20.13,13.08,14.89,35.79,34.51,+5.94,+2.08,+0.00,-0.72,+0.57,-18.20,6.72,4,,
130,Akron,Mid-American,-19.97,17.18,12.77,34.48,32.13,+3.33,+1.17,+0.00,-0.52,+0.57,-18.75,6.36,2,,
131,Middle Tennessee,Conference USA,-21.10,24.51,16.15,27.34,37.45,+5.24,+1.83,+0.00,-0.20,+0.57,-18.89,6.54,3,,
132,UL Monroe,Sun Belt,-22.41,23.78,15.24,27.00,36.96,+8.42,+2.95,+0.00,-0.20,+0.57,-19.09,6.18,1,,
133,Kent State,Mid-American,-21.69,15.82,15.11,33.45,36.29,+4.83,+1.69,+0.00,-0.48,+0.57,-19.91,6.00,0,,
134,Sacramento State,Mid-American,-20.03,13.91,16.44,36.27,36.56,-0.96,-0.34,+0.00,-0.56,+0.57,-20.35,7.59,4,Y,
135,Charlotte,American Athletic,-23.00,21.28,15.10,33.96,37.60,+7.40,+2.59,+0.00,-0.56,+0.57,-20.39,7.59,6,,
136,Sam Houston,Conference USA,-23.69,23.74,15.41,27.21,38.69,+6.57,+2.30,+0.00,-0.16,+0.57,-20.98,6.36,2,,
137,Ball State,Mid-American,-22.37,13.05,13.62,36.25,35.28,-0.27,-0.10,+0.00,-0.80,+0.57,-22.69,6.36,2,,
138,Massachusetts,Mid-American,-30.22,13.99,9.94,34.79,39.76,+10.29,+3.60,+0.00,-0.60,+0.57,-26.64,6.80,1,,
