rank,team,conference,anchor_blend,implied_off,anchor_off,implied_def,anchor_def,residual,k_x_resid_clipped,class,st_term,recenter_shift,final,band,L_count,new_HC,capped
21,Florida,SEC,13.02,28.27,29.26,23.26,16.84,+0.18,+0.06,-0.00,+0.12,+0.55,13.75,7.19,2,Y,
22,Iowa,Big Ten,13.83,29.89,30.42,20.12,17.18,-3.25,-1.14,-0.00,+0.20,+0.55,13.44,6.72,4,,
23,Utah,Big 12,13.22,32.47,33.66,23.95,20.44,-2.43,-0.85,-0.00,+0.24,+0.55,13.16,7.46,0,Y,
24,Auburn,SEC,11.65,29.38,28.62,23.31,17.28,+2.33,+0.81,-0.00,+0.12,+0.55,13.14,6.78,0,Y,
25,South Carolina,SEC,11.37,27.76,29.53,22.86,18.77,+1.73,+0.61,-0.00,-0.04,+0.55,12.49,6.18,1,,
26,Vanderbilt,SEC,9.79,27.81,33.29,22.94,24.21,+3.38,+1.18,-0.00,+0.20,+0.55,11.73,6.18,1,,
27,Louisville,ACC,11.91,30.06,31.06,21.89,19.24,-1.79,-0.63,-0.00,-0.12,+0.55,11.72,6.36,2,,
28,SMU,ACC,11.91,30.70,32.41,23.30,20.19,-2.97,-1.04,-0.00,+0.00,+0.55,11.42,6.00,0,,
29,Clemson,ACC,12.36,27.53,29.28,22.15,17.22,-4.83,-1.69,-0.00,+0.12,+0.55,11.34,6.36,2,,
30,Arizona,Big 12,9.15,34.47,30.98,24.64,21.32,+2.43,+0.85,-0.00,-0.16,+0.55,10.39,6.00,0,,
31,Kansas State,Big 12,9.88,28.95,32.84,24.64,23.26,-3.02,-1.06,-0.00,+0.10,+0.55,9.48,6.78,0,Y,
32,TCU,Big 12,9.34,27.32,31.42,22.68,21.78,-2.75,-0.96,-0.00,+0.10,+0.55,9.03,6.00,0,,
33,Houston,Big 12,7.47,29.54,30.93,21.94,23.17,+2.10,+0.74,-0.00,-0.16,+0.55,8.60,6.00,0,,
34,Kentucky,SEC,5.61,27.40,25.90,22.91,20.30,+6.48,+2.27,-0.00,-0.04,+0.55,8.39,6.98,1,Y,
35,Nebraska,Big Ten,7.45,28.90,29.07,22.35,21.63,-0.68,-0.24,-0.00,+0.24,+0.55,8.00,6.00,0,,
36,Pittsburgh,ACC,7.14,28.57,30.52,22.69,23.48,+0.70,+0.25,-0.00,-0.08,+0.55,7.86,6.18,1,,
37,Mississippi State,SEC,4.66,28.00,30.48,24.21,26.32,+7.21,+2.52,-0.00,+0.08,+0.55,7.82,6.18,1,,
38,Virginia,ACC,6.99,29.01,26.50,23.65,19.70,+0.42,+0.15,-0.00,+0.08,+0.55,7.77,6.36,2,,
39,Virginia Tech,ACC,7.05,28.14,29.92,22.80,22.68,-0.03,-0.01,-0.00,+0.00,+0.55,7.59,7.91,2,Y,
40,Florida State,ACC,8.30,27.95,29.45,24.94,20.85,-3.73,-1.30,-0.00,-0.12,+0.55,7.43,6.54,3,,
41,Minnesota,Big Ten,4.69,29.74,25.04,19.87,19.76,+4.81,+1.68,-0.00,+0.12,+0.55,7.05,6.00,0,,
42,Wisconsin,Big Ten,5.42,30.16,22.41,21.57,16.69,+3.08,+1.08,-0.00,-0.04,+0.55,7.01,6.00,0,,
43,Illinois,Big Ten,9.03,25.81,31.37,23.87,22.83,-6.38,-2.23,-0.00,-0.40,+0.55,6.95,6.18,1,,
44,UCLA,Big Ten,3.91,29.99,28.40,20.72,24.50,+5.58,+1.95,-0.00,+0.12,+0.55,6.54,6.78,0,Y,
45,Arkansas,SEC,4.83,25.16,34.01,24.72,29.39,+3.41,+1.19,-0.00,-0.12,+0.55,6.46,6.98,1,Y,
46,Georgia Tech,ACC,5.58,28.77,28.59,25.82,23.61,-0.16,-0.06,-0.00,+0.24,+0.55,6.32,6.54,3,,
47,Arizona State,Big 12,6.93,25.73,28.46,24.12,20.94,-3.66,-1.28,-0.00,-0.20,+0.55,6.00,6.00,0,,
48,Oklahoma State,Big 12,3.89,30.50,28.40,25.01,25.00,+4.36,+1.53,-0.00,-0.10,+0.55,5.87,7.46,0,Y,
49,Northwestern,Big Ten,3.52,29.10,23.96,21.24,20.94,+5.05,+1.77,-0.00,-0.20,+0.55,5.64,6.00,0,,
50,Duke,ACC,4.31,29.32,32.11,25.87,28.19,+1.40,+0.49,-0.00,+0.00,+0.55,5.35,6.54,3,,
51,NC State,ACC,5.38,28.49,30.94,26.26,25.06,-1.79,-0.63,-0.00,-0.04,+0.55,5.27,6.54,3,,
52,Baylor,Big 12,4.70,26.10,32.30,24.46,28.20,-0.21,-0.07,-0.00,+0.04,+0.55,5.22,6.18,1,,
53,Wake Forest,ACC,3.35,27.00,24.07,22.82,20.83,+2.80,+0.98,-0.00,+0.08,+0.55,4.96,6.36,2,,
54,Maryland,Big Ten,2.62,26.30,25.51,20.60,23.29,+3.69,+1.29,-0.00,-0.28,+0.55,4.18,6.00,0,,
55,Kansas,Big 12,4.02,25.51,29.16,25.04,25.74,-0.69,-0.24,-0.00,-0.20,+0.55,4.13,6.00,0,,
56,UCF,Big 12,2.42,26.50,24.56,23.20,22.04,+3.04,+1.06,-0.00,-0.10,+0.55,3.94,6.00,0,,
57,Cincinnati,Big 12,3.57,27.98,29.14,27.96,25.86,-1.00,-0.35,-0.00,+0.04,+0.55,3.81,6.18,1,,
58,Rutgers,Big Ten,1.06,31.59,30.03,25.19,29.07,+5.66,+1.98,-0.00,-0.12,+0.55,3.47,6.00,0,,
59,Boise State,Pac-12,5.40,21.86,29.20,24.98,23.50,-6.80,-2.38,+0.00,-0.12,+0.55,3.45,6.18,1,,
60,North Carolina,ACC,1.87,26.75,23.53,24.19,22.07,+2.97,+1.04,-0.00,-0.08,+0.55,3.38,6.36,2,,
61,California,ACC,2.15,27.82,28.43,25.77,25.97,+1.46,+0.51,-0.00,-0.16,+0.55,3.05,7.39,3,Y,
62,Colorado,Big 12,0.44,25.98,26.07,23.64,25.13,+3.65,+1.28,-0.00,-0.16,+0.55,2.11,6.00,0,,
63,West Virginia,Big 12,1.23,26.46,26.51,26.80,25.39,+0.80,+0.28,-0.00,-0.16,+0.55,1.90,6.00,0,,
64,Iowa State,Big 12,0.99,24.58,22.89,26.18,22.41,+0.17,+0.06,-0.00,+0.04,+0.55,1.64,8.13,3,Y,
65,Michigan State,Big Ten,0.75,27.05,26.87,25.67,25.73,+0.45,+0.16,-0.00,-0.48,+0.55,0.98,6.78,0,Y,
66,Memphis,American Athletic,-0.72,23.91,28.49,20.91,29.81,+1.89,+0.66,+0.00,+0.00,+0.55,0.49,7.59,4,Y,
67,Purdue,Big Ten,-2.28,25.25,24.11,23.67,27.09,+4.77,+1.67,-0.00,+0.08,+0.55,0.02,6.00,0,,
68,Tulane,American Athletic,0.47,26.52,25.19,27.87,25.31,-3.66,-1.28,+0.00,+0.04,+0.55,-0.22,7.39,3,Y,
69,San Diego State,Pac-12,-0.82,24.53,23.34,27.25,24.76,+0.71,+0.25,+0.00,-0.28,+0.55,-0.30,6.18,1,,
70,East Carolina,American Athletic,-1.16,25.20,24.62,23.26,25.58,+0.47,+0.16,+0.00,+0.04,+0.55,-0.40,6.36,2,,
71,Stanford,ACC,-3.17,26.37,22.06,24.85,24.64,+5.96,+2.09,-0.00,+0.04,+0.55,-0.49,7.39,3,Y,
72,Boston College,ACC,-3.26,25.52,24.52,25.99,28.28,+5.15,+1.80,-0.00,+0.04,+0.55,-0.87,6.54,3,,
73,Syracuse,ACC,-1.88,23.83,23.31,26.51,25.59,+1.47,+0.51,-0.00,-0.20,+0.55,-1.01,6.36,2,,
74,Fresno State,Pac-12,-2.08,22.94,20.71,25.96,22.79,+1.08,+0.38,+0.00,-0.04,+0.55,-1.19,6.18,1,,
75,UNLV,Mountain West,0.36,19.58,29.98,33.70,29.62,-5.46,-1.91,+0.00,-0.60,+0.55,-1.60,6.36,2,,
76,Navy,American Athletic,0.27,24.81,27.39,31.57,27.31,-9.27,-3.24,+0.00,+0.10,+0.55,-2.32,6.18,1,,
77,Army,American Athletic,-2.64,29.42,24.68,32.37,27.42,-2.64,-0.92,+0.00,+0.30,+0.55,-2.71,6.36,2,,
78,South Florida,American Athletic,-0.87,24.22,28.46,29.44,29.14,-6.97,-2.44,+0.00,-0.04,+0.55,-2.80,7.39,3,Y,
79,Texas State,Pac-12,-5.31,27.82,32.10,29.36,37.50,+5.89,+2.06,+0.00,-0.16,+0.55,-2.86,6.18,1,,
80,James Madison,Sun Belt,-0.49,25.51,25.80,24.98,25.90,-9.44,-3.30,+0.00,+0.08,+0.55,-3.16,6.98,1,Y,
81,UTSA,American Athletic,-2.04,28.07,29.23,32.99,31.47,-5.11,-1.79,+0.00,+0.04,+0.55,-3.24,6.72,4,,
82,Washington State,Pac-12,-1.95,21.32,21.57,29.98,23.43,-4.78,-1.67,+0.00,-0.36,+0.55,-3.43,7.91,2,Y,
83,New Mexico,Mountain West,-3.99,17.66,23.55,31.67,28.15,-0.40,-0.14,+0.00,-0.64,+0.55,-4.22,6.00,0,,
84,Utah State,Pac-12,-6.57,22.29,24.27,28.35,30.33,+2.02,+0.71,+0.00,-0.24,+0.55,-5.55,6.00,0,,
85,Old Dominion,Sun Belt,-4.03,25.08,21.09,24.75,24.41,-6.41,-2.24,+0.00,-0.16,+0.55,-5.88,6.00,0,,
86,Air Force,Mountain West,-5.48,18.14,23.76,34.50,29.24,-1.86,-0.65,+0.00,-0.76,+0.55,-6.34,6.18,1,,
87,Oregon State,Pac-12,-7.68,20.23,20.21,26.45,27.19,+2.78,+0.97,+0.00,-0.24,+0.55,-6.39,7.19,2,Y,
88,Hawai'i,Mountain West,-5.72,16.95,24.39,34.36,30.71,-2.08,-0.73,+0.00,-0.76,+0.55,-6.65,6.72,4,,
89,North Dakota State,Mountain West,-3.78,14.13,23.21,34.86,26.99,-7.92,-2.77,+0.00,-0.72,+0.55,-6.72,7.19,3,,
90,Tulsa,American Athletic,-10.94,25.47,21.83,24.84,33.37,+9.73,+3.41,+0.00,-0.10,+0.55,-7.08,6.18,1,,
91,UConn,FBS Independents,-10.95,26.36,20.43,25.43,31.97,+9.65,+3.38,+0.00,-0.12,+0.55,-7.14,7.39,3,Y,
92,North Texas,American Athletic,-6.61,24.24,26.20,31.63,32.60,-3.41,-1.20,+0.00,+0.10,+0.55,-7.15,8.35,4,Y,
93,Miami (OH),Mid-American,-6.47,18.97,17.71,30.88,24.69,-3.67,-1.29,+0.00,-0.20,+0.55,-7.40,6.18,1,,
94,Western Kentucky,Conference USA,-6.47,26.63,24.61,25.24,31.59,-4.86,-1.70,+0.00,-0.04,+0.55,-7.66,6.36,2,,
95,Western Michigan,Mid-American,-6.70,21.58,19.25,32.36,25.55,-3.22,-1.13,+0.00,-0.44,+0.55,-7.71,6.18,1,,
96,Troy,Sun Belt,-7.48,24.85,22.86,25.60,30.54,-3.14,-1.10,+0.00,-0.04,+0.55,-8.07,6.00,0,,
97,Marshall,Sun Belt,-7.69,25.53,27.85,26.80,35.85,-3.34,-1.17,+0.00,-0.28,+0.55,-8.59,6.00,0,,
98,Louisiana,Sun Belt,-10.00,25.72,24.75,24.61,34.35,+0.64,+0.22,+0.00,-0.04,+0.55,-9.26,6.00,0,,
99,Toledo,Mid-American,-4.89,15.05,20.00,34.24,24.60,-13.32,-4.66,+0.00,-0.52,+0.55,-9.52,7.91,2,Y,
100,Arkansas State,Sun Belt,-11.17,27.15,22.37,26.53,33.63,+1.81,+0.63,+0.00,+0.12,+0.55,-9.86,6.18,1,,
101,Florida Atlantic,American Athletic,-11.31,25.68,25.10,32.74,37.00,+2.40,+0.84,+0.00,+0.00,+0.55,-9.92,6.36,2,,
102,Louisiana Tech,Sun Belt,-9.76,24.88,21.57,26.13,31.33,-1.56,-0.55,+0.00,-0.20,+0.55,-9.96,6.00,0,,
103,Jacksonville State,Conference USA,-9.83,26.25,23.73,25.29,33.07,-2.94,-1.03,+0.00,-0.04,+0.55,-10.35,6.00,0,,
104,Liberty,Conference USA,-8.79,25.07,24.30,26.45,32.90,-6.02,-2.11,+0.00,-0.24,+0.55,-10.58,6.54,3,,
105,Georgia Southern,Sun Belt,-10.89,24.91,22.21,26.53,33.09,-0.81,-0.28,+0.00,-0.16,+0.55,-10.78,6.00,0,,
106,Temple,American Athletic,-10.85,24.44,24.12,34.77,35.38,-1.50,-0.53,+0.00,-0.10,+0.55,-10.92,6.72,4,,
107,App State,Sun Belt,-11.85,24.72,21.33,26.50,33.47,+0.30,+0.10,+0.00,-0.12,+0.55,-11.31,6.36,2,,
108,South Alabama,Sun Belt,-12.02,26.19,23.34,26.84,34.76,+0.71,+0.25,+0.00,-0.16,+0.55,-11.38,6.00,0,,
109,Wyoming,Mountain West,-11.35,15.19,15.13,34.85,25.87,+0.10,+0.04,+0.00,-0.68,+0.55,-11.44,6.54,3,,
110,Colorado State,Pac-12,-11.66,17.53,17.12,32.03,28.68,-0.91,-0.32,+0.00,-0.60,+0.55,-12.03,7.39,3,Y,
111,Ohio,Mid-American,-9.57,15.51,15.32,32.91,24.18,-7.28,-2.55,+0.00,-0.52,+0.55,-12.09,6.98,1,Y,
112,Central Michigan,Mid-American,-13.30,20.44,16.95,32.55,30.05,+2.25,+0.79,+0.00,-0.48,+0.55,-12.44,6.18,1,,
113,Nevada,Mountain West,-14.46,14.56,16.27,32.82,31.13,+5.62,+1.97,+0.00,-0.68,+0.55,-12.62,6.54,3,,
114,Coastal Carolina,Sun Belt,-13.82,23.93,21.09,25.12,34.41,+2.06,+0.72,+0.00,-0.12,+0.55,-12.67,7.19,2,Y,
115,Delaware,Conference USA,-13.86,27.37,22.27,25.56,35.83,+2.13,+0.75,+0.00,-0.16,+0.55,-12.72,6.60,0,,
116,Kennesaw State,Conference USA,-12.24,24.26,19.83,26.09,31.57,-3.33,-1.17,+0.00,-0.16,+0.55,-13.01,6.36,2,,
117,Bowling Green,Mid-American,-14.84,18.40,14.03,29.59,29.07,+5.11,+1.79,+0.00,-0.64,+0.55,-13.14,6.18,1,,
118,Rice,American Athletic,-15.91,24.33,16.39,32.88,32.81,+5.44,+1.90,+0.00,+0.04,+0.55,-13.41,6.54,3,,
119,San José State,Mountain West,-14.31,14.75,19.19,35.12,33.01,+2.47,+0.86,+0.00,-0.56,+0.55,-13.45,6.36,2,,
120,Buffalo,Mid-American,-14.12,15.35,14.59,31.45,29.21,-0.22,-0.08,+0.00,-0.56,+0.55,-14.20,6.36,2,,
121,Florida International,Conference USA,-15.51,24.96,20.60,25.56,35.90,+1.47,+0.51,+0.00,-0.12,+0.55,-14.56,6.00,0,,
122,UAB,American Athletic,-17.36,25.34,20.67,34.48,37.53,+5.29,+1.85,+0.00,+0.10,+0.55,-14.86,7.39,3,Y,
123,Southern Miss,Sun Belt,-16.70,24.02,19.70,26.26,35.90,+3.89,+1.36,+0.00,-0.16,+0.55,-14.95,8.13,3,Y,
124,Eastern Michigan,Mid-American,-16.31,18.21,17.14,32.63,33.46,+3.16,+1.11,+0.00,-0.52,+0.55,-15.17,6.00,0,,
125,Missouri State,Conference USA,-16.15,24.40,17.98,26.45,33.62,+0.36,+0.13,+0.00,-0.12,+0.55,-15.59,7.19,2,Y,
126,Northern Illinois,Mountain West,-17.17,13.74,14.32,36.13,31.28,+3.59,+1.26,+0.00,-0.64,+0.55,-16.00,7.39,3,Y,
127,New Mexico State,Conference USA,-18.14,22.98,16.13,26.48,34.27,+1.40,+0.49,+0.00,-0.08,+0.55,-17.18,6.54,3,,
128,Georgia State,Sun Belt,-19.95,24.86,19.57,27.15,38.83,+6.90,+2.41,+0.00,-0.20,+0.55,-17.18,6.00,0,,
129,UTEP,Mountain West,-20.13,13.07,14.89,35.78,34.51,+5.93,+2.08,+0.00,-0.72,+0.55,-18.22,6.72,4,,
130,Akron,Mid-American,-19.97,17.18,12.77,34.44,32.13,+3.36,+1.18,+0.00,-0.52,+0.55,-18.76,6.36,2,,
131,Middle Tennessee,Conference USA,-21.10,24.51,16.15,27.37,37.45,+5.21,+1.82,+0.00,-0.20,+0.55,-18.93,6.54,3,,
132,UL Monroe,Sun Belt,-22.41,23.78,15.24,27.02,36.96,+8.41,+2.94,+0.00,-0.20,+0.55,-19.12,6.18,1,,
133,Kent State,Mid-American,-21.69,15.82,15.11,33.39,36.29,+4.86,+1.70,+0.00,-0.48,+0.55,-19.92,6.00,0,,
134,Sacramento State,Mid-American,-20.03,13.91,16.44,36.27,36.56,-0.99,-0.35,+0.00,-0.56,+0.55,-20.38,7.59,4,Y,
135,Charlotte,American Athletic,-23.00,21.27,15.10,34.01,37.60,+7.33,+2.57,+0.00,-0.56,+0.55,-20.44,7.59,6,,
136,Sam Houston,Conference USA,-23.69,23.73,15.41,27.19,38.69,+6.58,+2.30,+0.00,-0.16,+0.55,-21.00,6.36,2,,
137,Ball State,Mid-American,-22.37,13.04,13.62,36.22,35.28,-0.26,-0.09,+0.00,-0.80,+0.55,-22.71,6.36,2,,
138,Massachusetts,Mid-American,-30.22,13.99,9.94,34.86,39.76,+10.21,+3.57,+0.00,-0.60,+0.55,-26.69,6.80,1,,
