rank,team,conference,power_rating,band_±,grade_sum,new_HC
55,Kansas,Big 12,4.16,6.00,363,
56,UCF,Big 12,3.96,6.00,389,
57,Cincinnati,Big 12,3.87,6.18,390,
58,Rutgers,Big Ten,3.51,6.00,424,
59,Boise State,Pac-12,3.47,6.18,286,
60,North Carolina,ACC,3.38,6.36,376,
61,California,ACC,3.06,7.39,372,Y
62,Colorado,Big 12,2.13,6.00,383,
63,West Virginia,Big 12,1.92,6.00,350,
64,Iowa State,Big 12,1.66,8.13,340,Y
65,Michigan State,Big Ten,1.02,6.78,352,Y
66,Memphis,American Athletic,0.48,7.59,371,Y
67,Purdue,Big Ten,0.04,6.00,372,
68,Tulane,American Athletic,-0.21,7.39,336,Y
69,San Diego State,Pac-12,-0.25,6.18,324,
70,East Carolina,American Athletic,-0.43,6.36,356,
71,Stanford,ACC,-0.46,7.39,382,Y
72,Boston College,ACC,-0.85,6.54,360,
73,Syracuse,ACC,-1.01,6.36,316,
74,Fresno State,Pac-12,-1.15,6.18,330,
75,UNLV,Mountain West,-1.58,6.36,176,
76,Navy,American Athletic,-2.27,6.18,316,
77,Army,American Athletic,-2.71,6.36,351,
78,South Florida,American Athletic,-2.78,7.39,309,Y
79,Texas State,Pac-12,-2.82,6.18,342,
80,James Madison,Sun Belt,-3.14,6.98,374,Y
81,UTSA,American Athletic,-3.20,6.72,314,
82,Washington State,Pac-12,-3.39,7.91,262,Y
83,New Mexico,Mountain West,-4.16,6.00,206,
84,Utah State,Pac-12,-5.61,6.18,288,
85,Old Dominion,Sun Belt,-5.86,6.00,356,
86,Air Force,Mountain West,-6.31,6.18,158,
87,Oregon State,Pac-12,-6.38,7.19,282,Y
88,Hawai'i,Mountain West,-6.65,6.72,138,
89,North Dakota State,Mountain West,-6.70,7.19,120,
90,Tulsa,American Athletic,-7.08,6.18,341,
91,North Texas,American Athletic,-7.10,8.35,305,Y
92,Miami (OH),Mid-American,-7.36,6.18,242,
93,UConn,FBS Independents,-7.61,7.39,372,Y
94,Western Kentucky,Conference USA,-7.65,6.36,366,
95,Western Michigan,Mid-American,-7.71,6.18,220,
96,Troy,Sun Belt,-8.05,6.00,350,
97,Marshall,Sun Belt,-8.57,6.00,340,
98,Louisiana,Sun Belt,-9.26,6.00,368,
99,Toledo,Mid-American,-9.50,7.91,142,Y
100,Arkansas State,Sun Belt,-9.84,6.18,382,
101,Florida Atlantic,American Athletic,-9.90,6.36,291,
102,Louisiana Tech,Sun Belt,-9.93,6.00,346,
103,Jacksonville State,Conference USA,-10.31,6.00,374,
104,Liberty,Conference USA,-10.55,6.54,342,
105,Georgia Southern,Sun Belt,-10.77,6.00,338,
106,Temple,American Athletic,-10.88,6.72,287,
107,App State,Sun Belt,-11.27,6.36,346,
108,South Alabama,Sun Belt,-11.36,6.00,344,
109,Wyoming,Mountain West,-11.42,6.54,130,
110,Colorado State,Pac-12,-11.99,7.39,178,Y
111,Ohio,Mid-American,-12.03,6.98,174,Y
112,Central Michigan,Mid-American,-12.44,6.18,208,
113,Nevada,Mountain West,-12.62,6.54,138,
114,Coastal Carolina,Sun Belt,-12.64,7.19,346,Y
115,Delaware,Conference USA,-12.69,6.60,376,
116,Kennesaw State,Conference USA,-12.98,6.36,340,
117,Bowling Green,Mid-American,-13.12,6.18,202,
118,Rice,American Athletic,-13.40,6.54,270,
119,San José State,Mountain West,-13.43,6.36,130,
120,Buffalo,Mid-American,-14.20,6.36,166,
121,Florida International,Conference USA,-14.54,6.00,352,
122,UAB,American Athletic,-14.82,7.39,284,Y
123,Southern Miss,Sun Belt,-14.93,8.13,334,Y
124,Eastern Michigan,Mid-American,-15.16,6.00,192,
125,Missouri State,Conference USA,-15.56,7.19,340,Y
126,Northern Illinois,Mountain West,-15.98,7.39,108,Y
127,Georgia State,Sun Belt,-17.17,6.00,328,
128,New Mexico State,Conference USA,-17.20,6.72,322,
129,UTEP,Mountain West,-18.20,6.72,100,
130,Akron,Mid-American,-18.75,6.36,162,
131,Middle Tennessee,Conference USA,-18.89,6.54,324,
132,UL Monroe,Sun Belt,-19.09,6.18,324,
133,Kent State,Mid-American,-19.91,6.00,160,
134,Sacramento State,Mid-American,-20.35,7.59,110,Y
135,Charlotte,American Athletic,-20.39,7.59,221,
136,Sam Houston,Conference USA,-20.98,6.36,316,
137,Ball State,Mid-American,-22.69,6.36,90,
138,Massachusetts,Mid-American,-26.64,6.80,136,
