source,team_raw,norm_key,overall_rating,rank,scale,captured_date
SP+ (ESPN ref),California,california,3.7,56,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Kansas,kansas,3.7,57,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Wake Forest,wakeforest,3.6,58,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),UNLV,unlv,2.8,59,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),UCF,ucf,2.3,60,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Wisconsin,wisconsin,1.8,61,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Rutgers,rutgers,1.8,62,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Navy,navy,1.1,63,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Iowa State,iowastate,1.0,64,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Colorado,colorado,0.9,65,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),West Virginia,westvirginia,0.8,66,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Michigan State,michiganstate,0.4,67,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),New Mexico,newmexico,-0.5,68,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Syracuse,syracuse,-0.7,69,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Memphis,memphis,-1.1,70,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),San Diego State,sandiegostate,-1.3,71,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),North Dakota State,northdakotastate,-1.4,72,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),UTSA,utsa,-1.5,73,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Boston College,bostoncollege,-1.5,74,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Stanford,stanford,-1.9,75,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),East Carolina,eastcarolina,-2.0,76,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),James Madison,jamesmadison,-2.1,77,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Fresno State,fresnostate,-2.3,78,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Air Force,airforce,-2.4,79,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),South Florida,southflorida,-2.8,80,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Miami (OH),miamioh,-2.9,81,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Purdue,purdue,-2.9,82,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Army,army,-3.0,83,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Hawaii,hawaii,-3.9,84,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Washington State,washingtonstate,-5.3,85,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Western Kentucky,westernkentucky,-5.3,86,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Tulane,tulane,-5.5,87,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Old Dominion,olddominion,-5.8,88,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Texas State,texasstate,-5.9,89,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Troy,troy,-6.0,90,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Oregon State,oregonstate,-6.3,91,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Marshall,marshall,-6.4,92,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Liberty,liberty,-6.4,93,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Florida Atlantic,floridaatlantic,-7.1,94,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Western Michigan,westernmichigan,-7.2,95,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Tulsa,tulsa,-7.6,96,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Utah State,utahstate,-7.7,97,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Jacksonville State,jacksonvillestate,-7.7,98,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Colorado State,coloradostate,-8.3,99,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Louisiana Tech,louisianatech,-8.3,100,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Arkansas State,arkansasstate,-8.5,101,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Temple,temple,-8.7,102,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Georgia Southern,georgiasouthern,-8.9,103,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Louisiana,louisiana,-9.1,104,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Kennesaw State,kennesawstate,-9.3,105,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Wyoming,wyoming,-9.6,106,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),UConn,connecticut,-11.2,107,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Toledo,toledo,-11.5,108,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),North Texas,northtexas,-11.8,109,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Buffalo,buffalo,-11.9,110,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Appalachian State,appalachianstate,-12.1,111,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Nevada,nevada,-12.2,112,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Central Michigan,centralmichigan,-12.4,113,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Delaware,delaware,-13.0,114,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Bowling Green,bowlinggreen,-13.3,115,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),South Alabama,southalabama,-13.3,116,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Ohio,ohio,-13.6,117,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),FIU,floridainternational,-13.7,118,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Coastal Carolina,coastalcarolina,-13.8,119,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Rice,rice,-14.7,120,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Eastern Michigan,easternmichigan,-15.0,121,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),San Jose State,sanjosestate,-15.5,122,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),New Mexico State,newmexicostate,-16.4,123,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),UAB,uab,-18.1,124,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Northern Illinois,northernillinois,-18.2,125,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Missouri State,missouristate,-18.7,126,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Akron,akron,-19.5,127,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Kent State,kentstate,-20.1,128,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),UTEP,utep,-20.5,129,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Sacramento State,sacramentostate,-22.7,130,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Southern Miss,southernmiss,-23.3,131,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),UL-Monroe,louisianamonroe,-24.3,132,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Georgia State,georgiastate,-25.1,133,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Ball State,ballstate,-25.2,134,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Middle Tennessee,middletennessee,-26.0,135,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Sam Houston,samhouston,-26.3,136,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),UMass,massachusetts,-30.9,137,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Charlotte,charlotte,-32.4,138,SP+ points vs avg,2026-07-12
FEI,Ohio State,ohiostate,1.52,1,FEI (pts/poss vs avg),2026-07-12
FEI,Oregon,oregon,1.40,2,FEI (pts/poss vs avg),2026-07-12
FEI,Georgia,georgia,1.34,3,FEI (pts/poss vs avg),2026-07-12
FEI,Notre Dame,notredame,1.29,4,FEI (pts/poss vs avg),2026-07-12
FEI,Indiana,indiana,1.14,5,FEI (pts/poss vs avg),2026-07-12
FEI,Alabama,alabama,1.07,6,FEI (pts/poss vs avg),2026-07-12
FEI,Utah,utah,.97,7,FEI (pts/poss vs avg),2026-07-12
FEI,Ole Miss,olemiss,.93,8,FEI (pts/poss vs avg),2026-07-12
FEI,Texas Tech,texastech,.89,9,FEI (pts/poss vs avg),2026-07-12
FEI,Michigan,michigan,.89,10,FEI (pts/poss vs avg),2026-07-12
FEI,Penn State,pennstate,.89,11,FEI (pts/poss vs avg),2026-07-12
FEI,Miami,miamifl,.88,12,FEI (pts/poss vs avg),2026-07-12
FEI,Texas,texas,.88,13,FEI (pts/poss vs avg),2026-07-12
FEI,Texas A&M,texasam,.85,14,FEI (pts/poss vs avg),2026-07-12
FEI,Oklahoma,oklahoma,.80,15,FEI (pts/poss vs avg),2026-07-12
FEI,Tennessee,tennessee,.80,16,FEI (pts/poss vs avg),2026-07-12
FEI,USC,usc,.79,17,FEI (pts/poss vs avg),2026-07-12
FEI,Washington,washington,.78,18,FEI (pts/poss vs avg),2026-07-12
FEI,Iowa,iowa,.74,19,FEI (pts/poss vs avg),2026-07-12
FEI,BYU,byu,.61,20,FEI (pts/poss vs avg),2026-07-12
FEI,Kansas State,kansasstate,.60,21,FEI (pts/poss vs avg),2026-07-12
FEI,Vanderbilt,vanderbilt,.59,22,FEI (pts/poss vs avg),2026-07-12
FEI,Missouri,missouri,.56,23,FEI (pts/poss vs avg),2026-07-12
FEI,LSU,lsu,.55,24,FEI (pts/poss vs avg),2026-07-12
FEI,Illinois,illinois,.52,25,FEI (pts/poss vs avg),2026-07-12
FEI,Auburn,auburn,.51,26,FEI (pts/poss vs avg),2026-07-12
FEI,Louisville,louisville,.50,27,FEI (pts/poss vs avg),2026-07-12
FEI,Florida State,floridastate,.47,28,FEI (pts/poss vs avg),2026-07-12
FEI,Clemson,clemson,.47,29,FEI (pts/poss vs avg),2026-07-12
FEI,SMU,smu,.44,30,FEI (pts/poss vs avg),2026-07-12
FEI,TCU,tcu,.43,31,FEI (pts/poss vs avg),2026-07-12
FEI,South Carolina,southcarolina,.43,32,FEI (pts/poss vs avg),2026-07-12
FEI,Iowa State,iowastate,.43,33,FEI (pts/poss vs avg),2026-07-12
FEI,Arizona,arizona,.38,34,FEI (pts/poss vs avg),2026-07-12
FEI,Florida,florida,.36,35,FEI (pts/poss vs avg),2026-07-12
FEI,Pittsburgh,pittsburgh,.33,36,FEI (pts/poss vs avg),2026-07-12
FEI,NC State,ncstate,.33,37,FEI (pts/poss vs avg),2026-07-12
FEI,James Madison,jamesmadison,.29,38,FEI (pts/poss vs avg),2026-07-12
FEI,Arkansas,arkansas,.28,39,FEI (pts/poss vs avg),2026-07-12
FEI,Kansas,kansas,.28,40,FEI (pts/poss vs avg),2026-07-12
FEI,Wisconsin,wisconsin,.27,41,FEI (pts/poss vs avg),2026-07-12
FEI,Kentucky,kentucky,.27,42,FEI (pts/poss vs avg),2026-07-12
FEI,Arizona State,arizonastate,.26,43,FEI (pts/poss vs avg),2026-07-12
FEI,Nebraska,nebraska,.25,44,FEI (pts/poss vs avg),2026-07-12
FEI,Cincinnati,cincinnati,.24,45,FEI (pts/poss vs avg),2026-07-12
FEI,Washington State,washingtonstate,.23,46,FEI (pts/poss vs avg),2026-07-12
FEI,Virginia,virginia,.22,47,FEI (pts/poss vs avg),2026-07-12
FEI,Mississippi State,mississippistate,.22,48,FEI (pts/poss vs avg),2026-07-12
FEI,Baylor,baylor,.20,49,FEI (pts/poss vs avg),2026-07-12
FEI,Georgia Tech,georgiatech,.20,50,FEI (pts/poss vs avg),2026-07-12
FEI,Minnesota,minnesota,.20,51,FEI (pts/poss vs avg),2026-07-12
FEI,Wake Forest,wakeforest,.19,52,FEI (pts/poss vs avg),2026-07-12
FEI,Boise State,boisestate,.19,53,FEI (pts/poss vs avg),2026-07-12
FEI,Duke,duke,.17,54,FEI (pts/poss vs avg),2026-07-12
FEI,Tulane,tulane,.14,55,FEI (pts/poss vs avg),2026-07-12
FEI,Houston,houston,.13,56,FEI (pts/poss vs avg),2026-07-12
FEI,South Florida,southflorida,.10,57,FEI (pts/poss vs avg),2026-07-12
FEI,Northwestern,northwestern,.09,58,FEI (pts/poss vs avg),2026-07-12
FEI,Maryland,maryland,.08,59,FEI (pts/poss vs avg),2026-07-12
FEI,UCLA,ucla,.08,60,FEI (pts/poss vs avg),2026-07-12
FEI,Toledo,toledo,.07,61,FEI (pts/poss vs avg),2026-07-12
FEI,North Texas,northtexas,.07,62,FEI (pts/poss vs avg),2026-07-12
FEI,Memphis,memphis,.05,63,FEI (pts/poss vs avg),2026-07-12
FEI,UCF,ucf,.04,64,FEI (pts/poss vs avg),2026-07-12
FEI,East Carolina,eastcarolina,.04,65,FEI (pts/poss vs avg),2026-07-12
FEI,Navy,navy,.03,66,FEI (pts/poss vs avg),2026-07-12
FEI,Rutgers,rutgers,.01,67,FEI (pts/poss vs avg),2026-07-12
FEI,Michigan State,michiganstate,-.02,68,FEI (pts/poss vs avg),2026-07-12
FEI,Army,army,-.02,69,FEI (pts/poss vs avg),2026-07-12
FEI,UTSA,utsa,-.02,70,FEI (pts/poss vs avg),2026-07-12
FEI,Old Dominion,olddominion,-.03,71,FEI (pts/poss vs avg),2026-07-12
FEI,San Diego State,sandiegostate,-.06,72,FEI (pts/poss vs avg),2026-07-12
FEI,California,california,-.07,73,FEI (pts/poss vs avg),2026-07-12
FEI,West Virginia,westvirginia,-.07,74,FEI (pts/poss vs avg),2026-07-12
FEI,Virginia Tech,virginiatech,-.08,75,FEI (pts/poss vs avg),2026-07-12
FEI,Purdue,purdue,-.10,76,FEI (pts/poss vs avg),2026-07-12
FEI,UNLV,unlv,-.12,77,FEI (pts/poss vs avg),2026-07-12
FEI,Fresno State,fresnostate,-.14,78,FEI (pts/poss vs avg),2026-07-12
FEI,Colorado,colorado,-.15,79,FEI (pts/poss vs avg),2026-07-12
FEI,Boston College,bostoncollege,-.22,80,FEI (pts/poss vs avg),2026-07-12
FEI,North Carolina,northcarolina,-.23,81,FEI (pts/poss vs avg),2026-07-12
FEI,Air Force,airforce,-.23,82,FEI (pts/poss vs avg),2026-07-12
FEI,Stanford,stanford,-.24,83,FEI (pts/poss vs avg),2026-07-12
FEI,Oklahoma State,oklahomastate,-.25,84,FEI (pts/poss vs avg),2026-07-12
FEI,Western Michigan,westernmichigan,-.25,85,FEI (pts/poss vs avg),2026-07-12
FEI,Syracuse,syracuse,-.26,86,FEI (pts/poss vs avg),2026-07-12
FEI,Ohio,ohio,-.28,87,FEI (pts/poss vs avg),2026-07-12
FEI,Texas State,texasstate,-.28,88,FEI (pts/poss vs avg),2026-07-12
FEI,Utah State,utahstate,-.28,89,FEI (pts/poss vs avg),2026-07-12
FEI,Marshall,marshall,-.30,90,FEI (pts/poss vs avg),2026-07-12
FEI,Western Kentucky,westernkentucky,-.30,91,FEI (pts/poss vs avg),2026-07-12
FEI,Miami (OH),miamioh,-.32,92,FEI (pts/poss vs avg),2026-07-12
FEI,Troy,troy,-.36,93,FEI (pts/poss vs avg),2026-07-12
FEI,Hawaii,hawaii,-.37,94,FEI (pts/poss vs avg),2026-07-12
FEI,Oregon State,oregonstate,-.37,95,FEI (pts/poss vs avg),2026-07-12
FEI,New Mexico,newmexico,-.37,96,FEI (pts/poss vs avg),2026-07-12
FEI,Liberty,liberty,-.41,97,FEI (pts/poss vs avg),2026-07-12
FEI,Louisiana,louisiana,-.46,98,FEI (pts/poss vs avg),2026-07-12
FEI,Connecticut,connecticut,-.46,99,FEI (pts/poss vs avg),2026-07-12
FEI,Jacksonville State,jacksonvillestate,-.49,100,FEI (pts/poss vs avg),2026-07-12
FEI,Wyoming,wyoming,-.50,101,FEI (pts/poss vs avg),2026-07-12
FEI,Louisiana Tech,louisianatech,-.51,102,FEI (pts/poss vs avg),2026-07-12
FEI,Appalachian State,appalachianstate,-.52,103,FEI (pts/poss vs avg),2026-07-12
FEI,South Alabama,southalabama,-.52,104,FEI (pts/poss vs avg),2026-07-12
FEI,San Jose State,sanjosestate,-.53,105,FEI (pts/poss vs avg),2026-07-12
FEI,Coastal Carolina,coastalcarolina,-.58,106,FEI (pts/poss vs avg),2026-07-12
FEI,Georgia Southern,georgiasouthern,-.60,107,FEI (pts/poss vs avg),2026-07-12
FEI,Missouri State,missouristate,-.60,108,FEI (pts/poss vs avg),2026-07-12
FEI,Colorado State,coloradostate,-.61,109,FEI (pts/poss vs avg),2026-07-12
FEI,Kennesaw State,kennesawstate,-.61,110,FEI (pts/poss vs avg),2026-07-12
FEI,Central Michigan,centralmichigan,-.64,111,FEI (pts/poss vs avg),2026-07-12
FEI,Arkansas State,arkansasstate,-.64,112,FEI (pts/poss vs avg),2026-07-12
FEI,Temple,temple,-.64,113,FEI (pts/poss vs avg),2026-07-12
FEI,Florida Atlantic,floridaatlantic,-.65,114,FEI (pts/poss vs avg),2026-07-12
FEI,Tulsa,tulsa,-.66,115,FEI (pts/poss vs avg),2026-07-12
FEI,Northern Illinois,northernillinois,-.68,116,FEI (pts/poss vs avg),2026-07-12
FEI,Southern Miss,southernmiss,-.69,117,FEI (pts/poss vs avg),2026-07-12
FEI,UAB,uab,-.70,118,FEI (pts/poss vs avg),2026-07-12
FEI,Bowling Green,bowlinggreen,-.71,119,FEI (pts/poss vs avg),2026-07-12
FEI,Buffalo,buffalo,-.72,120,FEI (pts/poss vs avg),2026-07-12
FEI,Nevada,nevada,-.77,121,FEI (pts/poss vs avg),2026-07-12
FEI,Georgia State,georgiastate,-.79,122,FEI (pts/poss vs avg),2026-07-12
FEI,Eastern Michigan,easternmichigan,-.80,123,FEI (pts/poss vs avg),2026-07-12
FEI,Delaware,delaware,-.80,124,FEI (pts/poss vs avg),2026-07-12
FEI,Florida International,floridainternational,-.83,125,FEI (pts/poss vs avg),2026-07-12
FEI,Rice,rice,-.85,126,FEI (pts/poss vs avg),2026-07-12
FEI,Middle Tennessee,middletennessee,-.86,127,FEI (pts/poss vs avg),2026-07-12
FEI,UTEP,utep,-.89,128,FEI (pts/poss vs avg),2026-07-12
FEI,New Mexico State,newmexicostate,-.89,129,FEI (pts/poss vs avg),2026-07-12
FEI,Ball State,ballstate,-.95,130,FEI (pts/poss vs avg),2026-07-12
FEI,North Dakota State,northdakotastate,-1.00,131,FEI (pts/poss vs avg),2026-07-12
FEI,Sacramento State,sacramentostate,-1.00,132,FEI (pts/poss vs avg),2026-07-12
FEI,UL Monroe,louisianamonroe,-1.02,133,FEI (pts/poss vs avg),2026-07-12
FEI,Sam Houston,samhouston,-1.02,134,FEI (pts/poss vs avg),2026-07-12
FEI,Kent State,kentstate,-1.06,135,FEI (pts/poss vs avg),2026-07-12
FEI,Charlotte,charlotte,-1.06,136,FEI (pts/poss vs avg),2026-07-12
FEI,Akron,akron,-1.06,137,FEI (pts/poss vs avg),2026-07-12
FEI,Massachusetts,massachusetts,-1.54,138,FEI (pts/poss vs avg),2026-07-12
Massey (own model),Ohio St,ohiostate,9.30,1,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Indiana,indiana,9.18,2,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Notre Dame,notredame,9.02,3,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Oregon,oregon,9.00,4,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Georgia,georgia,8.89,5,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Mississippi,olemiss,8.74,6,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Alabama,alabama,8.74,7,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Penn St,pennstate,8.73,8,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Texas,texas,8.70,9,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Miami FL,miamifl,8.68,10,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Texas Tech,texastech,8.65,11,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Michigan,michigan,8.63,12,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Utah,utah,8.62,13,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),USC,usc,8.53,14,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Washington,washington,8.50,15,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Iowa,iowa,8.50,16,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Oklahoma,oklahoma,8.50,17,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Texas A&M,texasam,8.49,18,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Tennessee,tennessee,8.47,19,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),BYU,byu,8.34,20,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Missouri,missouri,8.30,21,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Louisville,louisville,8.30,22,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),LSU,lsu,8.29,23,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Iowa St,iowastate,8.26,24,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),SMU,smu,8.26,25,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Vanderbilt,vanderbilt,8.24,26,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Clemson,clemson,8.24,27,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),TCU,tcu,8.23,28,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
Massey (own model),Kansas St,kansasstate,8.21,29,Massey Rat (~5.9-9.3); Pwr/Off/Def in per-source csv,2026-07-12
