norm_key,sp_plus_espn,fei_bcftoys,massey,espn_fpi,teamrankings,pff_2025,cfbd_school
minnesota,Minnesota,Minnesota,Minnesota,Minnesota Golden Gophers,Minnesota,Minnesota,Minnesota
mississippistate,Mississippi State,Mississippi State,Mississippi St,Mississippi State Bulldogs,Mississippi St,Mississippi State,Mississippi State
missouri,Missouri,Missouri,Missouri,Missouri Tigers,Missouri,Missouri,Missouri
missouristate,Missouri State,Missouri State,Missouri St,Missouri State Bears,Missouri St,Missouri State,Missouri State
navy,Navy,Navy,Navy,Navy Midshipmen,Navy,Navy,Navy
ncstate,NC State,NC State,NC State,NC State Wolfpack,NC State,North Carolina State,NC State
nebraska,Nebraska,Nebraska,Nebraska,Nebraska Cornhuskers,Nebraska,Nebraska,Nebraska
nevada,Nevada,Nevada,Nevada,Nevada Wolf Pack,Nevada,Nevada,Nevada
newmexico,New Mexico,New Mexico,New Mexico,New Mexico Lobos,New Mexico,New Mexico,New Mexico
newmexicostate,New Mexico State,New Mexico State,New Mexico St,New Mexico State Aggies,New Mexico St,New Mexico State,New Mexico State
northcarolina,North Carolina,North Carolina,North Carolina,North Carolina Tar Heels,North Carolina,North Carolina,North Carolina
northdakotastate,North Dakota State,North Dakota State,N Dakota St,North Dakota State Bison,North Dakota State,,North Dakota State
northernillinois,Northern Illinois,Northern Illinois,N Illinois,Northern Illinois Huskies,N Illinois,Northern Illinois,Northern Illinois
northtexas,North Texas,North Texas,North Texas,North Texas Mean Green,N Texas,North Texas,North Texas
northwestern,Northwestern,Northwestern,Northwestern,Northwestern Wildcats,Northwestern,Northwestern,Northwestern
notredame,Notre Dame,Notre Dame,Notre Dame,Notre Dame Fighting Irish,Notre Dame,Notre Dame,Notre Dame
ohio,Ohio,Ohio,Ohio,Ohio Bobcats,Ohio,Ohio,Ohio
ohiostate,Ohio State,Ohio State,Ohio St,Ohio State Buckeyes,Ohio St,Ohio State,Ohio State
oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma Sooners,Oklahoma,Oklahoma,Oklahoma
oklahomastate,Oklahoma State,Oklahoma State,Oklahoma St,Oklahoma State Cowboys,Oklahoma St,Oklahoma State,Oklahoma State
olddominion,Old Dominion,Old Dominion,Old Dominion,Old Dominion Monarchs,Old Dominion,Old Dominion,Old Dominion
olemiss,Ole Miss,Ole Miss,Mississippi,Ole Miss Rebels,Mississippi,Mississippi,Ole Miss
oregon,Oregon,Oregon,Oregon,Oregon Ducks,Oregon,Oregon,Oregon
oregonstate,Oregon State,Oregon State,Oregon St,Oregon State Beavers,Oregon St,Oregon State,Oregon State
pennstate,Penn State,Penn State,Penn St,Penn State Nittany Lions,Penn St,Penn State,Penn State
pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh Panthers,Pittsburgh,Pittsburgh,Pittsburgh
purdue,Purdue,Purdue,Purdue,Purdue Boilermakers,Purdue,Purdue,Purdue
rice,Rice,Rice,Rice,Rice Owls,Rice,Rice,Rice
rutgers,Rutgers,Rutgers,Rutgers,Rutgers Scarlet Knights,Rutgers,Rutgers,Rutgers
sacramentostate,Sacramento State,Sacramento State,CS Sacramento,Sacramento State Hornets,Sacramento State,,Sacramento State
samhouston,Sam Houston,Sam Houston,Sam Houston St,Sam Houston Bearkats,Sam Houston,Sam Houston State,Sam Houston
sandiegostate,San Diego State,San Diego State,San Diego St,San Diego State Aztecs,San Diego St,San Diego State,San Diego State
sanjosestate,San Jose State,San Jose State,San Jose St,San José State Spartans,San Jose St,San Jose State,San José State
smu,SMU,SMU,SMU,SMU Mustangs,SMU,SMU,SMU
southalabama,South Alabama,South Alabama,South Alabama,South Alabama Jaguars,S Alabama,South Alabama,South Alabama
southcarolina,South Carolina,South Carolina,South Carolina,South Carolina Gamecocks,South Carolina,South Carolina,South Carolina
southernmiss,Southern Miss,Southern Miss,Southern Miss,Southern Miss Golden Eagles,Southern Miss,Southern Miss,Southern Miss
southflorida,South Florida,South Florida,South Florida,South Florida Bulls,S Florida,USF,South Florida
stanford,Stanford,Stanford,Stanford,Stanford Cardinal,Stanford,Stanford,Stanford
syracuse,Syracuse,Syracuse,Syracuse,Syracuse Orange,Syracuse,Syracuse,Syracuse
tcu,TCU,TCU,TCU,TCU Horned Frogs,TCU,TCU,TCU
temple,Temple,Temple,Temple,Temple Owls,Temple,Temple,Temple
tennessee,Tennessee,Tennessee,Tennessee,Tennessee Volunteers,Tennessee,Tennessee,Tennessee
texas,Texas,Texas,Texas,Texas Longhorns,Texas,Texas,Texas
texasam,Texas A&M,Texas A&M,Texas A&M,Texas A&M Aggies,Texas A&M,Texas A&M,Texas A&M
texasstate,Texas State,Texas State,Texas St,Texas State Bobcats,Texas St,Texas State,Texas State
texastech,Texas Tech,Texas Tech,Texas Tech,Texas Tech Red Raiders,Texas Tech,Texas Tech,Texas Tech
toledo,Toledo,Toledo,Toledo,Toledo Rockets,Toledo,Toledo,Toledo
troy,Troy,Troy,Troy,Troy Trojans,Troy,Troy,Troy
tulane,Tulane,Tulane,Tulane,Tulane Green Wave,Tulane,Tulane,Tulane
tulsa,Tulsa,Tulsa,Tulsa,Tulsa Golden Hurricane,Tulsa,Tulsa,Tulsa
uab,UAB,UAB,UAB,UAB Blazers,UAB,UAB,UAB
ucf,UCF,UCF,UCF,UCF Knights,UCF,UCF,UCF
ucla,UCLA,UCLA,UCLA,UCLA Bruins,UCLA,UCLA,UCLA
unlv,UNLV,UNLV,UNLV,UNLV Rebels,UNLV,UNLV,UNLV
usc,USC,USC,USC,USC Trojans,USC,USC,USC
utah,Utah,Utah,Utah,Utah Utes,Utah,Utah,Utah
utahstate,Utah State,Utah State,Utah St,Utah State Aggies,Utah St,Utah State,Utah State
utep,UTEP,UTEP,UTEP,UTEP Miners,UTEP,UTEP,UTEP
utsa,UTSA,UTSA,UT San Antonio,UTSA Roadrunners,UTSA,UTSA,UTSA
vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt Commodores,Vanderbilt,Vanderbilt,Vanderbilt
virginia,Virginia,Virginia,Virginia,Virginia Cavaliers,Virginia,Virginia,Virginia
virginiatech,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech Hokies,Virginia Tech,Virginia Tech,Virginia Tech
wakeforest,Wake Forest,Wake Forest,Wake Forest,Wake Forest Demon Deacons,Wake Forest,Wake Forest,Wake Forest
washington,Washington,Washington,Washington,Washington Huskies,Washington,Washington,Washington
washingtonstate,Washington State,Washington State,Washington St,Washington State Cougars,Washington St,Washington State,Washington State
westernkentucky,Western Kentucky,Western Kentucky,WKU,Western Kentucky Hilltoppers,W Kentucky,Western Kentucky,Western Kentucky
westernmichigan,Western Michigan,Western Michigan,W Michigan,Western Michigan Broncos,W Michigan,Western Michigan,Western Michigan
westvirginia,West Virginia,West Virginia,West Virginia,West Virginia Mountaineers,West Virginia,West Virginia,West Virginia
wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin Badgers,Wisconsin,Wisconsin,Wisconsin
wyoming,Wyoming,Wyoming,Wyoming,Wyoming Cowboys,Wyoming,Wyoming,Wyoming
