bucket,away,home,type,site,site_src,h_spread,total,sp_book,n_books,calibrated,market_matched,raw
Week 1,Wyoming,Colorado State,FBS at FBS,1,payload,-3.5,48.5,FanDuel,8,-4.17,-4.95,-4.6
Week 1,Tulane,Duke,FBS at FBS,1,payload,-10.0,52.5,Caesars,8,-5.64,-7.01,-6.4
Week 1,Florida Atlantic,Florida,FBS at FBS,1,payload,-26.5,58.5,Caesars,8,-20.59,-28.08,-24.72
Week 1,Tennessee State,Georgia,FCS at FBS,1,payload,-45.5,55.0,FanDuel,2,-64.36,-72.64,-68.92
Week 1,Charleston Southern,Georgia Southern,FCS at FBS,1,payload,-27.5,52.5,FanDuel,2,-36.95,-33.59,-35.1
Week 1,UNLV,Hawai’i,FBS at FBS,1,payload,1.0,58.5,Fanatics,8,2.23,4.08,3.25
Week 1,Oregon State,Houston,FBS at FBS,1,payload,-19.5,50.5,Caesars,8,-14.78,-19.88,-17.59
Week 1,North Texas,Indiana,FBS at FBS,1,payload,-40.5,55.5,Caesars,8,-27.88,-38.34,-33.64
Week 1,Northern Illinois,Iowa,FBS at FBS,1,payload,-30.5,45.5,BetMGM,8,-25.16,-34.51,-30.31
Week 1,Southeast Missouri State,Iowa State,FCS at FBS,1,payload,-31.0,52.5,Fanatics,2,-42.17,-42.17,-42.17
Week 1,Eastern Kentucky,Jacksonville State,FCS at FBS,1,payload,-21.0,54.5,Fanatics,2,-37.26,-34.85,-35.93
Week 1,Liberty,James Madison,FBS at FBS,1,payload,-6.5,52.5,FanDuel,8,-9.02,-11.77,-10.53
Week 1,Nicholls State,Kansas State,FCS at FBS,1.0,assumed-home,-42.5,54.5,FanDuel,2,,,
Week 1,Youngstown State,Kentucky,FCS at FBS,1,payload,-24.0,62.5,Fanatics,2,-35.16,-37.21,-36.29
Week 1,Clemson,LSU,FBS at FBS,1,payload,-9.5,50.5,bet365,8,-8.12,-10.5,-9.43
Week 1,Lamar,Louisiana,FCS at FBS,1,payload,-17.5,49.5,FanDuel,2,-27.31,-24.51,-25.77
Week 1,Northwestern State,Louisiana Tech,FCS at FBS,1,payload,-42.5,53.5,FanDuel,2,-39.87,-36.89,-38.23
Week 1,Hampton,Maryland,FCS at FBS,1,payload,-45.5,57.5,FanDuel,1,-48.88,-49.58,-49.26
Week 1,Arkansas State,Memphis,FBS at FBS,1,payload,-10.5,55.5,Caesars,8,-11.65,-15.47,-13.75
Week 1,Western Michigan,Michigan,FBS at FBS,1,payload,-26.5,46.5,FanDuel,8,-20.23,-27.57,-24.27
Week 1,Murray State,Middle Tennessee,FCS at FBS,1,payload,-24.5,60.5,FanDuel,2,-27.96,-21.73,-24.52
Week 1,UL Monroe,Mississippi State,FBS at FBS,1,payload,-29.5,55.5,Caesars,8,-22.59,-30.89,-27.16
Week 1,Towson,Navy,FCS at FBS,1,payload,-31.5,53.5,FanDuel,2,-40.65,-40.04,-40.32
Week 1,Ohio,Nebraska,FBS at FBS,1,payload,-24.0,47.5,Caesars,8,-15.46,-20.85,-18.43
Week 1,Western Kentucky,Nevada,FBS at FBS,1,payload,3.0,52.5,Caesars,8,2.15,3.98,3.16
Week 1,Central Michigan,New Mexico,FBS at FBS,1,payload,-12.5,49.5,Caesars,8,-9.04,-11.8,-10.56
Week 1,Mercyhurst,New Mexico State,FCS at FBS,1,payload,-26.5,51.5,FanDuel,2,-38.65,-33.12,-35.6
Week 1,Fordham,North Dakota State,FCS at FBS,1,payload,-38.5,57.5,FanDuel,2,-43.76,-44.42,-44.12
Week 1,South Dakota State,Northwestern,FCS at FBS,1,payload,-13.5,46.5,Fanatics,2,-25.26,-26.54,-25.97
Week 1,Ball State,Ohio State,FBS at FBS,1,payload,-50.5,56.5,FanDuel,8,-44.71,-62.06,-54.27
Week 1,Norfolk State,Old Dominion,FCS at FBS,1,payload,-40.5,53.5,FanDuel,2,-40.28,-38.7,-39.41
Week 1,Boise State,Oregon,FBS at FBS,1,payload,-24.5,51.5,Caesars,8,-21.98,-30.03,-26.41
Week 1,Marshall,Penn State,FBS at FBS,1,payload,-23.5,53.5,BetMGM,8,-21.09,-28.79,-25.33
Week 1,Miami (OH),Pittsburgh,FBS at FBS,1,payload,-16.5,50.5,DraftKings,8,-12.4,-16.54,-14.68
Week 1,Houston Christian,Rice,FCS at FBS,1,payload,-24.5,47.5,FanDuel,2,-37.55,-32.8,-34.93
Week 1,Mississippi Valley State,Sacramento State,FCS at FBS,1,payload,-35.5,55.5,FanDuel,2,-37.75,-31.03,-34.05
Week 1,Portland State,San Diego State,FCS at FBS,1,payload,-41.5,58.5,FanDuel,2,-43.06,-43.02,-43.04
Week 1,Southeastern Louisiana,South Alabama,FCS at FBS,1.0,assumed-home,-11.5,51.5,FanDuel,2,,,
Week 1,Kent State,South Carolina,FBS at FBS,1,payload,-34.5,52.5,BetMGM,8,-26.35,-36.19,-31.77
Week 1,Florida International,South Florida,FBS at FBS,1,payload,-12.5,55.5,BetMGM,8,-11.81,-15.7,-13.95
Week 1,Alcorn State,Southern Miss,FCS at FBS,1,payload,-22.5,52.5,FanDuel,2,-34.32,-29.48,-31.65
Week 1,New Hampshire,Syracuse,FCS at FBS,1,payload,-32.5,57.5,FanDuel,1,-39.68,-38.67,-39.12
Week 1,Rhode Island,Temple,FCS at FBS,1,payload,-10.5,52.5,FanDuel,2,-19.21,-15.55,-17.19
Week 1,Furman,Tennessee,FCS at FBS,1,payload,-48.5,66.5,FanDuel,2,-47.21,-52.15,-49.93
Week 1,Texas State,Texas,FBS at FBS,1,payload,-30.5,59.5,Caesars,8,-21.98,-30.03,-26.41
Week 1,Missouri State,Texas A&M,FBS at FBS,1,payload,-39.0,52.5,Fanatics,8,-28.61,-39.37,-34.53
Week 1,Abilene Christian,Texas Tech,FCS at FBS,1,payload,-42.5,58.5,FanDuel,2,-53.89,-61.15,-57.89
Week 1,Sam Houston,Troy,FBS at FBS,1,payload,-16.0,51.5,Caesars,8,-13.11,-17.53,-15.54
Week 1,Oklahoma State,Tulsa,FBS at FBS,1,payload,13.5,62.0,DraftKings,8,7.15,11.02,9.28
Week 1,Lafayette,UConn,FCS at FBS,1,payload,-17.5,56.5,FanDuel,2,-40.78,-38.58,-39.57
Week 1,UT Rio Grande Valley,UTSA,FCS at FBS,1,payload,-29.5,59.5,FanDuel,1,-40.99,-40.11,-40.51
Week 1,Idaho State,Utah State,FCS at FBS,1,payload,-16.5,61.5,FanDuel,2,-32.25,-30.25,-31.15
Week 1,Austin Peay,Vanderbilt,FCS at FBS,1,payload,-32.5,60.5,FanDuel,2,-41.03,-44.26,-42.81
Week 1,VMI,Virginia Tech,FCS at FBS,1,payload,-51.5,58.5,FanDuel,2,-53.87,-56.21,-55.16
Week 1,Coastal Carolina,West Virginia,FBS at FBS,1,payload,-21.0,57.5,BetMGM,8,-12.26,-16.33,-14.5
Week 1,Wisconsin,Notre Dame,FBS at FBS,0,payload,-20.5,47.5,DraftKings,8,-18.82,-26.53,-23.07
Week 1,Louisville,Ole Miss,FBS at FBS,0,payload,-6.5,55.5,Caesars,8,-5.92,-8.34,-7.25
Week 1,Washington State,Washington,FBS at FBS,1,payload,-21.5,50.5,Caesars,8,-16.52,-22.34,-19.73
Week 1,SMU,Florida State,FBS at FBS,1,payload,1.5,53.5,DraftKings,8,1.57,3.16,2.45
Game of the Year,Missouri,Kansas,FBS at FBS,1,payload,6.5,52.5,BetMGM,4,5.73,9.02,7.54
Game of the Year,Iowa State,Iowa,FBS at FBS,1,payload,-12.5,41.5,FanDuel,4,-12.32,-16.43,-14.59
Game of the Year,Oklahoma,Michigan,FBS at FBS,1,payload,-2.5,47.5,BetMGM,8,-1.79,-1.59,-1.68
Game of the Year,Oregon,Oklahoma State,FBS at FBS,1,payload,17.5,60.5,FanDuel,5,16.93,24.79,21.26
Game of the Year,Ohio State,Texas,FBS at FBS,1,payload,-1.5,47.5,Caesars,8,4.77,7.66,6.36
Game of the Year,Arizona State,Texas A&M,FBS at FBS,1,payload,-14.5,51.5,DraftKings,3,-12.73,-16.99,-15.07
Game of the Year,Arkansas,Utah,FBS at FBS,1,payload,-7.5,54.5,FanDuel,2,-9.59,-12.57,-11.23
Game of the Year,LSU,Ole Miss,nan,1,payload,-2.5,57.5,Unibet (Kambi),1,-3.05,-3.36,-3.22
Game of the Year,Georgia,Alabama,nan,1,payload,2.5,49.0,Unibet (Kambi),1,4.15,6.79,5.6
Game of the Year,Texas,Oklahoma,nan,0,payload,6.5,48.5,Unibet (Kambi),1,3.09,4.36,3.79
Game of the Year,Ohio State,Indiana,nan,1,payload,1.5,48.5,Unibet (Kambi),1,2.26,4.13,3.29
Game of the Year,Alabama,LSU,FBS at FBS,1,payload,-3.5,54.5,DraftKings,1,-3.31,-3.71,-3.53
Game of the Year,Miami (FL),Notre Dame,FBS at FBS,1,payload,-7.0,55.5,DraftKings,2,-7.36,-9.43,-8.5
Game of the Year,BYU,Utah,FBS at FBS,1,payload,-3.0,51.5,DraftKings,1,0.25,1.3,0.83
Game of the Year,USC,Indiana,FBS at FBS,1,payload,-10.0,58.5,DraftKings,1,-7.81,-10.07,-9.06
Game of the Year,Auburn,Alabama,nan,1,payload,-10.5,,Unibet (Kambi),1,-6.51,-8.24,-7.47
Game of the Year,Michigan,Ohio State,nan,1,payload,-13.5,45.5,Unibet (Kambi),1,-12.97,-17.33,-15.37
Game of the Year,Virginia,Virginia Tech,nan,1,payload,-2.5,,Unibet (Kambi),1,-2.04,-1.94,-1.99
