TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
Colorado,4-8,338,418,73.2,72.2,87.1,65.2,68.3,70.6,58.7,67.5,59.8,64.3,69.3,71.4,64.6
Colorado State,5-7,313,355,77.4,71.8,60.3,67.0,74.4,72.8,66.7,78.2,68.5,72.1,81.9,79.1,66.8
Connecticut,3-9,229,358,75.3,71.1,61.7,72.5,60.2,77.9,71.4,78.4,88.8,47.8,75.3,59.9,62.3
Duke,8-5,350,247,81.5,72.3,69.9,66.1,66.7,85.7,59.1,84.3,74.7,65.4,75.2,88.2,75.8
East Carolina,2-10,208,269,67.1,56.7,56.1,40.0,53.8,80.2,51.2,78.7,83.2,83.9,67.5,70.5,70.5
Eastern Michigan,6-7,254,347,75.3,63.9,44.5,63.0,59.3,75.5,67.7,82.9,84.5,72.7,74.1,76.4,80.4
Florida,5-7,341,331,83.4,79.4,71.1,66.0,78.3,84.3,69.8,77.1,77.8,59.6,73.6,67.7,68.9
Florida Atlantic,4-8,285,306,78.0,70.7,74.6,69.5,65.1,76.5,58.0,79.9,76.5,79.1,68.0,79.7,71.6
Florida International,4-8,241,382,69.4,63.6,58.0,54.2,69.1,75.7,48.6,74.0,68.1,62.3,68.9,78.4,71.3
Florida State,13-1,484,270,91.6,84.0,80.5,83.2,72.6,88.8,70.8,91.1,80.6,77.2,90.3,90.5,77.8
Fresno State,9-4,396,305,81.2,78.0,79.4,71.4,74.9,81.3,58.1,75.1,62.8,63.3,71.5,82.6,72.2
Georgia,13-1,562,219,94.0,93.3,90.7,80.7,86.4,92.2,73.6,91.2,87.3,92.6,76.7,90.9,87.2
Georgia Southern,6-7,392,396,78.8,72.8,70.6,73.8,69.3,84.3,54.7,77.7,76.2,73.4,67.6,77.6,76.3
Georgia State,7-6,354,391,72.0,71.0,68.2,79.5,65.5,80.6,56.4,69.3,79.1,65.0,70.9,53.2,70.0
Georgia Tech,7-6,404,383,80.5,77.2,70.6,65.1,70.2,91.4,60.4,75.8,63.6,73.7,71.3,86.1,73.7
Hawaii,5-8,278,419,72.6,72.8,75.9,74.1,68.1,77.3,51.2,68.0,72.4,50.9,66.7,61.8,65.9
Houston,4-8,284,378,74.8,73.2,70.0,71.5,70.3,78.2,60.9,70.4,71.0,62.8,65.0,67.9,67.8
Illinois,5-7,294,353,79.6,73.5,72.9,52.9,74.4,74.4,64.3,79.3,82.8,78.9,72.8,69.3,86.9
Indiana,3-9,266,359,74.3,70.3,65.9,57.4,71.0,72.7,60.6,73.2,83.9,71.1,60.8,63.6,71.4
Iowa,10-4,216,207,82.8,56.7,40.1,58.9,51.2,70.9,59.6,93.4,93.6,90.8,77.2,92.5,89.1
Iowa State,7-6,341,296,82.7,72.5,78.5,45.2,78.5,82.2,45.3,85.6,86.9,66.1,62.2,87.3,78.4
Jacksonville State,9-4,392,275,80.6,73.9,55.6,74.9,58.1,85.8,70.4,85.4,84.8,68.9,79.1,80.1,63.2
James Madison,11-2,443,253,89.9,77.6,79.0,58.7,81.4,77.0,60.2,91.2,88.3,66.4,86.1,88.9,82.8
Kansas,9-4,452,345,90.8,89.6,80.2,77.3,89.0,88.2,69.9,81.4,73.2,66.7,69.8,88.1,85.7
Kansas State,9-4,482,273,86.4,84.0,70.2,73.1,77.2,92.0,70.9,79.2,69.5,55.6,66.4,84.7,73.1
Kent State,1-11,176,415,64.5,62.8,64.8,48.6,70.5,71.5,43.9,62.0,62.8,58.5,60.9,59.8,70.0
Kentucky,7-6,378,336,85.0,75.3,69.6,66.3,71.6,91.9,56.4,86.7,83.7,74.0,74.5,85.6,74.5
Liberty,13-1,536,340,90.1,87.9,79.7,59.0,81.3,94.3,67.7,82.2,74.7,76.5,71.8,85.5,78.4
Louisiana,6-7,418,372,84.5,81.9,72.4,75.5,74.7,86.3,71.5,77.6,67.1,66.1,76.2,82.8,77.9
Louisiana Tech,3-9,311,401,73.8,70.9,73.3,63.3,68.7,78.9,55.4,69.8,56.4,70.3,67.9,84.0,72.1
Louisiana-Monroe,2-10,208,419,67.0,61.6,52.0,65.4,61.2,76.9,50.1,69.4,72.3,74.7,74.5,58.6,72.8
Louisville,10-4,430,298,85.6,78.6,74.7,73.9,69.9,92.2,58.0,88.9,84.0,73.3,83.5,80.6,69.9
LSU,10-3,592,364,92.2,94.1,92.0,80.7,84.6,96.1,74.6,81.5,79.3,82.5,80.0,73.7,69.3
Marshall,6-7,296,373,81.2,65.9,59.2,72.4,61.4,76.5,59.2,91.4,91.1,74.6,84.3,88.5,82.2
Maryland,8-5,386,292,80.7,75.5,73.5,68.9,72.6,83.3,59.5,80.3,68.9,77.2,71.7,89.2,73.7
Massachusetts,3-9,278,454,63.8,70.2,58.3,63.7,68.1,85.8,58.3,55.5,55.6,60.0,66.4,57.1,46.1
Memphis,10-3,512,374,84.7,84.2,81.5,78.1,78.5,81.5,69.8,75.4,71.7,44.4,72.4,70.9,69.2
Miami (FL),7-6,409,296,92.0,87.2,79.7,80.0,81.6,90.3,68.3,90.0,88.5,73.0,82.7,82.8,70.3
Miami (OH),11-3,359,223,87.8,75.2,73.8,60.0,62.7,79.4,71.4,88.3,83.7,72.6,79.6,86.4,91.0
Michigan,15-0,538,156,95.0,90.9,85.8,70.3,86.5,87.7,73.6,95.0,93.0,91.2,91.2,92.7,79.8
Michigan State,4-8,191,340,68.7,62.6,47.1,54.9,66.8,74.9,59.5,69.9,77.2,68.7,72.9,53.9,73.2
Middle Tennessee,4-8,291,337,68.4,63.1,70.6,68.3,60.0,79.1,42.2,72.2,68.9,64.5,71.6,72.0,77.7
Minnesota,6-7,272,347,80.3,75.6,59.0,65.3,62.7,88.6,68.0,76.4,64.5,60.0,79.6,76.3,70.1
Mississippi,11-2,456,293,89.1,85.1,90.1,60.1,82.8,92.9,58.3,79.9,72.7,75.9,77.6,78.6,85.3
Mississippi State,5-7,262,319,78.6,71.4,67.0,70.5,64.9,84.8,59.8,78.7,73.7,77.1,63.3,83.3,80.3
Missouri,11-2,423,271,90.4,87.3,80.6,73.7,81.6,86.6,76.2,82.3,73.6,69.0,79.3,82.4,73.5
Navy,5-7,212,269,73.4,64.6,49.9,35.3,56.4,73.8,71.3,79.5,76.5,65.4,70.3,75.1,75.8
Nebraska,5-7,216,219,75.1,62.6,42.4,64.3,58.6,73.4,64.5,84.7,78.9,83.6,69.7,87.3,86.1
Nevada,2-10,208,401,60.5,58.2,47.6,49.4,57.6,76.4,56.9,59.2,57.2,49.4,59.3,61.4,71.3
New Mexico,4-8,327,421,69.4,81.8,66.3,74.5,75.1,91.2,73.3,45.9,40.5,39.9,59.4,57.8,53.3
New Mexico State,10-5,412,342,77.9,76.0,73.9,56.0,69.9,92.4,56.5,72.2,68.0,58.1,73.2,70.5,68.7
North Carolina,8-5,449,355,85.6,80.4,88.9,72.1,72.2,91.0,55.5,83.1,77.0,72.8,77.3,86.3,64.8
North Carolina State,9-4,341,270,77.7,66.2,66.5,65.0,59.6,80.1,57.6,84.0,90.7,86.2,69.3,73.9,75.2
North Texas,5-7,414,445,81.6,80.0,85.4,57.5,72.1,88.0,65.7,70.5,63.4,62.4,70.4,71.4,82.3
Northern Illinois,7-6,324,273,77.5,72.6,64.3,74.0,64.5,81.4,63.3,79.5,75.4,71.9,69.6,78.5,64.8
Northwestern,8-5,287,293,77.5,66.7,64.6,58.4,66.2,73.5,57.4,85.9,84.4,75.7,65.0,87.5,72.7
Notre Dame,10-3,509,207,94.6,91.1,80.8,75.7,88.4,92.0,69.4,93.6,91.9,75.9,89.3,91.9,90.6
Ohio,10-3,316,206,84.5,79.6,74.9,81.2,70.0,80.9,70.4,86.7,82.7,64.6,84.0,78.8,47.0
Ohio State,11-2,397,146,92.7,84.9,74.9,65.7,85.7,90.5,65.5,92.9,91.0,90.5,87.4,91.5,84.1
Oklahoma,10-3,542,305,89.0,84.5,89.7,71.6,85.2,88.6,55.7,84.7,84.7,70.3,74.3,79.9,80.6
Oklahoma State,10-4,414,400,81.6,78.2,72.7,73.8,76.3,89.8,55.2,75.4,72.0,67.3,74.1,70.7,83.0
Old Dominion,6-7,310,353,73.1,60.8,61.5,49.1,58.3,84.2,46.7,85.8,91.7,88.9,61.6,81.8,69.5
Oregon,12-2,619,231,93.8,94.6,92.3,91.4,89.5,96.0,69.2,90.4,85.3,90.6,76.7,89.8,79.3
Oregon State,8-5,414,298,90.4,87.9,74.5,59.0,84.8,90.7,78.0,80.0,78.6,35.7,67.6,80.3,75.2
Penn State,10-3,471,175,93.0,82.4,78.5,66.9,68.5,90.9,72.5,93.4,92.1,77.1,91.5,89.5,86.5
Pittsburgh,3-9,242,328,70.8,62.4,52.2,59.2,70.4,82.5,42.8,77.0,77.0,66.1,65.2,76.6,72.3
Purdue,4-8,287,365,71.1,68.8,67.7,62.2,62.9,83.0,56.5,70.0,73.9,74.2,74.7,53.6,75.3
Rice,6-7,384,365,75.9,69.9,58.5,48.5,76.5,81.3,56.8,78.5,70.2,71.4,69.8,84.1,70.9
Rutgers,7-6,302,276,83.2,75.6,62.1,56.1,68.9,89.8,64.1,85.4,76.3,90.6,74.5,88.0,66.4
Sam Houston State,3-9,240,314,73.9,63.2,69.2,59.8,69.5,65.0,45.0,87.4,74.3,84.0,67.5,91.0,60.1
San Diego State,4-8,246,321,68.1,69.4,58.0,74.0,63.5,82.0,59.5,58.2,49.2,45.7,59.8,68.1,75.5
San Jose State,7-6,414,333,81.3,80.5,79.6,70.2,68.2,92.0,66.2,72.7,55.1,61.0,73.6,87.8,78.4
SMU,11-3,542,249,92.7,88.1,90.7,79.0,78.8,77.8,75.5,92.0,86.5,73.6,91.1,90.1,75.4
South Alabama,7-6,430,273,85.9,79.1,64.9,55.9,80.3,93.4,63.0,86.7,86.6,61.2,73.0,80.3,71.2
South Carolina,5-7,312,316,75.4,70.2,74.0,56.6,74.5,78.2,49.9,75.7,71.9,79.6,76.6,70.1,70.4
Southern Miss,3-9,278,429,69.0,63.3,52.3,53.7,62.6,86.3,50.6,72.7,79.8,52.7,74.7,53.4,68.5
Stanford,3-9,247,452,63.2,63.6,58.1,50.1,68.2,75.3,52.3,55.9,54.5,68.0,60.8,55.5,71.7
Syracuse,6-7,306,330,75.6,64.5,51.1,65.5,64.8,81.3,54.0,85.0,83.5,80.4,68.1,87.4,71.1
TCU,5-7,376,334,83.1,79.3,74.2,68.3,81.1,89.1,54.1,78.5,81.9,68.3,65.3,73.7,74.3
Temple,3-9,253,428,62.0,62.0,59.1,47.1,65.3,76.0,49.4,61.8,54.1,72.2,66.5,68.7,59.2
Tennessee,9-4,413,264,85.4,75.9,72.5,64.7,69.8,91.4,58.1,86.6,75.0,74.1,87.7,88.3,84.2
Texas,12-2,501,265,92.4,86.3,80.2,86.8,83.0,91.1,63.3,90.9,92.0,67.5,84.3,80.8,89.2
Texas A&M,7-6,433,287,90.7,81.0,81.2,59.0,82.0,80.1,65.8,90.3,89.8,63.8,80.7,83.8,79.8
Texas State,8-5,477,427,84.0,77.4,76.1,63.9,76.2,86.6,55.1,82.1,73.7,56.9,88.3,83.8,75.4
Texas Tech,7-6,356,338,83.4,76.4,57.6,81.4,67.9,91.7,65.6,81.1,74.9,85.9,72.1,83.2,79.2
Toledo,11-3,452,284,90.0,77.7,79.6,72.3,75.8,86.1,53.4,91.8,90.3,86.2,90.0,90.7,78.4
Troy,11-3,415,240,91.7,83.8,84.3,62.3,85.2,92.5,51.0,92.2,92.6,79.2,85.8,89.0,72.4
Tulane,11-3,369,287,86.2,77.5,70.1,59.7,76.8,82.2,65.7,87.6,81.9,60.2,79.0,84.5,70.4
Tulsa,4-8,281,406,75.3,77.1,64.3,70.4,73.9,84.5,64.1,67.3,60.3,47.6,84.1,55.4,53.3
UAB,4-8,359,443,76.8,76.2,65.4,71.1,72.1,91.6,60.6,74.3,66.6,70.2,79.5,71.1,58.3
UCF,6-7,407,335,85.1,84.4,79.1,79.7,78.0,92.4,61.5,76.9,71.3,65.6,69.5,80.4,68.3
UCLA,8-5,344,239,88.3,73.9,61.1,53.9,68.0,89.7,69.1,92.9,90.3,69.4,91.5,91.1,76.1
UNLV,9-5,482,400,78.4,75.8,61.4,71.6,81.4,83.1,58.9,71.5,71.7,71.8,78.3,60.3,69.8
USC,8-5,544,447,87.5,86.7,87.8,77.7,82.2,92.4,60.8,77.9,72.3,67.8,80.5,74.9,71.2
USF,7-6,415,419,74.2,67.2,67.3,59.2,66.5,86.2,46.1,78.2,78.5,60.3,76.2,71.2,71.8
Utah,8-5,301,251,79.3,72.4,59.2,46.0,65.8,88.3,65.8,79.5,76.4,82.1,72.7,75.2,74.3
Utah State,6-7,431,451,71.7,74.8,69.3,47.2,76.4,90.9,55.7,60.6,45.5,51.3,66.5,77.0,70.5
UTEP,3-9,239,342,82.1,77.3,57.9,86.9,69.5,83.3,72.8,79.2,64.7,59.5,90.7,77.3,80.0
UTSA,9-4,415,313,80.8,76.8,67.7,56.7,78.7,89.3,58.3,78.5,77.5,64.2,80.9,68.4,64.3
Vanderbilt,2-10,274,434,66.7,64.4,59.4,49.4,69.1,78.1,52.4,66.1,67.5,62.3,64.3,62.0,66.4
Virginia,3-9,279,405,70.8,70.2,70.5,45.2,72.9,76.4,58.8,64.6,56.1,64.2,62.4,73.6,67.6
Virginia Tech,7-6,384,311,78.9,70.7,64.2,60.3,69.5,88.1,53.4,78.4,64.5,64.4,88.7,78.3,76.8
Wake Forest,4-8,243,326,82.4,75.5,55.6,74.2,74.7,74.6,74.4,83.9,79.4,82.9,72.8,80.6,77.2
Washington,14-1,540,372,91.7,92.5,91.0,78.2,89.8,89.4,67.3,84.4,73.2,61.0,80.4,88.5,83.5
Washington State,5-7,380,337,77.0,71.3,78.6,64.5,69.6,77.2,51.0,76.7,67.8,58.8,74.2,77.6,71.9
West Virginia,9-4,409,340,83.6,81.5,79.4,81.2,66.6,93.2,61.3,77.0,76.6,69.5,70.5,72.7,61.8
Western Kentucky,8-5,396,373,72.9,66.0,67.2,62.9,68.5,71.3,48.0,76.6,60.8,50.4,73.8,87.0,79.1
Western Michigan,4-8,284,381,72.9,69.6,59.8,73.1,62.4,71.7,72.7,72.2,63.6,70.4,65.8,80.1,68.8
Wisconsin,7-6,305,262,82.6,73.2,71.1,76.2,61.6,79.0,69.0,86.9,83.3,79.9,74.2,83.7,75.4
Wyoming,9-4,329,290,87.5,78.7,72.9,58.8,68.6,82.1,76.7,88.6,86.5,71.4,73.6,82.2,78.3
