fbs_rank,rank_247,team,norm_key,commits,avg,points
117,117,Toledo,toledo,8,83.71,13.96
118,119,FIU,floridainternational,10,83.00,13.92
119,120,Northwestern,northwestern,6,84.50,13.73
120,121,South Alabama,southalabama,16,82.42,13.14
121,122,Louisiana-Monroe,louisianamonroe,17,81.80,13.09
122,123,Northern Illinois,northernillinois,7,83.57,12.74
123,125,San Jose State,sanjosestate,17,82.71,12.45
124,126,Hawaii,hawaii,6,85.00,11.41
125,127,Kennesaw State,kennesawstate,10,81.56,10.99
126,128,Miami (OH),miamioh,6,83.80,10.67
127,129,Stanford,stanford,4,86.00,10.41
128,130,Iowa,iowa,4,85.33,9.61
129,131,Central Michigan,centralmichigan,7,83.25,8.88
130,133,Wyoming,wyoming,3,83.33,6.83
NA,NA,Air Force,airforce,NA,NA,NA
NA,NA,Army,army,NA,NA,NA
NA,NA,Clemson,clemson,NA,NA,NA
NA,NA,Navy,navy,NA,NA,NA
