fbs_rank,rank_247,team,norm_key,commits,avg,points
47,47,Syracuse,syracuse,16,85.75,29.63
48,48,Wake Forest,wakeforest,35,85.44,28.93
49,49,Purdue,purdue,54,85.37,28.86
50,50,Baylor,baylor,23,85.55,28.49
51,51,Rutgers,rutgers,19,85.61,28.24
52,52,Arizona,arizona,29,85.39,27.07
53,53,TCU,tcu,12,86.00,26.60
54,54,Stanford,stanford,18,85.61,25.63
55,55,Arizona State,arizonastate,17,85.35,24.77
56,56,Kansas State,kansasstate,17,85.71,24.76
57,57,Iowa,iowa,9,86.67,24.76
58,58,Notre Dame,notredame,8,87.14,24.56
59,59,Iowa State,iowastate,8,86.75,24.47
60,60,Oregon State,oregonstate,14,85.00,24.01
61,61,NC State,ncstate,18,85.76,24.00
62,62,Southern Miss,southernmiss,54,83.29,23.76
63,63,Duke,duke,9,86.11,22.69
64,64,Pittsburgh,pittsburgh,17,85.67,22.23
65,66,Memphis,memphis,42,84.23,21.46
66,67,Boston College,bostoncollege,17,85.00,20.94
67,68,Tennessee,tennessee,7,86.57,20.36
68,69,Northwestern,northwestern,15,85.00,19.88
69,70,Florida,florida,8,85.71,19.67
70,71,James Madison,jamesmadison,31,83.50,19.30
71,72,Washington State,washingtonstate,35,83.96,19.26
72,73,UNLV,unlv,42,83.81,19.15
73,74,Georgia State,georgiastate,27,83.78,19.10
74,75,New Mexico,newmexico,35,83.00,18.79
75,76,Western Kentucky,westernkentucky,44,82.86,18.72
76,77,Tulane,tulane,35,83.74,18.66
77,78,Colorado State,coloradostate,24,83.64,18.49
78,79,Temple,temple,26,83.64,18.19
79,80,Charlotte,charlotte,37,83.17,18.09
80,81,Coastal Carolina,coastalcarolina,34,83.43,18.07
81,82,Clemson,clemson,4,89.67,17.93
82,83,BYU,byu,13,84.31,17.86
83,84,Appalachian State,appalachianstate,33,83.07,17.60
84,85,South Florida,southflorida,23,84.05,17.47
85,86,Bowling Green,bowlinggreen,27,83.25,17.32
86,87,UAB,uab,31,83.00,17.27
87,88,Marshall,marshall,56,82.56,17.20
88,89,UConn,connecticut,26,83.19,17.11
89,90,Texas State,texasstate,38,83.09,16.98
90,91,Florida Atlantic,floridaatlantic,37,83.00,16.90
91,92,UTSA,utsa,20,83.79,16.84
92,93,Tulsa,tulsa,34,83.00,16.52
93,94,Boise State,boisestate,12,84.80,16.47
94,95,Jacksonville State,jacksonvillestate,23,82.52,16.46
95,96,Western Michigan,westernmichigan,27,82.46,16.39
96,97,Miami (OH),miamioh,16,83.40,16.26
97,98,FIU,floridainternational,24,83.25,16.17
98,99,Louisiana-Monroe,louisianamonroe,18,83.00,15.89
99,100,UTEP,utep,31,82.79,15.86
100,101,Toledo,toledo,20,83.17,15.82
101,102,North Texas,northtexas,37,82.95,15.50
102,103,Arkansas State,arkansasstate,37,82.72,15.49
103,104,UMass,massachusetts,36,82.58,15.44
104,105,Fresno State,fresnostate,21,82.62,15.25
105,106,Liberty,liberty,20,83.00,15.17
106,107,San Diego State,sandiegostate,24,83.14,15.09
107,108,Troy,troy,17,83.40,14.90
108,109,Georgia Southern,georgiasouthern,17,82.94,14.78
109,110,Middle Tennessee,middletennessee,13,83.38,14.76
110,111,Nevada,nevada,25,82.17,14.65
111,112,Wyoming,wyoming,18,82.65,14.56
112,113,South Alabama,southalabama,23,82.35,14.19
113,114,East Carolina,eastcarolina,24,82.95,14.14
114,115,Ball State,ballstate,25,82.73,13.91
115,116,Sam Houston,samhouston,27,81.92,13.78
116,117,San Jose State,sanjosestate,13,83.64,13.66
117,118,Utah State,utahstate,27,81.87,13.15
118,119,Central Michigan,centralmichigan,11,83.50,13.13
119,120,Kent State,kentstate,19,82.00,13.04
120,121,Kennesaw State,kennesawstate,33,81.84,12.93
121,122,Ohio,ohio,21,82.17,12.90
122,123,Akron,akron,20,82.47,12.60
123,124,Louisiana,louisiana,7,83.57,12.38
124,125,New Mexico State,newmexicostate,23,82.16,12.34
125,126,Eastern Michigan,easternmichigan,21,82.41,11.76
126,127,Hawaii,hawaii,15,81.92,11.74
127,128,Northern Illinois,northernillinois,13,82.67,11.59
128,129,Louisiana Tech,louisianatech,12,82.10,10.47
129,130,Rice,rice,12,82.00,10.40
130,131,Old Dominion,olddominion,14,82.56,10.36
131,133,Buffalo,buffalo,9,82.29,9.20
132,135,Missouri State,missouristate,19,82.50,8.76
133,143,Delaware,delaware,8,81.75,5.95
NA,NA,Air Force,airforce,NA,NA,NA
NA,NA,Army,army,NA,NA,NA
NA,NA,Navy,navy,NA,NA,NA
