fbs_rank,rank_247,team,norm_key,commits,avg,points
84,85,Duke,duke,8,85.00,13.86
85,86,Oklahoma State,oklahomastate,4,85.33,13.79
86,87,Middle Tennessee,middletennessee,11,83.00,13.70
87,88,Charlotte,charlotte,4,84.67,13.24
88,88,Tulsa,tulsa,7,84.67,13.24
89,92,Arkansas State,arkansasstate,11,82.75,12.51
90,93,San Diego State,sandiegostate,7,84.00,12.40
91,94,Rice,rice,7,84.00,11.97
92,95,Maryland,maryland,7,86.00,11.83
93,96,Louisiana Tech,louisianatech,13,82.00,11.72
94,97,Northwestern,northwestern,6,82.00,11.62
95,98,Illinois,illinois,9,83.67,11.32
96,99,NC State,ncstate,2,86.50,11.27
97,101,Eastern Michigan,easternmichigan,6,81.25,10.78
98,102,Texas A&M,texasam,2,92.00,10.72
99,103,UAB,uab,2,86.00,10.66
100,105,Kent State,kentstate,7,81.25,10.56
101,107,Wake Forest,wakeforest,4,85.00,10.07
102,108,UConn,connecticut,9,82.33,10.07
103,109,Boston College,bostoncollege,4,85.00,9.66
104,110,Iowa State,iowastate,3,84.50,9.26
105,111,Appalachian State,appalachianstate,8,84.00,8.92
106,112,Nevada,nevada,16,89.00,7.96
107,112,Stanford,stanford,1,89.00,7.96
108,115,Ball State,ballstate,5,83.50,7.71
109,119,Georgia Southern,georgiasouthern,12,82.50,6.98
110,122,New Mexico,newmexico,7,82.00,6.48
111,123,Iowa,iowa,1,87.00,6.29
112,128,Central Michigan,centralmichigan,3,81.00,6.17
113,131,James Madison,jamesmadison,6,81.00,5.74
114,132,Oregon State,oregonstate,1,86.00,5.56
115,133,Wyoming,wyoming,4,80.50,5.48
116,134,Bowling Green,bowlinggreen,7,80.50,5.36
117,140,Troy,troy,5,84.00,4.34
118,148,Louisiana-Monroe,louisianamonroe,6,82.00,3.41
119,153,Ohio,ohio,3,81.00,3.03
120,156,Clemson,clemson,1,80.00,2.69
121,156,Northern Illinois,northernillinois,4,80.00,2.69
122,156,Old Dominion,olddominion,4,80.00,2.69
123,170,Georgia State,georgiastate,4,79.00,2.39
124,170,UTEP,utep,2,79.00,2.39
NA,NA,Air Force,airforce,NA,NA,NA
NA,NA,Army,army,NA,NA,NA
NA,NA,Coastal Caro.,coastalcarolina,NA,NA,NA
NA,NA,Georgia,georgia,NA,NA,NA
NA,NA,Louisiana,louisiana,NA,NA,NA
NA,NA,Navy,navy,NA,NA,NA
NA,NA,WMU,westernmichigan,NA,NA,NA
